"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","imagecode"
"1","2019-11-21 14:40:58-03","UFJF","CESJ","71879","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Pleurothallis","radialis","Pleurothallis radialis","Porto & Brade","L. Menini Neto","2017","03","11","D.E.F. Barbosa; G.A. Basilio","367","2017","03","11","América do Sul","Brasil","Minas Gerais","Descoberto","Serra do Relógio, Floresta semidecidual montana","-42.935833","-21.387778","-42.935833","-21.387778","1200","1200","Epífita entre 1,5m e 3m. Flores esverdeadas. Interior de floresta.","CESJ071879",NA,NA,NA
"2","2019-11-21 14:40:58-03","UFJF","CESJ","63538","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Pleurothallis","radialis","Pleurothallis radialis","Porto & Brade","L. Menini Neto; S.G. Furtado","2013","06",NA,"S.G. Furtado; L. Menini Neto","253","2013","06","13","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Capão de mata, floresta Ombrófila Mista, acima de 1900m, Chapadão.","-44.8899993896484","-21.9589004516602",NA,NA,NA,NA,"Epífita a ca. de 2m de altura, interior de capão. Brácteas pintalgadas de vináceo, fruto imaturo verde.","CESJ063538","29865","auto",NA
"3","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","20191",NA,"Plantae",NA,"Orchidaceae","Anathallis","radialis","Anathallis radialis","(Porto & Brade) Pridgeon & M.W.Chase","H.L. Silva/17-01-2020",NA,NA,NA,"M. V. S. Berger; et al","76","2003","04","06",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944","40W55'27","20S10'37",NA,NA,"Epífita, na sombra. Bainha amarela com máculas marrons. Flores com pétalas, sépalas e labelo verde-claro, coluna branca. Herb. Álcool.","MBML020191",NA,NA,"MBML020191"
"4","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","20632",NA,"Plantae",NA,"Orchidaceae","Anathallis","radialis","Anathallis radialis","(Porto & Brade) Pridgeon & M.W.Chase","H.L. Silva/17-01-2020",NA,NA,NA,"M. V. S. Berger; et al","12","2002","10","02",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944","40W55'27","20S10'37",NA,NA,"Epífita exposta à sombra, em mata de topo do afloramento rochoso, umidade alta, 1.310 m.a.m. Em cultivo. Floração: 28/04/2003, flores verde-claro, coluna branca, vide MBML 20191.","MBML020632",NA,NA,"MBML020632"
"5","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","21100",NA,"Plantae",NA,"Orchidaceae","Anathallis","radialis","Anathallis radialis","(Porto & Brade) Pridgeon & M.W.Chase","H.L. Silva/17-01-2020",NA,NA,NA,"M. V. S. Berger; et al","99","2003","06","29",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944","40W55'27","20S10'37",NA,NA,"Epífita, meia sombra, borda de mata. Com frutos verdes, flores remanescentes. Comprimento do fruto de 9,75mm (da base da coluna até a base do fruto).","MBML021100",NA,NA,"MBML021100"
"6","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","22247",NA,"Plantae",NA,"Orchidaceae","Anathallis","radialis","Anathallis radialis","(Porto & Brade) Pridgeon & M.W.Chase","H.L. Silva/17-01-2020",NA,NA,NA,"L. Kollmann","6532","2004","01","29",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,"Floração em cultivo (9/03/2004). Épifita na sombra. Flores verdes esbranquiçadas. HERB/Alcool","MBML022247",NA,NA,"MBML022247"
"7","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","22349",NA,"Plantae",NA,"Orchidaceae","Anathallis","radialis","Anathallis radialis","(Porto & Brade) Pridgeon & M.W.Chase","H.L. Silva/17-01-2020",NA,NA,NA,"L. Kollmann; et al","6622","2004","04","09",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,"Epífita na sombra. Flores verdes amareladas. Coluna e antera brancas. Polineas amarelas. Ovário verde.","MBML022349",NA,NA,"MBML022349"
"8","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","38657",NA,"Plantae",NA,"Orchidaceae","Anathallis","radialis","Anathallis radialis","(Porto et Brade) Pridgeon & M.W.Chase","L. Kollmann/22-01-2013",NA,NA,NA,"C. N. de Fraga; R.C.Forzza, A.P.Fontana. A.M.Amorim, R.Goldenberg, L.Kollmann, L.Daneu & J.Meirelles","2452","2009","04","07",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Trilha para o mirante. Floresta Ombrófila Densa Altomontana com inselbergues.","-41.0875","-20.519444","41W5'15","20S31'10","1100","1100","Epífito, flores com sépalas, pétalas e labelo verde.","MBML038657",NA,NA,"MBML038657"
"9","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","38504",NA,"Plantae",NA,"Orchidaceae","Anathallis","radialis","Anathallis radialis","(Porto & Brade) Pridgeon & M.W.Chase","H.L. Silva/17-01-2020",NA,NA,NA,"D.R. Couto","43","2003","04","20",NA,"Brasil","Espírito Santo","Alegre","Caveira da Anta","-41.5331001281738","-20.763599395752",NA,NA,"1140","1140","Epífitas. Flores verdes, próximo a curso d`água.","MBML038504","26101","auto","MBML038504"
"10","2019-11-21 10:12:52-03","IBt","SP","45563","S","Plantae",NA,"Orchidaceae","Anathallis","radialis","Anathallis radialis","(Porto & Brade) Pridgeon & M.W.Chase","Barros, F","2002","09","12","Handro, O","296",NA,NA,NA,NA,"Brasil","São Paulo","Campos do Jordão","Cultivada em São Paulo, fl. IV/1952","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,"21048","auto",NA
