"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:40:49-03","E","E","281712","PreservedSpecimen","Plantae","Leguminosae","Senna","rugosa","Senna rugosa","Rozindo Cardoso, C.F.; Proenca, C.; Franca, F.; Melo, E.","35","1997","05","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:292970","<a href=http://data.rbge.org.uk/herb/E00281712 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:49-03","E","E","202744","PreservedSpecimen","Plantae","Leguminosae","Senna","rugosa","Senna rugosa","Barboza, M.A.; Farias, R.; Fonseca Filho, J.; Gonçalves, E.G.","6","1999","01","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:216743","<a href=http://data.rbge.org.uk/herb/E00202744 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:49-03","E","E","83698","PreservedSpecimen","Plantae","Leguminosae","Senna","rugosa","Senna rugosa","Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S., Simon, M.F.","1508","1996","09","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92553","<a href=http://data.rbge.org.uk/herb/E00083698 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:49-03","E","E","270706","PreservedSpecimen","Plantae","Leguminosae","Senna","rugosa","Senna rugosa","Proenca, C., Franca, F., Melo, E., Cardoso, C.F.Rozendo","36","1997","05","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:282650","<a href=http://data.rbge.org.uk/herb/E00270706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00270706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:49-03","E","E","202745","PreservedSpecimen","Plantae","Leguminosae","Senna","rugosa","Senna rugosa","Barboza, M.A.; Farias, R.; Fonseca Filho, J.; Gonçalves, E.G.","6","1999","01","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:216742","<a href=http://data.rbge.org.uk/herb/E00202745 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00980103","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","H. C. de Lima","944","1979","05","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980103","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby","R. C. Barneby","Minas Gerais","Grão Mogol","a 14 km de Francisco Sá","-42.8894","-16.5594","NY00980103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00980129","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","L. B. Smith","6900","1952","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980129","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"Minas Gerais","Jaboticatubas","Tres Barras, 50 km. north of Lagoa Santa","-43.67","-19.42","NY00980129_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00980153","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","A. A. da Silveira","886","1896","04",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980153","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"Minas Gerais","São João del Rei","Ad Serra do Lenheiro","-44.2617","-21.1358","NY00980153_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00980154","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","L. O. Williams","6488","1945","03","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980154","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"Minas Gerais","Belo Horizonte","Morro das Pedras","-43.9378","-19.9208","NY00980154_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","469781","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","S. M. de Campos","206","1960","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469781","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"São Paulo","Itapetininga","Faz. Sta. Luzia do Campo. SSE de cidade de Itapetininga","-48.0497","-23.5903","NY00469781_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00980099","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","B. D. Sucre","302","1965","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980099","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"Distrito Federal","Brasília","Parque Nacional do Gama","-48.0638","-16.01719","NY00980099_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00980098","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","A. H. Gentry","21414","1978","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980098","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"Distrito Federal","Brasília","Aguas Emendadas, 40 km. from Brasilia, divide between drainages of Río La Plata and Río Amazonas.","-47.9294","-15.7797","NY00980098_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00980196","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","W. R. Anderson","7656","1973","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980196","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"Goiás","Água Fria de Goiás","7 km by road S of São João da Aliança. Serra Geral do Paraná.","-47.5","-14.78","NY00980196_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00980097","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","G. Pereira-Silva","2006","1993","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980097","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby","R. C. Barneby","Distrito Federal","Brasília","Reserva Ecologica do Guara","-47.97","-15.8","NY00980097_01","1035","1035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","469772","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","I. Silberbauer-Gottsberger","106","1970","04","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469772","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"São Paulo","Botucatu","18 Km N of Botucatu (14 km E of Sao Manuel). Along the S. Manuel-Piracicaba highway. Near ex-RR Station, 13 de Maio","-48.42","-22.75","NY00469772_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00980095","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","E. P. Heringer","17316","1979","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980095","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby","R. C. Barneby","Distrito Federal","Brasília","(Jardim Zoológico)","-47.9294","-15.7797","NY00980095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","469784","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","T. M. Pedersen","12045","1978","01","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469784","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"São Paulo","Sao Paulo","SP 393, a few Km N of Assis","-46.63","-23.5403","NY00469784_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00980086","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","H. S. Irwin","11107","1965","12","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980086","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"Distrito Federal","Brasília","Immediately south of Brasília","-47.9167","-15.79234","NY00980086_01","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00980195","PreservedSpecimen","Plantae","Fabaceae","Senna","rugosa","Senna rugosa","W. R. Anderson","7609","1973","03","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980195","Magnoliophyta","Fabales","(G.Don) H.S.Irwin & Barneby",NA,"Goiás","São João d'Aliança","4 km by road S of São João da Aliança. Serra Geral do Paraná.","-47.5","-14.75","NY00980195_01","1070","1070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
