"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","501715","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa","Benth.","C. M. Taylor","F. S. Juchum","38","2000","06","30","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Estrada de acesso a sede da Reserva","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=442193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503387","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa","Benth.","P. G. Delprete","A. M. V. de Carvalho","4107","1992","10","25","South America","Brazil","Bahia","Ilhéus","Mpio. de Ilhéus/Olivença. Mata de restinga nos arredores da Estaçao Hidromineral da Tororomba","-38.999083","-14.9909368","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=336377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01240884","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa","Benth.","C. M. Taylor","A. M. V. de Carvalho","6173","1995","12","12","South America","Brazil","Bahia","Una","Una Biological Reserve: Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.0833","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=442196' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","396616","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa","Benth.","L. B. Smith","R. Reitz","4071","1958","10","18","South America","Brazil","Santa Catarina","Rio do Sul","Matador","-49.6431","-27.2144","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=336378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396616","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1032933","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa","Benth.","M. C. Pessoa","L. A. Mattos Silva","1780","1984","10","25","South America","Brazil","Bahia","Cairu","Ramal novo para os Povoados de Torrinha e Tapuia, com entrada no lado esquerdo da Rodovia Cairu/Nilo Peçanha (BA 250).","-39.0439","-13.4869","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1208202' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","502113","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa","Benth.","M. C. Pessoa","A. M. Amorim","389","1991","11","20","South America","Brazil","Bahia","Itacaré","Estrada Itacaré-Taboquinha, ao lado do loteamento da Marambaia","-38.9967","-14.2778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=442213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","396615","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa","Benth.","L. B. Smith","R. Reitz","8335","1958","01","27","South America","Brazil","Santa Catarina","Rio do Sul","Matador","-49.6431","-27.2144","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=336374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396615","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","416383","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa","Benth.","P. G. Delprete","W. W. Thomas","9423","1992","11","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-IeÔo (IBAMA), 46 km north on BA-001 between Ilhéus and Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=336376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00416383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01092757","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa","Benth.","C. M. Taylor","A. M. Amorim","1456","1993","11","10","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. 8-10 Kms na estrada que margeia ao Rio Maruim. Picada paralela ao rio Maruim.","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=442195' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","566060","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa","Benth.","M. C. Pessoa","J. G. Jardim","2078","1999","03","25","South America","Brazil","Bahia","Una","Una Reserva Biológica de Una (IBAMA). Porçao V da reserva; Rod. Una/Sao José da Vitória, 26 km de Una. Entrada na rod. para Vila Brasil; sede da reserva ca. 10 km da entrada","-39.0752983093262","-15.2932996749878","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=442214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566060",NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
