"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1239471","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","diamantinana","Lychnophora diamantinana","Coile & S.B.Jones","holotype","B. Maguire","44757","1959","12","23","South America","Brazil","Minas Gerais","19 miles from Diamantina en route to Curvelo","1387","1387","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1470380' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239471","NY01239471_01 NY01239471_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843321","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","diamantinana","Lychnophora diamantinana","Coile & S.B.Jones",NA,"A. P. Duarte","8526","1964","11","21","South America","Brazil","Minas Gerais","Diamantina. Rio dos Cristais.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049969' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843321","NY01843321_01","J. Semir","Diamantina","-43.6003","-18.2494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1843384","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","diamantinana","Lychnophora diamantinana","Coile & S.B.Jones",NA,"H. S. Irwin","21903","1969","01","14","South America","Brazil","Minas Gerais","Ca. 29km SW of Diamantina on road to Gouveia. Serra do Espinhaço.","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050225' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843384","NY01843384_01","J. Semir",NA,"-43.72","-18.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:36:08-03","MN","R","15297","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","diamantinana","Lychnophora diamantinana","Coile & S.B. Jones",NA,"Glaziou, A.F.M.","19479","1892","04","04",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"Plantas do Brasil Central","R000015297","R000015297_001","Semir, J.",NA,NA,NA,"1992","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:05:56-03","UNICAMP","UEC","169514","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","diamantinana","Lychnophora diamantinana","Coile & S.B.Jones",NA,"Verola, CF; Costa, IR","882007","2007","05","18",NA,"Brazil","Minas Gerais",NA,"4190","4190",NA,NA,"UEC124969","UEC124969","Semir, J","São João Da Chapada","-43.743556","-18.118778","2007",NA,"-43.743556","-18.118778",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:24:32-03","UNICAMP","UEC","111649","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","diamantinana","Lychnophora diamantinana","Coile & S.B.Jones",NA,"Lopes, NP","207","1999","09","10",NA,"Brazil","Minas Gerais","A 3km da estrada Diamantina - Biribiri",NA,NA,NA,"Planta com aquênio e sem flores.","UEC005777","UEC005777","Marques, D",NA,NA,NA,"2012","03",NA,NA,"04",NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:24:32-03","UNICAMP","UEC","117181","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","diamantinana","Lychnophora diamantinana","Coile & S.B.Jones",NA,"Mansanares, ME; Vitta, FA; Belinello, R","0012","2000","11","28",NA,"Brazil","Minas Gerais","Estrada para Biribiri, km 4,5; lado E em direção à Biri-biri.","1150","1150",NA,"Arbusto 1,5m. Frutos.","UEC005775","UEC005775","Mansanares, ME","Diamantina","-43.623889","-18.199167",NA,NA,"-43.623889","-18.199167",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:24:32-03","UNICAMP","UEC","120408","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","diamantinana","Lychnophora diamantinana","Coile & S.B.Jones",NA,"Semir, J; Mansanares, ME; Belinello, R","01172","2001","06","21",NA,"Brazil","Minas Gerais","Estrada para São João da Chapada, 20 km do asfalto.","1216","1216",NA,"Arbusto de até 3,50 m, só frutos.; Campo arenoso/pedregoso.","UEC124980","UEC124980","Semir, J","Diamantina","-43.729083","-18.129583",NA,NA,"-43.729083","-18.129583",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:24:32-03","UNICAMP","UEC","120417","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","diamantinana","Lychnophora diamantinana","Coile & S.B.Jones",NA,"Semir, J; Mansanares, ME; Belinello, R","01150","2001","06","21",NA,"Brazil","Minas Gerais","Estrada para São João da Chapada, 14 km do asfalto.","1166","1166",NA,"Planta prostada, flores tubo creme-amarelado e lobos lilases.; Crescendo em fendas e sob rochas.","UEC124979","UEC124979","Semir, J","Diamantina","-43.705167","-18.179083",NA,NA,"-43.705167","-18.179083",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:24:32-03","UNICAMP","UEC","120461","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","diamantinana","Lychnophora diamantinana","Coile & S.B.Jones",NA,"Semir, J; Mansanares, ME; Belinello, R","0116","2001","06","19",NA,"Brazil","Minas Gerais","Estrada Gouveia - Datas, ca. 5 km de Gouveia.","1305","1305",NA,"Flores brancas, ca. 4 m de altura.","UEC124981","UEC124981","Semir, J","Gouveia","-43.69825","-18.420361",NA,NA,"-43.69825","-18.420361",NA,NA,NA,NA,NA,NA,NA
