"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00983749","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Crotalaria","otoptera","Crotalaria otoptera","Benth.","J. W. Grimes","W. R. Anderson","7902","1973","03","24","South America","Brazil","Goiás","São João d'Aliança","1 km E of São João da Aliança. Serra Geral do Paraná.","-47.52","-14.7","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116755' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983749","NY00983749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","6692","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Crotalaria","otoptera","Crotalaria otoptera","Benth.",NA,"J. B. E. Pohl","2712",NA,NA,NA,"South America","Brazil",NA,NA,"Inter franc. Alvez & Oliveira ad Caldas nouvas.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=216930' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006692","NY00006692_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01045016","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Crotalaria","otoptera","Crotalaria otoptera","Benth.","A. Filliettaz","G. Pereira-Silva","3370","1996","02","27","South America","Brazil","Goiás","Caldas Novas","Estrada de acesso a obra prox. a Vila de Funcionarios da obra","-48.55","-17.92","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187721' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045016","NY01045016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00983750","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Crotalaria","otoptera","Crotalaria otoptera","Benth.","C. M. Taylor","Martii Herbar. Florae Brasil.","1140",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Minas Geraes",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116764' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01045063","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Crotalaria","otoptera","Crotalaria otoptera","Benth.","J. W. Grimes","W. R. Anderson","6901","1973","03","12","South America","Brazil","Goiás","Monte Alegre de Goiás","Serra da Atalaia, ca. 25 km by road SW of Monte Alegre de Goiás","-47.23","-13.47","600","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187656' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045063","NY01045063_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00983762","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Crotalaria","otoptera","Crotalaria otoptera","Benth.","D. R. Windler","A. Macedo","1582","1949","01","31","South America","Brazil","Minas Gerais","Ituiutaba","Carmo","-49.465","-18.9692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983762","NY00983762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:41:24-03","EAO","IAN","5324","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Crotalaria","otoptera","Crotalaria otoptera","Benth.",NA,"Martius, CFP von","1140",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN005324","IAN005324_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:41:24-03","EAO","IAN","87265","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Crotalaria","otoptera","Crotalaria otoptera","Benth.","Windler, DR","Amshoff","1582","1949","01","31","Southern America","Brasil","Minas Gerais","Ituiutaba","Carmo.","-49.4650001525879","-18.968900680542",NA,NA,NA,"Arbusto campestre amarelas.","IAN087265",NA,NA,"1981","50022","auto",NA,NA,NA,NA,NA,NA,NA
"9","2014-10-02 12:40:51-03","FEMACT","MIRR","5975","S","Plantae",NA,NA,"Leguminosae-Pap","Crotalaria","otoptera","Crotalaria otoptera","Benth.",NA,"Flores, A...S...","1002","2002","05","20",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-10-08 12:58:03-03","FEMACT","MIRR","6036","S","Plantae",NA,NA,"Leguminosae-Pap","Crotalaria","otoptera","Crotalaria otoptera","Benth.",NA,"Flores, A...S...","1002","2002","05","20",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2014-10-02 12:40:51-03","FEMACT","MIRR","8288","S","Plantae",NA,NA,"Leguminosae-Pap","Crotalaria","otoptera","Crotalaria otoptera","Benth.",NA,"Rodrigues R.S.","1662","2006","05","27",NA,"Brasil","Roraima","Boa Vista",NA,"-60.6733","2.81972",NA,NA,NA,"Plântulas com 57 dias, sem nódulos.",NA,NA,NA,NA,"90031","auto",NA,NA,NA,NA,NA,NA,NA
"12","2019-02-22 11:46:26-03","IPA","IPA","11713","S","Plantae","Plantae",NA,"Leguminosae-Pap.","Crotalaria","otoptera","Crotalaria otoptera","Benth.","Bisby, F.A.","Andrade-Lima","58-3138","1958","05","09","Southern America","Brasil","Goiás",NA,"Próximo Aragarças",NA,NA,NA,NA,NA,"Subarbusto 1,5m. Flor amarelo-claro","IPA0011713",NA,NA,"1978",NA,NA,"02","01",NA,NA,NA,NA,NA
"13","2019-08-20 10:13:02-03","UNICAMP","UEC","30952","S","Plantae","Magnoliopsida",NA,"Fabaceae","Crotalaria","otoptera","Crotalaria otoptera","Benth.","Filliettaz, AM","Macedo, M; Duarte, A; Assumpção, S; Mattos, A","1063","1979","04","13",NA,"Brazil","Goiás","Aragarças","Estrada Aragarças a Jataí, km 4.","-52.2508010864258","-15.897500038147",NA,NA,NA,"fruto, Cerrado, solo argiloso seco. Arbusto, flores amarelas, frutos imaturos verdes.","UEC152225","UEC152225",NA,"1996","44227","auto","10",NA,NA,NA,NA,NA,NA
"14","2019-08-20 10:13:02-03","UNICAMP","UEC","7902","S","Plantae","Magnoliopsida",NA,"Fabaceae","Crotalaria","otoptera","Crotalaria otoptera","Benth.","Filliettaz, AM","Shepherd, GJ; Tamashiro, JY; Salgado, PR; Andrade, JB","7479","1978","04","20",NA,"Brazil","Goiás","Caiaponia","Rodovia Jatai - Caiaponia, à 115km de Ja","-51.8102989196777","-16.9566993713379",NA,NA,NA,"fruto, Subarbusto de 1,8m, flores amarelas, frutos.","UEC152220","UEC152220",NA,"1996","77016","auto","10",NA,NA,NA,NA,NA,NA
"15","2019-08-20 10:13:02-03","UNICAMP","UEC","125868","S","Plantae","Magnoliopsida",NA,"Fabaceae","Crotalaria","otoptera","Crotalaria otoptera","Benth.","Flores, AS","Flores, AS; Rodrigues, RS","1002","2002","05","20",NA,"Brazil","Goiás","Caldas Novas","Ca. 17,5 km após a cidade, rod. GO 139, próx. ao km 23, após Ribeirão dos Bagres, em direção a Corumbaíba.","-48.625","-17.74169921875",NA,NA,NA,"Arbusto ereto, 1,5 m de altura, inflorescências pendentes, corola amarela, frutos imaturos e maduros negros, em cerrado alterado junto à rodovia.","UEC152222","UEC152222",NA,"2002","36612","auto",NA,NA,NA,NA,NA,NA,NA
"16","2019-08-20 10:13:02-03","UNICAMP","UEC","125865","S","Plantae","Magnoliopsida",NA,"Fabaceae","Crotalaria","otoptera","Crotalaria otoptera","Benth.","Flores, AS","Flores, AS; Rodrigues, RS","1005","2002","05","20",NA,"Brazil","Goiás","Caldas Novas","Ca. 36,5 km após a cidade. Rodovia GO 139.","-48.625","-17.74169921875",NA,NA,NA,"Arbusto ereto, 3,0 m de altura. Inflorescências pendentes, corola amarela, frutos imaturos e maduros negros, junto a riacho em borda de mata.","UEC152224","UEC152224",NA,"2002","36612","auto",NA,NA,NA,NA,NA,NA,NA
