"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","687619","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","paratyensis","Tachigali paratyensis","(Vell.) H.C.Lima","I. Huamantupa Chuquimaco","F. Gomes da Silva","113","1941","03","13","South America","Brazil","Distrito Federal","Obras Públicas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687619","NY00687619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","582279","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","paratyensis","Tachigali paratyensis","(Vell.) H.C.Lima","M. J. Falcão","E. M. N. Ferraz","601","1999","01","29","South America","Brazil","Pernambuco","Mata do estado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582279","NY00582279_01","Sao Vicente Ferrer","-35.5","-7.58","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","687616","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","paratyensis","Tachigali paratyensis","(Vell.) H.C.Lima","I. Huamantupa Chuquimaco","L. Riedel","s.n.","1833","08",NA,"South America","Brazil","Rio de Janeiro","Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687616","NY00687616_01",NA,"-43.274528","-22.95583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","687612","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","paratyensis","Tachigali paratyensis","(Vell.) H.C.Lima","I. Huamantupa Chuquimaco","C. A. L. de Oliveira","206","1986","09","01","South America","Brazil","Rio de Janeiro","Altp da Boa Vista, Estrada da Vista Chinesa 741, FEEMA - CBRJ","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687612","NY00687612_01","Rio de Janeiro","-43.273873","-22.971901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","687613","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","paratyensis","Tachigali paratyensis","(Vell.) H.C.Lima","I. Huamantupa Chuquimaco","L. Riedel","1253","1833","03",NA,"South America","Brazil","Rio de Janeiro","Ad rivulos Tijuca prope Rio de Janeiro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687613","NY00687613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","687620","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","paratyensis","Tachigali paratyensis","(Vell.) H.C.Lima","I. Huamantupa Chuquimaco","F. Gomes da Silva","113","1941","03","13","South America","Brazil","Distrito Federal","Obras Públicas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687620","NY00687620_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","687610","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","paratyensis","Tachigali paratyensis","(Vell.) H.C.Lima","I. Huamantupa Chuquimaco","J. G. Kuhlmann","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Represa Camorim, Jacarépagua.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687610","NY00687610_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00981781","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","paratyensis","Tachigali paratyensis","(Vell.) H.C.Lima","I. Huamantupa Chuquimaco","L. Riedel","1253","1833","03",NA,"South America","Brazil","Rio de Janeiro","Tijuca pr. Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981781","NY00981781_01",NA,"-43.274528","-22.95583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","687615","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","paratyensis","Tachigali paratyensis","(Vell.) H.C.Lima","I. Huamantupa Chuquimaco","R. P. Belém","840","1965","04","13","South America","Brazil","Bahia","Rodovia Camacan - Canavieira, 50 km de Canavieira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687615","NY00687615_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","687614","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","paratyensis","Tachigali paratyensis","(Vell.) H.C.Lima","I. Huamantupa Chuquimaco","R. P. Belém","840","1965","04","13","South America","Brazil","Bahia","Rodovia Camacan - Canavieira, 50 km de Canavieira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687614","NY00687614_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
