"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","year","month","day","typeStatus","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:39:17-03","E","E","42331","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","piriri","Mabea piriri","Hartmann","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:49836","<a href=http://data.rbge.org.uk/herb/E00042331 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:17-03","E","E","42346","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","piriri","Mabea piriri","Harley, R.M.; Mayo, S.J.; Storr, R.M.; Santos, T.S. & Pinheiro, R.S.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:49757","<a href=http://data.rbge.org.uk/herb/E00042346 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042346","18270","1977","01","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:17-03","E","E","42330","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","piriri","Mabea piriri","Davis, P.H., Shepherd, G.J., Makino, H., Silvestre, M.S. & Jung, S.L.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:49766","<a href=http://data.rbge.org.uk/herb/E00042330 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042330",NA,"1976","08","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:17-03","E","E","42321","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","piriri","Mabea piriri","Spruce, R.","E. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:49841","<a href=http://data.rbge.org.uk/herb/E00042321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042321","4888","1905","01","28","unspecified kind of","Tarapoto","Prope Tarapoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:17-03","E","E","42347","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","piriri","Mabea piriri","Moses, T.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:49753","<a href=http://data.rbge.org.uk/herb/E00042347 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00042347","64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1039212","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","brasiliensis","Mabea brasiliensis","R. Marquete","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482302' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039212","1294","1993","10","20",NA,"Rio de Janeiro","APA - Cairuçú. Estrada para Paratí-Mirim.","Magnoliophyta","Malpighiales","Müll.Arg.","A. S. de Oliveira","Paratí","-44.7131","-23.2178","NY01039212_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","8371","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","brasiliensis","Mabea brasiliensis","L. Riedel","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008371","s.n.",NA,NA,NA,"isosyntype",NA,NA,"Magnoliophyta","Malpighiales","Müll.Arg.",NA,NA,NA,NA,"NY00008371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","8372","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","brasiliensis","Mabea brasiliensis","L. Riedel","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=130892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008372","s.n.",NA,NA,NA,"isosyntype",NA,"Brasilia","Magnoliophyta","Malpighiales","Müll.Arg.",NA,NA,NA,NA,"NY00008372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1039208","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","brasiliensis","Mabea brasiliensis","M. do C. M. Marques","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482293' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039208","421","1994","08","06",NA,"Rio de Janeiro","Apa-cairucu, Laranjeiras, estrada para Praia do Sono.","Magnoliophyta","Malpighiales","Müll.Arg.",NA,"Paratí","-44.6896362","-23.2848728","NY01039208_01","40","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1039056","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","brasiliensis","Mabea brasiliensis","C. Farney","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481627' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039056","2307","1989","07","05",NA,"Rio de Janeiro","Sertão do Taquari, km 164 da Rod. Rio Santos.","Magnoliophyta","Malpighiales","Müll.Arg.","G. M. Barroso","Paratí","-44.7131","-23.2178","NY01039056_01","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
