"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","barcode","recordNumber","phylum","imagecode","class","order","continentOcean","occurrenceRemarks","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","decimalLongitude","decimalLatitude","individualCount"
"1","2020-06-29 11:32:08-03","UFRJ","RFA","20719","PreservedSpecimen","Plantae","Potamogetonaceae","Zannichellia","palustris","major","Zannichellia palustris major","Hartm.","S. A. Cain; G.W. Prescott","1947","06","21","E.U.A.","Michigan","Michigan","Sodom Lake, Oakland Co.","RFA32009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:33:03-03","EAO","IAN","108244","PreservedSpecimen","Plantae","Zannichelliaceae","Zannichellia","palustris",NA,"Zannichellia palustris","L.","Grant, V",NA,NA,NA,NA,NA,NA,NA,"IAN108244","8067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:29:15-03","UFBA","ALCB","13961","PreservedSpecimen","Plantae","Potamogetonaceae","Zannichellia","palustris",NA,"Zannichellia palustris","L.","s.col.","1841",NA,NA,"França",NA,"Paris","Canal Saint Denis","ALCB014296","s/n","Monocotyledon","ALCB014296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U.1772693","PreservedSpecimen","Plantae","Potamogetonaceae","Zannichellia","palustris",NA,"Zannichellia palustris","L.","Plowman TC; Davis EW","1974","12","08","Peru",NA,NA,"Depto. Lima: Prov. Canta. Valle del Rio Chillon, Yangas.","NL-U1772693",NA,NA,"NL-U1772693","Magnoliopsidae","Alismatales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1772693 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:33:18-03","MN","R","237344","PreservedSpecimen","Plantae","Potamogetonaceae","Zannichellia","palustris",NA,"Zannichellia palustris","L.","Mussat, E.","1864","07","19","França",NA,NA,NA,"R010065547",NA,NA,"R010065547",NA,NA,NA,"Herbier E. Mussat.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:33:18-03","MN","R","237345","PreservedSpecimen","Plantae","Potamogetonaceae","Zannichellia","palustris",NA,"Zannichellia palustris","L.","Netto, L.S.M.","1878","06","20","França",NA,NA,NA,"R010065546",NA,NA,"R010065546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:33:18-03","MN","R","237349","PreservedSpecimen","Plantae","Potamogetonaceae","Zannichellia","palustris",NA,"Zannichellia palustris","L.","Ward, L.F.","1875",NA,NA,"Estados Unidos da América","Utah",NA,NA,"R010065548","214",NA,"R010065548",NA,NA,NA,"U.S. Geological and Geographical Survey of the Territories, Second Division, J.W. Powell in charge.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:33:18-03","MN","R","237353","PreservedSpecimen","Plantae","Potamogetonaceae","Zannichellia","palustris",NA,"Zannichellia palustris","L.","Grant, V. ; Schneider, I.","1947","07","19","Estados Unidos da América","Califórnia",NA,NA,"R010065544","8067",NA,"R010065544",NA,NA,NA,"California Division of Fish and Game, Federal Aid in Wildlife Restoration, Project California 20-R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:33:18-03","MN","R","237703","PreservedSpecimen","Plantae","Potamogetonaceae","Zannichellia","palustris",NA,"Zannichellia palustris","L.",NA,NA,NA,NA,NA,NA,NA,NA,"R010065545","4195",NA,"R010065545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:33:18-03","MN","R","85206","PreservedSpecimen","Plantae","Potamogetonaceae","Zannichellia","palustris",NA,"Zannichellia palustris","L.","Asplund, E.","1940","06","19","Peru","Junín","Cerro","Cerro de Pasco","R010066231","11760",NA,NA,NA,NA,NA,"Inter Regnellianum quartum. Flora peruviana.","Haynes, R.R.","2001","4300","4300",NA,NA,NA,NA,NA
