"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","73972","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","nuda","Huperzia nuda","(Nessel) B.Øllg.","B. Øllgaard","isotype","A. C. Brade","18082","1906","05","South America","Brazil","Rio de Janeiro","Campo do Itatiaya","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00073972","NY00073972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:31:07-03","UFRJ","RFA","43427","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","nudus","Phlegmariurus nudus","(Nessel) B.Øllg.",NA,NA,"Sylvestre, L.","2055","2007","06",NA,"Brasil","Minas Gerais","Parque Nacional do Itatiaia. Estrada para Agulhas Negras.",NA,"Em barrancos às margens do caminho.","RFA47416",NA,"14","Itamonte","-44.731389","-22.363056","44º43'53''W","22º21'47''S","2230","2230",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 09:58:44-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","01236","S","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","nuda","Huperzia nuda","(Nessel) B. Ollg. & Wind","B. Ollgaard",NA,"B. Ollgaard et Windisch","4984","1987","02","América do Sul","Brasil","São Paulo","estrada de acesso aos campos",NA,"GEOGRAFIA: vegetação arbóreo-arbustiva, terrestre;",NA,NA,"11","Serra da Bocaina",NA,NA,NA,NA,NA,NA,"Lycopodiopsida",NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 09:58:44-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","01219","S","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","nuda","Huperzia nuda","(Nessel) B. Ollg. & Wind","B. Ollgaard",NA,"B. Ollgaard et Windisch","5005","1987","02","América do Sul","Brasil","São Paulo","sentido Paraty",NA,"GEOGRAFIA: região de mata pluvial de encosta;",NA,NA,"13","Cunha","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"Lycopodiopsida","38855","auto",NA,NA,NA,NA,NA
"5","2020-02-08 08:41:40-03","NBC","NL-BOTANY","U.1016637","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Huperzia","nuda","Huperzia nuda","(Nessel) B.Øllg. & P.G.Windisch","Øllgaard B",NA,"Camerik AM",NA,"1975","10","Southern America","Brazil","Rio de Janeiro",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1016637 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1016637","NL-U1016637","27",NA,NA,NA,NA,NA,NA,NA,"Lycopsida",NA,NA,"U 0097067",NA,NA,NA,NA
"6","2020-11-04 10:56:02-03","ESALQ","ESA","134390","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","nudus","Phlegmariurus nudus","(Nessel) B.Øllg.","D. S. Gissi",NA,"Gissi, D. S.","99.0","2015","02",NA,"Brasil","Minas Gerais","Parque Nacional do Itatiaia",NA,"Prateleiras. Erva terrestre com microfilos cartáceos, crescendo em meio às rochas junto a outra espécie de Phlegmariurus.","ESA134390",NA,"07","Bocaina de Minas","-44.3946990966797","-22.1674995422363","22º23'25,2",NA,"2364","2364",NA,"35110","auto",NA,"2015",NA,NA,NA
"7","2019-11-21 14:50:29-03","UFJF","CESJ","22656","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","nudus","Phlegmariurus nudus","(Nessel) B. Øllg.","B. Øllgaard",NA,"L. Krieger; et al.","CESJ22656","1988","09","América do Sul","Brasil","Minas Gerais","Parque Nacional do Caparaó, Cachoeira Bonita.",NA,"Rupícola, sobre rochas gnaisses, local muito úmido.","CESJ022656","CESJ022656","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","09","12",NA
"8","2019-11-21 14:50:29-03","UFJF","CESJ","64240","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","nudus","Phlegmariurus nudus","(Nessel) B. Øllg.","V.A.O. Dittrich",NA,"V.A.O. Dittrich; A.A. Vale; J.H.C. Ribeiro; L.D. Santana","1880","2014","05","América do Sul","Brasil","Minas Gerais","Pico do Papagaio, Picada para o Pico do Papagaio",NA,"Terrícola em borda de Floresta Ombrófila Densa","CESJ064240","CESJ064240","11","Aiuruoca","-44.65225","-22.044278","-44.65225","-22.044278","1919","1919",NA,NA,NA,NA,"2014","05",NA,NA
"9","2019-11-21 14:50:29-03","UFJF","CESJ","72477","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","nudus","Phlegmariurus nudus","(Nessel) B. Øllg.","F. Gonzatti",NA,"F. Gonzatti; L. Nogueira; G. Coelho","3925","2017","11","América do Sul","Brasil","Minas Gerais",NA,NA,"Erva ereta em área de lageado, subida para a Tronqueira","CESJ072477",NA,"13","Alto Caparaó","-41.837111","-20.409917","-41.837111","-20.409917","1350","1350",NA,NA,NA,NA,"2018","11",NA,NA
"10","2019-11-21 14:50:29-03","UFJF","CESJ","56983","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","nudus","Phlegmariurus nudus","(Nessel) B. Øllg.","V.A.O. Dittrich",NA,"A. Salino; G. Heringer; D.S. Lara; P.L. Giorgini; J.J.Andrade","11131","2006","05","América do Sul","Brasil","Minas Gerais","RPPN Mata do Sossego, entre 1150-1600m de altitude, 20º03'55,3 S, 42º04'25,9 W.",NA,"Floresta ombrófila densa montana, em área de vales e interflúvios. Rupícola em paredão rochoso na borda de mata e margem de riacho. Prensado em álcool.","CESJ056983","CESJ056983","21","Simonésia","-42.0013999938965","-20.1238994598389",NA,NA,NA,NA,NA,"37999","auto",NA,"2016","07",NA,NA
