"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","884625","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Agrostis","longiberbis","Agrostis longiberbis","Hack. ex L.B.Sm.","L. B. Smith","R. Reitz","6483","1958","02","05","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim","-49.2656","-26.1925","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=962975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884625","NY00884625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00837686","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Agrostis","longiberbis","Agrostis longiberbis","Hack. ex L.B.Sm.",NA,"M. A. Chase","9557","1925","04","19","South America","Brazil","Minas Gerais",NA,"Open summit of Serra da Gramma","-42.478219","-20.753455","1200","1200","sheet","State name inferred from label data <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837686","NY00837686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","884626","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Agrostis","longiberbis","Agrostis longiberbis","Hack. ex L.B.Sm.","L. B. Smith","R. Reitz","6483","1958","02","05","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim","-49.2656","-26.1925","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=962976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884626","NY00884626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","884624","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Agrostis","longiberbis","Agrostis longiberbis","Hack. ex L.B.Sm.","J. R. Swallen","L. B. Smith","8299","1956","12","05","South America","Brazil","Santa Catarina",NA,"Mun. Curitibanos and Campos Novos. West of Curitibanos toward Campos Novos. 14 km from Curitibanos.",NA,NA,"850","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=962941' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884624","NY00884624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:39-03","UFRJ","RFA","30714","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Agrostis","longiberbis","Agrostis longiberbis","Hack. ex L.B.Sm.",NA,"Kátia T.Ribeiro","279",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Planalto do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RFA30551",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:39-03","UFRJ","RFA","23136","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Agrostis","longiberbis","Agrostis longiberbis","Hack. ex L.B.Sm.",NA,NA,NA,"1950","05",NA,NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia, Base das Agulhas","-44.4467010498047","-22.468900680542",NA,NA,NA,NA,"RFA30622",NA,"36089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:39-03","UFRJ","RFA","23135","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Agrostis","longiberbis","Agrostis longiberbis","Hack. ex L.B.Sm.",NA,NA,NA,"1950","05",NA,NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia, Base das Agulhas","-44.4467010498047","-22.468900680542",NA,NA,NA,NA,"RFA30624",NA,"36089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:15:46-03","NBC","NL-BOTANY","L.1207477","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Agrostis","longiberbis","Agrostis longiberbis","Hack. ex Usteri",NA,"Reitz R; Klein RM",NA,"1958","02","05","Southern America","Brazil",NA,NA,"Santa Catarina - Merre de Iquererim, Campo Alegre. [!].",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1207477 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1207477","NL-L1207477",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:18:29-03","ESALQ","ESA","9712","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Agrostis","longiberbis","Agrostis longiberbis","Hack.","Valls, J.F.M.","Souza, V.C. et al.","3522.0","1993","05","19",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA009712","ESA009712","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:18:29-03","ESALQ","ESA","9579","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Agrostis","longiberbis","Agrostis longiberbis","Hack.","Valls, J.F.M.","Souza, V.C. et al.","2294.0","1993","02","14",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA009579","ESA009579","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
