"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","year","month","day","stateProvince","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","626252","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","V. Plana","L. Riedel","1449","South America","Brazil","Pr. Capanéma.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626252","NY00626252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","579258","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana",NA,"H. S. Irwin","28922","South America","Brazil","Serra de Espinhaço. Lower slopes of Serra da Caraça, ca. 10 km. W of Barao de Cocais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579258","NY00579258_01","isotype","1971","01","23","Minas Gerais","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626404","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","J. R. Pirani","N. Hensold","CFCR2778","South America","Brazil","Serra do Caraça. (A 1km do hotel, trilha p/a piscina).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626404","NY00626404_01",NA,"1982","01","09","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01021669","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","V. Plana","Collector unknown","s.n.","South America","Brazil","Ouro Preto.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021669","NY01021669_01",NA,"1893","07",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626244","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","V. Plana","P. T. Sano","s.n.","South America","Brazil","Municipio Abaíra-Catolés. Serra do Barbado. Ao longo do caminho da forquilha da Serra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626244","NY00626244_01",NA,"1994","02","26","Bahia","1750","2035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","626251","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","V. Plana","P. T. Sano","s.n.","South America","Brazil","Município de Abaíra-Catolés. Serra do Barbado. Ao longo do caminho da forquilha da Serra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626251","NY00626251_01",NA,"1994","02","26","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:44:02-03","UFJF","CESJ","45624","PreservedSpecimen","Plantae","Angiosperma",NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana",NA,"J.R. Stehmann","3498","América do Sul","Brasil","RPPN do Caraça, Lat: S, Lon.: W, Alt.:m",NA,"Árvore; folhas com nervuras discolares, ferrugíneas, flores esbranquiçadas; na Floresta Estacional Semidecidual.","CESJ045624",NA,NA,"2003","12","18","Minas Gerais",NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto",NA,NA,NA,NA,NA
"8","2020-12-21 16:42:07-03","MBM","MBM","254459","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana","Pirani, J.R.","Hensold, N.; et al.; et al.","2778","Southern America","Brazil","Serra do Caraça",NA,NA,"MBM254459","MBM254459",NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:40:32-03","UFMG","BHCB","107347","PreservedSpecimen","Plantae","Dicotyledon",NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana",NA,"Mendes, MS; Brina, AE","s.n.","Southern America","Brasil","Mineração Casa de Pedra, Corpo Norte - CSN",NA,"Hábito: arbóreo",NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,"Congonhas","-43.8577995300293","-20.4997005462646","16368","auto",NA,NA,NA,NA,NA
"10","2020-12-11 11:40:32-03","UFMG","BHCB","67350","PreservedSpecimen","Plantae","Dicotyledon",NA,"Proteaceae","Euplassa","semicostata","Euplassa semicostata","Plana",NA,"Mota, RC da","1166","Southern America","Brasil","Serra do Caraça.",NA,"Planta coletada em campo rupestre; subarbóreo.",NA,NA,NA,"2000","12","16","Minas Gerais",NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto",NA,NA,NA,NA,NA
