"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","recordNumber","phylum","order","continentOcean","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","typeStatus","individualCount"
"1","2021-04-05 14:34:00-03","UNESC","CRI","5429","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","warmingii","Coccoloba warmingii","Meisn.","V. C. Zanette","Clair M. Martinello; Aurélio Aguiar","1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.288056","-28.358611","49º17'17''W","28º21'31''S","CRI008914","CRI008914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:00-03","UNESC","CRI","3132","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","warmingii","Coccoloba warmingii","Meisn.",NA,"J. A. Jarenkow; R. Zacchia","1992","01","06","Brasil","Rio Grande do Sul","Torres","Colônia São Pedro.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","CRI008916","CRI008916","36","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:54-03","UNESC","CRI","1028","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","warmingii","Coccoloba warmingii","Meisn.",NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1991","04","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI008913","CRI008913","300","300","1306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:54-03","UNESC","CRI","678","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","warmingii","Coccoloba warmingii","Meisn.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1991","11","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI008912","CRI008912","300","300","1028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:54-03","UNESC","CRI","1063","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","warmingii","Coccoloba warmingii","Meisn.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI008915","CRI008915","300","300","1341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","484896","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","warmingii","Coccoloba warmingii","Meisn.","B. M. Boom","S. A. Mori","1981","05","10","Brazil","Bahia","Ilhéus","Road from Olivença to Maruim, 6-8 km W of Olivença","-39.0492","-14.7892",NA,NA,"NY00484896","NY00484896_01","50","50","13936","Magnoliophyta","Caryophyllales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651528' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","484900","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","warmingii","Coccoloba warmingii","Meisn.","G. G. Hatschbach","G. G. Hatschbach","1979","01","04","Brazil","Paraná","Antonina","Manduira","-48.800146","-25.465922",NA,NA,"NY00484900","NY00484900_01",NA,NA,"41823","Magnoliophyta","Caryophyllales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651530' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","484898","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","warmingii","Coccoloba warmingii","Meisn.","R. A. Howard","R. M. Klein","1957","11","27","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"NY00484898","NY00484898_01","750","750","2286","Magnoliophyta","Caryophyllales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651531' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","484901","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","warmingii","Coccoloba warmingii","Meisn.",NA,"G. G. Hatschbach","1983","11","29","Brazil","Paraná","Antonina","Pinheirinho","-48.7117","-25.4286",NA,NA,"NY00484901","NY00484901_01","5","10","47142","Magnoliophyta","Caryophyllales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651533' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","484897","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","warmingii","Coccoloba warmingii","Meisn.","E. de Melo","G. G. Hatschbach","1984","06","13","Brazil","Bahia","Andaraí","Rio Santo Antônio","-41.33","-12.8",NA,NA,"NY00484897","NY00484897_01",NA,NA,"48071","Magnoliophyta","Caryophyllales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651527' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
