"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","occurrenceRemarks","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","imagecode","dayIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","typeStatus"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3473","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz","Sergio Gurken","2014","08","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:35-03","UFRJ","RFA","28603","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Epífita cultivada, sem procedência, coletada estéril, material para DNA","T. Wendt; G.K. Brown; A.P.G. Faria","337","2000","11","24","Brasil","Rio de Janeiro","Rio de Janeiro","Vargem grande, propriedade particular de João Mário de Mello. Material em cultivo na casa de vegetação","-43.2075004577637","-22.9027996063232","57442","RFA52396","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:25:26-03","MN","R","230243","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B. Sm. & Reitz","Almeida, M.M. & Costa, A.F.","2014","09",NA,"Almeida, M.M. 191; Oliveira, R.R.",NA,"2014","09",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Guapiaçú","-42.6530990600586","-22.4624996185303","32671","R010034073,R010034074","auto","R010034073 R010034074",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:16:20-03","UFV","VIC","052589","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Planta epífita ameaçada de extinção. Folha de coloração verde escuro coberta de escamas peltadas esbranquiçadas de ambos lados. Inflorescência muito longa formando monocásio de monocásios(4),brácteas florais e de escapo com coloração r","Paula, C.C. de","s.n.",NA,NA,NA,"Brasil","Minas Gerais",NA,"BR 116",NA,NA,NA,"VIC052589",NA,"VIC052589",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:16:20-03","UFV","VIC","51240","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Planta epífita ameaçada de extinção. Folha de coloração verdes escuro, cobertas por escamas peltadas esbranquiçadas de ambos os lados. Inflorescência muito longa, formando um monocásio de monocásios (4 monocásios), brácteas florais e d","Paula, C.C.","s.n.","2015","10","17","Brasil","Minas Gerais",NA,"ao lado da estrada (BR 116)",NA,NA,NA,"VIC051240",NA,"VIC051240",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:20-03","UFV","VIC","051041","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Epífita. População ao longo da BR 116. Em árvores velhas e isoladas. Propriedade particular antiga com muitas árvores. Indivíduos com grande variabilidade de cores de folha: verde, vinho-alaranjado, vinho","PAULO M.L.;; FREGONEZI J.N.","005","2017","09","30","Brasil","Minas Gerais","Além Paraíba",NA,"-42.7043991088867","-21.8878002166748","24865","VIC051041","auto","VIC051041",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:16:20-03","UFV","VIC","051044","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Epífita. Indivíduos em árvores isoladas em área rural aol longo do rio Paraíba do Sul. Inflorescência com mais de 1 metro.","PAULO M.L.;; FREGONEZI J.N.","008","2017","12","13","Brasil","Minas Gerais","Leopoldina",NA,"-42.6431007385254","-21.5319004058838","26325","VIC051044","auto","VIC051044 VIC051044_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:16:20-03","UFV","VIC","051038","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Epífita. População concentrada em uma fazenda ao lado do Rio Muriaé, coletadas em 4 árvores. Inflorescência com mais de 1 metro.","PAULO M.L.;; FREGONEZI J.N.","002","2017","09","28","Brasil","Minas Gerais","Muriaé",NA,"-42.3664016723633","-21.1305999755859","32715","VIC051038","auto","VIC051038",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:16:20-03","UFV","VIC","051037","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Epífita. Plantas em árvores isoladas ao longo do Rio Fumaça. Mata ciliar devastada. Área de pecuária. Poucas árvores com a espécie. Inflorescência com mais de 1 metro.","PAULO M.L.;; FREGONEZI J.N.","001","2017","08","26","Brasil","Minas Gerais","Muriaé",NA,"-42.3664016723633","-21.1305999755859","32715","VIC051037","auto","VIC051037",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:16:20-03","UFV","VIC","051042","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Epífita. População em árvores dispersas ao longo de estradas de chão paralela ao Rio novo. Inflorescência com mais de 1 metro.","PAULO M.L.;; FREGONEZI J.N.","006","2017","09","30","Brasil","Minas Gerais","São João Nepomuceno",NA,"-43.0106010437012","-21.5400009155273","20981","VIC051042","auto","VIC051042 VIC051042_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:16:20-03","UFV","VIC","051040","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Epífita. Encontrada em árvores mais velhas, encontrada em mangueiras. Árvore chamada carrapateira com boa presença da spp. Região a 1 km do Rio Paraíba do Sul. Inflorescência com mais de 1 metro.","PAULO M.L.;; FREGONEZI J.N.","004","2017","09","29","Brasil","Rio de Janeiro","Carmo",NA,"-42.6086006164551","-21.9335994720459","21959","VIC051040","auto","VIC051040 VIC051040_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:16:20-03","UFV","VIC","051039","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Epífita. Bromélias concentradas na estrada indo para Carmo ao lado do rio Paquequer. Mata ciliar bem devastada. Inflorescência com mais de 1 metro.","PAULO M.L.;; FREGONEZI J.N.","003","2017","09","29","Brasil","Rio de Janeiro","Carmo",NA,"-42.6086006164551","-21.9335994720459","21959","VIC051039","auto","VIC051039 VIC051039_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:16:20-03","UFV","VIC","15141","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz","Leme, E.M.C.","1996","10","Árvore de grande porte na beira da estrada. Flores com pétalas amarelas, brácteas róseas e frutos azuis, epífita.","Paula, C.C.","1046","1995","09","20","Brasil","Rio de Janeiro","Carmo","Estrada Carmo-Prata","-42.6086006164551","-21.9335994720459","21959","VIC015141","auto","VIC015141","27",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:16:20-03","UFV","VIC","051043","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B.Sm. & Reitz",NA,NA,NA,"Epífita. Indivíduos em árvores ao longo da rodovia indo para Palma e em árvores isoladas ao longo de estradas de chão. Nenhum rio associado a região da população. Inflorescência com mais de 1 metro.","PAULO M.L.;; FREGONEZI J.N.","007","2017","10","01","Brasil","Rio de Janeiro","Miracema",NA,"-42.1967010498047","-21.4122009277344","17806","VIC051043","auto","VIC051043 VIC051043_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:32:41-03","UFJF","CESJ","60640","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B. Sm. & Reitz","A.P.G. de Faria","2012","09","Epífita reptante, sobre flamboyant. Bainha atrovinácea, lâmina verde-escura. Brácteas do escapo róseas, sépalas verdes, pétalas amarelas.","S.G. Furtado; L. Menini Neto; A.P.G. de Faria","144","2012","09",NA,"Brasil","Minas Gerais","Juiz de Fora","Campus da Universidade Federal de Juiz de Fora, Instituto de Ciências Biológicas.","-43.575167","-22.25",NA,"CESJ060640",NA,NA,NA,"América do Sul","-43.575167","-22.25",NA,NA,NA,NA,NA
"16","2019-11-21 14:32:41-03","UFJF","CESJ","71702","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Aechmea","bambusoides","Aechmea bambusoides","L.B. Sm. & Reitz","L. Menini Neto","2016","09","Epífita a 4m alt. Bainha atrovinácea, lâmina verde escura. Brácteas do escapo róseas, flores com sépalas verdes e pétalas amarelas.","D.E.F. Barbosa; E.O. Barbosa; J.O. Barbosa; D.O. Barbosa; M.B. Venâncio","302","2016","09","11","Brasil","Minas Gerais","São João Nepomuceno","Araci, Floresta semidecidual","-42.908056","-21.518611",NA,"CESJ071702",NA,NA,"11","América do Sul","-42.908056","-21.518611","300","300",NA,NA,NA
