"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","occurrenceRemarks","monthIdentified","fieldNumber","continentOcean","minimumElevationInMeters","individualCount","maximumElevationInMeters","class","order","dayIdentified","typeStatus"
"1","2019-12-04 15:26:39-03","PUCPR","HUCP","21197","S","Plantae","Monocotiledonea","Orchidaceae","Xylobium","colleyi","Xylobium colleyi","(Bateman ex Lindl.) Rolfe.","Lemos, JV","Lemos, JV","053","2008","02","10","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641","19508","HUCP00006309","HUCP00006309","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:40-03","ESALQ","ESA","114200","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Xylobium","colleyi","Xylobium colleyi",NA,"Breier, T.B.","Breier, T.B.","113.0","2002","05","23","Brasil","São Paulo","Cananeia",NA,"-47.9199981689453","-25.0100002288818","37574","ESA114200","ESA114200","auto","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:01:02-03","UNICAMP","UEC","90750","S","Plantae","Liliopsida","Orchidaceae","Xylobium","colleyi","Xylobium colleyi","(Bateman ex Lindl.) Schltr.",NA,"Gardolinski, PC; et al.","29905","1993","11","17","Brazil","Rio de Janeiro","Angra dos Reis","Fazenda São Lourenço, Trilha da margem da Cachoeira.","-44.647222","-23.044167",NA,"UEC001520","UEC001520",NA,NA,"-44.647222","-23.044167","Epífita. Pétalas e sépalas creme, alaranjados com pintas vinisas e labelo vinoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:01:02-03","UNICAMP","UEC","139897","S","Plantae","Liliopsida","Orchidaceae","Xylobium","colleyi","Xylobium colleyi","(Bateman ex Lindl.) Schltr.","Breier, TB","Breier, TB; Singer, RB","1018","2003","05","09","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Mangue Ipaneminha.","-47.9199981689453","-25.0100002288818","37574","UEC001513","UEC001513","auto","2004",NA,NA,NA,"09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:01:02-03","UNICAMP","UEC","139898","S","Plantae","Liliopsida","Orchidaceae","Xylobium","colleyi","Xylobium colleyi","(Bateman ex Lindl.) Schltr.","Breier, TB","Breier, TB; Singer, RB","233","2002","06","20","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes.","-47.9199981689453","-25.0100002288818","37574","UEC001516","UEC001516","auto","2004",NA,NA,NA,"09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:01:02-03","UNICAMP","UEC",NA,"S","Plantae","Liliopsida","Orchidaceae","Xylobium","colleyi","Xylobium colleyi","(Bateman ex Lindl.) Schltr.","Breier, TB","Breier, TB; Singer, RB","233","2002","06","20","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes.","-47.9199981689453","-25.0100002288818","37574","UEC001515",NA,"auto","2004",NA,NA,NA,"09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:01:02-03","UNICAMP","UEC","139896","S","Plantae","Liliopsida","Orchidaceae","Xylobium","colleyi","Xylobium colleyi","(Bateman ex Lindl.) Schltr.","Breier, TB","Breier, TB; Andrade, MAR","113","2002","05","23","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes.","-47.9199981689453","-25.0100002288818","37574","UEC001514","UEC001514","auto","2004",NA,NA,"Parcela E11, 7356, flores salmão com manchas púrpuras, duplicata 03/11/2003.","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:01:02-03","UNICAMP","UEC","115221","S","Plantae","Liliopsida","Orchidaceae","Xylobium","colleyi","Xylobium colleyi","(Bateman ex Lindl.) Schltr.","Pansarin, ER","Pansarin, ER","720","2000","02","02","Brazil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758","34265","UEC001518","UEC001518","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-01-25 04:36:00-02","MO","MOBOT","100763697","PreservedSpecimen","Plantae",NA,"Orchidaceae","Maxillaria","colleyi","Maxillaria colleyi","Bateman ex Lindl.","Valenzuela, L. (HOXA)","Luis Valenzuela G.","Valenzuela Gamarra 22333","2013","1","15","Peru","Pasco","Oxapampa","Distrito Oxapampa. Jardín de Orquídeas del JBM","-75.4072222","-10.5816667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","South America","1800.00000000","2",NA,NA,NA,NA,NA
"10","2019-01-25 04:36:00-02","MO","MOBOT","100763699","PreservedSpecimen","Plantae",NA,"Orchidaceae","Xylobium","colleyi","Xylobium colleyi","(Bateman ex Lindl.) Rolfe","Valenzuela, L. (HOXA)","Luis Valenzuela G.","Valenzuela Gamarra 22334","2013","1","15","Peru","Pasco","Oxapampa","Distrito Oxapampa. Jardín de Orquídeas del JBM","-75.4072222","-10.5816667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","South America","1800.00000000","1",NA,NA,NA,NA,NA
