"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","individualCount","coordinatePrecision","geoFlag","infraspecificEpithet","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:25:06-03","UNESC","CRI","7559","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platynema","Vriesea platynema","Gaudich.","Telma Elyta V. Azeredo","2006","11","07","Telma Elyta V. Azeredo","35","2006","11","07","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","Habitat: mata ciliar","CRI001837","CRI001837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","7558","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platynema","Vriesea platynema","Gaudich.","Rafael Martins","2006","10","27","Telma Elyta V. Azeredo",NA,"2006","10","26","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,"CRI001840","CRI001840","74","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:22-03","UNESC","CRI","4882","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platynema","Vriesea platynema","Gaudich.",NA,NA,NA,NA,"Clair Maria Martinello; Z. P. Topanotti","41","1995","09","07","Brasil","Santa Catarina","Forquilhinha","Prop. de Clair M. Martinello - São Pedro.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","Habitat: interior da mata Habito: epífita","CRI001839","CRI001839","28","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","535","S","Plantae","Bromeliaceae","Vriesea","platynema","Vriesea platynema","Gaudich.","Elton. C. M. Leme","2009","05",NA,"Elton M. C. Leme; Jones Caldas da Silva; Manuel de Mello",NA,"1999","09",NA,"Brasil","Rio de Janeiro","Cambará do Sul","Canion da Fortaleza",NA,NA,NA,NA,"254",NA,NA,NA,NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","148","S","Plantae","Bromeliaceae","Vriesea","platynema","Vriesea platynema","Gaudich.","Elton. C. M. Leme","2009","05",NA,"Roberto da Silva;","Silva249",NA,NA,NA,"Brasil","Santa Catarina","Curitibanos",NA,"-50.584400177002","-27.2828006744385",NA,NA,"254",NA,NA,NA,NA,"Magnoliophyta","Poales","1","25987","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","761","S","Plantae","Bromeliaceae","Vriesea","platynema","Vriesea platynema var. variegata","Gaudich.","Elton. C. M. Leme","2009","05",NA,"Jones Caldas da Silva;",NA,"1981",NA,NA,"Brasil","Santa Catarina","São Bento do Sul",NA,"-49.3786010742188","-26.2502994537354",NA,NA,"254",NA,NA,NA,NA,"Magnoliophyta","Poales","1","23090","auto","var. variegata",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","04207796","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platynema","Vriesea platynema","Gaudich.",NA,NA,NA,NA,"B. Maguire","32691","1951","12","02","Venezuela","Bolívar",NA,"Terrestrial on ore body above Chinese slide, east of hill. Cerro Bolívar",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4559985' target='other'> <mi>dwc_moreinfo</mi></a>","NY04207796",NA,"1200",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400513","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platynema","Vriesea platynema platynema","Gaudich.","R. Reitz",NA,NA,NA,"R. Reitz","7265","1958","10","16","Brazil","Santa Catarina","Rio do Sul","Alto Matador, Rio do Sul","-49.563988","-27.247405",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400513","NY00400513_01","800","800","Magnoliophyta","Poales",NA,NA,NA,"platynema","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","400515","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platynema","Vriesea platynema","Gaudich.","E. A. Mennega; K. U. Kramer",NA,NA,NA,"J. C. Lindeman","4085","1967","01","12","Brazil","Paraná","Morretes","Serra do Mar; Upper Rio do Corvo, S. of old road to Morretes, ca. 25 km E. of Curitiba","-48.906339","-25.339275",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400515","NY00400515_01","900","1100","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400565","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platynema","Vriesea platynema","Gaudich.",NA,NA,NA,NA,"J. A. Steyermark","105311","1971","11","27","Venezuela","Yaracuy",NA,"Secciones de selva nublada a lo largo del camino entre Aroa y Quebrada Honda y Altamira",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400565","NY00400565_01","1200","1200","Magnoliophyta","Poales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
