"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00894151","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","chrysorrachis","Mollinedia chrysorrachis","Perkins","P. C. Standley","Y. E. J. Mexia","5224a","1930","10","27","South America","Brazil","Minas Gerais","Viçosa","Viçosa. Fazenda de Aguada, about 2 km. from entrance.","-42.8817","-20.7542","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894151","NY00894151_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00894153","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","chrysorrachis","Mollinedia chrysorrachis","Perkins","H. S. Irwin","J. G. Kuhlmann","1635","1934","10","11","South America","Brazil","Minas Gerais",NA,"ESA - Viçosa - Minas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01080907","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","chrysorrachis","Mollinedia chrysorrachis polytricha","Perkins","Standley","Y. E. J. Mexia","4538","1930","03","31","South America","Brazil","Minas Gerais","Viçosa","Viçosa. Road to Sao Miguel, near stream Turba","-42.8817","-20.7542","710","710","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080907","NY01080907_01","polytricha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00894154","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","chrysorrachis","Mollinedia chrysorrachis","Perkins","P. C. Standley","Y. E. J. Mexia","5116a","1930","10","27","South America","Brazil","Minas Gerais","Viçosa","Fazenda de Aguada; 5 km beyond first house.","-42.8817","-20.7542","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894154","NY00894154_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00894152","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","chrysorrachis","Mollinedia chrysorrachis","Perkins","H. S. Irwin","L. O. Williams","6626","1945","04","15","South America","Brazil","Minas Gerais","Nova Lima","Serra da Mutuca, beyond Barreiro","-43.8467","-19.9858","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894152","NY00894152_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00894149","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","chrysorrachis","Mollinedia chrysorrachis","Perkins","P. C. Standley","Y. E. J. Mexia","5261","1930","11","06","South America","Brazil","Minas Gerais",NA,"Distrito Rio Branco. Road to São Geraldo; Mareco.","-42.792055","-20.879057","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894149","NY00894149_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00894150","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","chrysorrachis","Mollinedia chrysorrachis","Perkins","P. C. Standley","Y. E. J. Mexia","5264","1930","11","06","South America","Brazil","Minas Gerais",NA,"Distrito Rio Branco. Road to São Geraldo; Mareco.","-42.792055","-20.879057","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894150","NY00894150_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","454436","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","warmingii","Mollinedia warmingii","Perkins","F. C. Hoehne","F. C. Hoehne","28386","1931","10","19","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454436","NY00454436_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01096155","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","widgrenii","Mollinedia widgrenii","A.DC.","S. A. Nicolau","S. A. Nicolau","2041","1999","12","14","South America","Brazil","São Paulo","Cajuru","Sentido Barrosa.","-47.2997","-21.2703",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232596' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096155","NY01096155_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-05-17 10:20:00-03","NY","NYBG","02698803","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","widgrenii","Mollinedia widgrenii",NA,NA,"M. C. W. Vieira","1774","1990","11","13","South America","Brazil","Minas Gerais","Monte Belo","Fazenda Lagoa. Mata Lagoa. Trilha da Nascente.","-46.3675003051758","-21.3264007568359",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2979325' target='other'> <mi>dwc_moreinfo</mi></a>","NY02698803","NY02698803_01",NA,"16667","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
