"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-02-08 08:47:02-03","NBC","NL-BOTANY","U.1180433","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Calyceraceae","Boopis","itatiaiae","Boopis itatiaiae","Dusén","Strang H; Castellanos A","1966","12","30","Southern America","Brazil","rio de janeiro, itatiaia, Abrigo Rebougas.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1180433","NL-U1180433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:26:49-03","MN","R","10461","PreservedSpecimen","Plantae",NA,NA,"Calyceraceae","Boopis","itatiaiae","Boopis itatiaiae","Dusén","Glaziou, A.F.M.","1873","01","23",NA,"Brasil",NA,"Plantas do Brasil Central","R000010461","R000010461_001","Andrade, A.G.","1964","04","13","6586","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto",NA,NA,NA,NA
"3","2020-12-20 21:16:31-03","UFV","VIC","2871","PreservedSpecimen","Plantae",NA,NA,"Calyceraceae","Boopis","itatiaiae","Boopis itatiaiae","Dusén","Pilger","1934","12","28",NA,"Brasil","Brejo.","Planta pequena de flores alvas.","VIC002871","VIC002871",NA,NA,NA,NA,"s.n.","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto",NA,NA,NA,NA
"4","2019-11-13 11:17:29-03","USP","SPF","122878","PreservedSpecimen","Plantae",NA,NA,"Calyceraceae","Boopis","itatiaiae","Boopis itatiaiae","Dusén","Shepherd, GJ","1997","02","17",NA,"Brasil",NA,NA,"SPF00122878","SPF00122878","Magenta, MAG","1998","03",NA,"6","São Paulo","Queluz","-44.846389","-22.408333",NA,NA,"-44.846389","-22.408333",NA,NA
"5","2019-11-21 10:03:02-03","IBt","SP","312835","S","Plantae",NA,NA,"Calyceraceae","Boopis","itatiaiae","Boopis itatiaiae","Dusén","Shepherd, GJ; Goldenberg, R; Belinello, R; Galvão, JC; Santos, MV","1997","02","17",NA,"Brasil","Vale do Ruah, logo abaixo da Pedra da Mina",NA,NA,NA,"Pirani, JR; Magenta, MAG","2002",NA,NA,"97-6","São Paulo","Queluz","-44.846389","-22.408333",NA,NA,"-44.846389","-22.408333","2400","2400"
