"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber"
"1","2021-04-05 14:34:08-03","UNESC","CRI","2860","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","Cowan, L. B. Smith","R. Reitz","1966","12","23","Brasil","Santa Catarina","Ilhota","Parque Bot. do Morro do Baú.","-48.8275","-26.900278","48º49'39''W","26º54'1''S","11","11","Habito: arbórea","CRI009533","CRI009533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:08-03","UNESC","CRI","7082","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","C. Poli","C. Poli; F. Silva Filho","2001","12","12","Brasil","Santa Catarina","Ipuaçu",NA,"-52.467778","-26.695278","52º28'4''W","26º41'43''S",NA,NA,NA,"CRI009534","CRI009534","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:04-03","UNESC","CRI","14514","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","Stival-Santos, A","Stival-Santos, A.; Schmitt, J. & Silveira, S.","2009","05","13","Brasil","Santa Catarina","Palma Sola","Escondida. Escondida.","-53.3775","-26.471944","53º22'39''W","26º28'19''S","709","709","Florística IFFSC 6005(Arbórea) Habitat: Floresta Estacional Decidual; Estágio Avançado Habito: arbórea; Fruto verde;","CRI013585","CRI013585","697","2009","05","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:08-03","UNESC","CRI","6835","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","Cowan","P. R. Reitz; Smith","1967","04","07","Brasil","Santa Catarina","Ilhota",NA,"-48.828333","-26.901111","48º49'42''W","26º54'4''S",NA,NA,NA,"CRI009531","CRI009531","7021","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:04-03","UNESC","CRI","14513","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","Stival-Santos, A","Stival-Santos, A.; Silveira, S.","2009","03","02","Brasil","Santa Catarina","Romelândia","Esperança. Esperança.","-53.280556","-26.640556","53º16'50''W","26º38'26''S","559","559","Florística IFFSC 3309(Arbórea) Habitat: Floresta Estacional Decidual; Estágio Avançado Habito: arbórea; Fruto verde;","CRI013586","CRI013586","433","2009","03","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:08-03","UNESC","CRI","2859","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","Cowan, L. B. Smith","R. Reitz","1967","04","07","Brasil","Santa Catarina","Ilhota","Parque Bot. do Morro do Baú.","-48.8275","-26.900278","48º49'39''W","26º54'1''S","11","11","Habito: arbórea","CRI009536","CRI009536",NA,"1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","79901","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","eburneum","Balfourodendron eburneum","Corr.Mello",NA,"J. C. de Mello",NA,NA,NA,"Brazil",NA,NA,"'Sao Paulo, Campinos'",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00079901","NY00079901_01","s.n.",NA,NA,NA,"Magnoliophyta","Sapindales","syntype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","985280","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","P. Dias","G. G. Hatschbach","1984","10","16","Brazil","Mato Grosso do Sul","Antônio João","Km 0. Borda da chapada.","-55.9472","-22.1911",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985280","NY00985280_01","48544",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","330991","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","L. B. Smith","G. G. Hatschbach","1972","12","12","Brazil","Paraná","Lapa","Johanisdor (mun. Lapa) Paraná.","-49.7156","-25.7697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330991","NY00330991_01","30958",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","331002","PreservedSpecimen","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","K. Krause","A. Löfgren","1899","06","22","Brazil","São Paulo","Queluz","Queluz","-44.77","-22.5303",NA,NA,NA,NA,"On label Linha Sorocabana.Ex.Herv.Comm.Geogr.e Geol.de S.Paulo no. 5973. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331002","NY00331002_01","9146",NA,NA,NA,"Magnoliophyta","Sapindales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
