"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:43-03","UNESC","CRI","11045","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa","(Nutt.) H.Hara","Farias, D. M.","2018","05","23","A.L. de Gasper; L.A. Funez","3497","2014","02","14","Brasil","Santa Catarina","Luiz Alves","Morro do Belchior.","-48.933056","-26.721111","48º55'59''W","26º43'16''S","Floresta Ombrófila Densa Habitat: mata ciliar","CRI005727","CRI005727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:43-03","UNESC","CRI","14179","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa","(Nutt.) H.Hara","Renato Colares","2019","02","20","Fernando Carvalho",NA,"2018","07","18","Brasil","Santa Catarina","Treviso","Pousada Santo Antônio","-49.52","-28.489167","49º31'12''W","28º29'21''S","Flores amarelas. 18T. Habito: Arbustivo","CRI012907","CRI012907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:43-03","UNESC","CRI","8670","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa","(Nutt.) H.Hara","Farias, D. M.","2018","05","23","Polliana Zocche",NA,"2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,"CRI005761","CRI005761","112","112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:43-03","UNESC","CRI","10044","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa","(Nutt.) H.Hara","Farias, D. M.","2018","05","23","A.L. de Gasper; L.A. Funez","3097","2013","05","04","Brasil","Santa Catarina","Siderópolis","Mampituba.","-49.462778","-28.59","49º27'46''W","28º35'24''S","Floresta Ombrófila Densa Habitat: área de recuperação ambiental Habito: erva terrícola","CRI005738","CRI005738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:50-03","UNESC","CRI","7759","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa","(Nutt.) H.Hara","Tais B. Guimarães","2005","02","21","Daniel B. Falkenberg; Tais B. Guimarães",NA,"2005","02","21","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","Habito: subarbusto","CRI005752","CRI005752","17","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:43-03","UNESC","CRI","14377","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa","(Nutt.) H.Hara","Farias, D.M.","2018","02","16","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","1950","2017","12","04","Brasil","Santa Catarina","Águas Mornas",NA,"-48.871389","-27.718889","48º52'17''W","27º43'8''S","flor amarela Habitat: beira de lagoa Habito: erva","CRI013472","CRI013472","915","915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:43-03","UNESC","CRI","122","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa","(Nutt.) H.Hara","Farias, D. M.","2018","05","21","Vanilde C. Zanette; A. Bortot","560","1982","03","10","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,"CRI005757","CRI005757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:42:02-03","E","E","164055","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa",NA,NA,NA,NA,NA,"Pott, V.J.;","1276","1990","02","13","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00164055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164055",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:171597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:42:02-03","E","E","146937","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa",NA,NA,NA,NA,NA,"Pott, V.J.;","710","1988","10","25","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00146937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146937",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:171290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:42:02-03","E","E","164049","PreservedSpecimen","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa",NA,NA,NA,NA,NA,"Bueno, N.C. & Pott, V.J.","49","1989","05","06","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00164049 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164049",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:171609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
