"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","individualCount","class","typeStatus","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01090790","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","anthospermoides","Mitracarpus anthospermoides","K.Schum.","R. M. Salas; S. V. Sobrado","B. M. Boom","900","1981","05","23","South America","Brazil","Bahia","Salvador","Bairro of Itapuã, vicinity of airport, Dois de Julho.","-38.326094","-12.909706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225613' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090790","NY01090790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01090793","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","anthospermoides","Mitracarpus anthospermoides","K.Schum.","E. B. de Souza","B. M. Boom","983","1981","05","27","South America","Brazil","Bahia","Entre Rios","Ca 14 km W of Subauma along road to Itanagra","-37.8807387","-12.2250057","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225615' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090793","NY01090793_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1033097","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","anthospermoides","Mitracarpus anthospermoides","K.Schum.","R. M. Salas","W. Morawetz","18-31878","1978","08","31","South America","Brazil","Bahia","Salvador","ca. 35 km NE of the city of Salvador, 3 km NE of Itapoá.","-38.5106","-12.9711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211091' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033097","NY01033097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1033096","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mitracarpus","anthospermoides","Mitracarpus anthospermoides","K.Schum.","R. M. Salas","W. Morawetz","216-30878","1978","08","30","South America","Brazil","Bahia","Salvador","ca. 35 km NE of the city of Salvador, 3 km NE of Itapoá.","-38.5106","-12.9711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211089' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033096","NY01033096_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:23:46-03","UFBA","ALCB","04048","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Mitracarpus","anthospermoides","Mitracarpus anthospermoides","K.Schum.","Souza, EB de","Noblick, LR","1289","1979","05","06","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas de Itapuã","-38.35","-12.933333",NA,"flores brancas.",NA,NA,"1998","02","-38.35","-12.933333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:23:46-03","UFBA","ALCB","132064","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Mitracarpus","anthospermoides","Mitracarpus anthospermoides","K.Schum.","Santos, WTCC","Cardoso, D; Ramos, G; Araújo, LC","3824","2015","01","10","Southern America","Brasil","Bahia","Salvador","Restinga entre o Farol de Itapu? e UNIDUNAS.","-38.341944","-12.945278",NA,"ereto, crescendo em área aberto sobre areia exposta.","ALCB048705","ALCB048705","2018","10","-38.341944","-12.945278","05","21","21",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:23:46-03","UFBA","ALCB","29818","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Mitracarpus","anthospermoides","Mitracarpus anthospermoides","K.Schum.","Souza, EB de","Gomes, M; et al.","11","1996","03","13","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, dunas de Itapuã.","-38.35","-12.933333",NA,"ca. 20 cm. Folhas coriáceas. Flores alvas. Ocasional.; substrato arenoso.",NA,NA,"2007",NA,"-38.35","-12.933333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:23:46-03","UFBA","ALCB","49827","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Mitracarpus","anthospermoides","Mitracarpus anthospermoides","K.Schum.","Souza, EB de","Rodarte, ATA; Guedes, ML; Neves, EL das; et al.","33","1999","09","12","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas do Abaeté","-38.5","-12.966667",NA,"com ca. 13cm de altura. Inflorescência com flores alvas.; vegetação arbórea de ca. 2,5 m. de altura.",NA,NA,"2007",NA,"-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-25 16:51:33-03","UFBA","ALCB","51850","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Mitracarpus","anthospermoides","Mitracarpus anthospermoides","K.Schum.","Souza, EB de","Guedes, ML; Alunos de Botânica III","8207","2001","02","03","Southern America","Brasil","Bahia","Mata de São João","Litoral Norte","-38.283333","-12.516667",NA,"de ca. 25cm. Folhas pequenas revoluta. Flores alvas.",NA,NA,"2007",NA,"-38.283333","-12.516667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:23:46-03","UFBA","ALCB","65927","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Mitracarpus","anthospermoides","Mitracarpus anthospermoides","K.Schum.","Souza, EB de","Guedes, ML; Alunos de Botânica III","9609","2002","09","13","Southern America","Brasil","Bahia","Camaçari","Guarajuba","-38.316667","-12.683333",NA,"de ca, 0,20 m. Folhas revolutas. Flores alvas.; Dunas",NA,NA,"2007",NA,"-38.316667","-12.683333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
