"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","typeStatus","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:05-03","UNESC","CRI","2298","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","lorentziana","Tillandsia lorentziana","Griseb.","L. B. Smith","R. Reitz; R. M. Klein","1965","12","13","Brasil","Paraná","Ponta Grossa","Arenitos, Vila Velha.","-50.151111","-25.095556","50º9'4''W","25º5'44''S","Habito: epifítica","CRI001968","CRI001968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3877327","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","lorentziana","Tillandsia lorentziana","Griseb.",NA,"M. H. Nee","1995","12","29","Bolivia","Santa Cruz","Manuel María Caballero","2 km NW of Río San Isidro bridge in San Isidro, along the highway to Comarapa","-64.45","-18.03",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4187753' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877327",NA,"Magnoliophyta","Poales","46578","South America","1575","1700","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","822254","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","lorentziana","Tillandsia lorentziana","Griseb.","R. C. Tardivo","J. E. Leite","1941","12",NA,"Brazil","Rio Grande do Sul",NA,"Morro Spucaia.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822254","NY00822254_01","Magnoliophyta","Poales","2211","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-19 09:30:00-02","NY","NYBG","247353","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","lorentziana","Tillandsia lorentziana",NA,NA,"P. G. Lorentz","1871","01",NA,NA,NA,NA,"Las Peñas. [South America]",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247353","NY00247353_01","Magnoliophyta","Poales","69","South America",NA,NA,"sheet","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03877320","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","lorentziana","Tillandsia lorentziana","Griseb.",NA,"M. H. Nee","1988","02","11","Bolivia","Santa Cruz","Andrés Ibáñez","3 km SE of Cotoca","-62.97","-17.78",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4187744' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877320",NA,"Magnoliophyta","Poales","36284","South America","350",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1280768","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","lorentziana","Tillandsia lorentziana","Griseb.",NA,"R. M. Harley","1980","04","15","Brazil","Bahia",NA,"Basin of the Upper Sao Francisco River. Bom Jesus da Lapa. F4","-43.43","-13.25",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1620330' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280768","NY01280768_01","Magnoliophyta","Poales","21393","South America","450","600","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","822255","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","lorentziana","Tillandsia lorentziana","Griseb.","R. C. Tardivo","R. Reitz","1965","12","13","Brazil","Paraná","Ponta Grossa","Arenitos, Vila Velha, Ponta Grossa","-50.001697","-25.25301",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822255","NY00822255_01","Magnoliophyta","Poales","17546","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01112588","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","lorentziana","Tillandsia lorentziana","Griseb.","H. E. Luther","J. G. Jardim","2001","04","14","Brazil","Bahia","Serra do Ramalho","Ca. 18 km da cidade, entrada pela Agrovila 10","-43.7522","-13.5106",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215154' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112588","NY01112588_01","Magnoliophyta","Poales","3485","South America","510","510","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02713074","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","lorentziana","Tillandsia lorentziana","Griseb.","L. B. Smith","C. E. O. Kuntze","1891","12",NA,"Argentina","Córdoba",NA,"Dique",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3022118' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713074","NY02713074_01","Magnoliophyta","Poales","s.n.","South America",NA,NA,"sheet","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02713075","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","lorentziana","Tillandsia lorentziana","Griseb.","L. B. Smith","C. E. O. Kuntze","1892","04",NA,"Bolivia",NA,NA,"Tunari-Gebirge.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3022106' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713075","NY02713075_01","Magnoliophyta","Poales","s.n.","South America",NA,NA,"sheet","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
