"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1844014","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Collector unspecified","s.n.","1939","02","15","South America","Brazil","Espírito Santo","Sem indicação de localidade.Cultivada em Sao Paulo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134420' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844014","NY01844014_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:46:31-03","NBC","NL-BOTANY","L.1517744","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Miltonia","clowesii","Miltonia clowesii","(Lindl.) Lindl.","Herb Bondam R",NA,NA,NA,NA,"Southern America","Brazil",NA,"in Brasilia.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1517744 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1517744","NL-L1517744","Magnoliopsidae","L 0728147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:09-03","MN","R","216618","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Silva, A.G.O.; Silva, D.C. & Araújo, M.S.","51","2011","03","26",NA,"Brasil","Rio de Janeiro","Taquara",NA,NA,NA,NA,NA,NA,"Silva, A.G.O.","2011","Duque de Caxias","-43.3116989135742","-22.7856006622314","43°13#?#39.57#?##?#W","22°35#?#26.41#?##?#S","34388","244","244","auto",NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:41:09-03","MN","R","196984","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Santana, S.C.","58","1999","03","14",NA,"Brasil","Rio de Janeiro","Taquara",NA,"Herbarium Bradeanum",NA,NA,NA,NA,"Santana, S.C.","1999","Duque de Caxias","-43.3116989135742","-22.7856006622314",NA,NA,"34388","100","100","auto","03","15",NA,NA,NA,NA
"5","2020-12-20 21:18:46-03","UFV","VIC","013159","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Gomes, V.","s.n.","1969","03","31",NA,"Brasil","Minas Gerais","Em mata em beira de riacho.",NA,"Epífita, encontrada em mata a beira de riachos, flores em cachos, pintalgadas.","VIC013159","VIC013159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:18:46-03","UFV","VIC","003830","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","Pabst","s.n.","1955","06","14",NA,"Brasil","Minas Gerais","Jardim Botânico da ESAV",NA,NA,"VIC003830","VIC003830",NA,NA,NA,NA,"Viçosa","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"7","2016-07-05 11:14:18-03","FFCLRP","LBMBP","1079","S","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","(Lindl.) Lindl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-07-05 11:14:18-03","FFCLRP","LBMBP","1173","S","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","(Lindl.) Lindl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:40:53-03","UFJF","CESJ","71884","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","Lindl.","D.E.F. Barbosa; G.A. Basilio; H.R. Pereira Filho","372","2017","03","12","América do Sul","Brasil","Minas Gerais","Serra do Relógio, Floresta semidecidual montana",NA,"Epífita entre 4m e 13m. Cespitosa, Flores com sépalas e pétalas amareladas, com base lilás e máculas castanhas, labelo branco com base lilás. Interior de floresta.","CESJ071884",NA,NA,NA,"L. Menini Neto","2017","Descoberto","-42.935833","-21.387778","-42.935833","-21.387778",NA,"850","850",NA,"03","12",NA,NA,NA,NA
"10","2020-10-05 13:18:44-03","UFES","VIES","12554","S","Plantae",NA,NA,"Orchidaceae","Miltonia","clowesii","Miltonia clowesii","(Lindl.) Lindl.","Fraga, C.N.","117","1993","08","15",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES012554","VIES012554",NA,NA,"A.P. Fontana","2007","Cariacica","-40.4199981689453","-20.2639007568359",NA,NA,"18507",NA,NA,"auto","04",NA,NA,NA,NA,NA
