"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","sex"
"1","2021-04-05 14:34:06-03","UNESC","CRI","9009","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","A. Stival-Santos","2010","06","19","A. Stival-Santos; E. Legal & S. Silveira","3075","2010","06","19","Brasil","Santa Catarina","Palhoça","Maciambú.","-48.69","-27.81","48º41'24''W","27º48'36''S","4","4","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI009367","CRI009367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:06-03","UNESC","CRI","215","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Jorge Waechter",NA,NA,NA,"Vanilde Citadini-Zanette; Márcia Butuhy",NA,"1989","07",NA,"Brasil","Santa Catarina","Jaguaruna",NA,"-49.025833","-28.615556","49º1'33''W","28º36'56''S",NA,NA,NA,"CRI009373","CRI009373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:02-03","UNESC","CRI","574","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","924","1990","06","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI009363","CRI009363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:02-03","UNESC","CRI","9378","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","M. Verdi","2010","09","30","M. Verdi; N.L. de Souza & G. Klemz","3643","2010","02","17","Brasil","Santa Catarina","Urussanga","Linha Pacheco.","-49.23","-28.440278","49º13'48''W","28º26'25''S","165","165","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI009378","CRI009378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:02-03","UNESC","CRI","3482","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Marcos Sobral",NA,NA,NA,"Robson dos Santos; Sebastião Aleques Macedo Waltrick","42","1994","04","10","Brasil","Santa Catarina","Laguna","Estarada de acesso a Praia da Tereza.","-48.766667","-28.466667","48º46'W","28º28'S",NA,NA,NA,"CRI009370","CRI009370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:06-03","UNESC","CRI","876","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Vanilde Citadini-Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; C. L. Capella, M. Batista e Marcos Sobral","767","1987","12","10","Brasil","Santa Catarina","Camboriú",NA,"-48.654722","-27.025833","48º39'17''W","27º1'33''S",NA,NA,NA,"CRI009361","CRI009361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:06-03","UNESC","CRI","1299","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Marcos Sobral",NA,NA,NA,"Jairo Jose Zocche",NA,"1992","08","20","Brasil",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,"CRI009376","CRI009376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:26:02-03","UNESC","CRI","3481","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Vanilde Citadini- Zanette",NA,NA,NA,"Robson dos Santos; Clair Maria Martinello","40","1994","04","10","Brasil","Santa Catarina","Laguna","Estarada de acesso a Praia da Tereza.","-48.766667","-28.466667","48º46'W","28º28'S",NA,NA,NA,"CRI009366","CRI009366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:02-03","UNESC","CRI","13961","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Valdemar Boff","1995","11","04","Valdemar Boff",NA,"1995","11","04","Brasil","Santa Catarina","Urussanga","Rio América Baixo","-49.3175","-28.522778","49º19'3''W","28º31'22''S",NA,NA,"Botões e flores brancas Habitat: Terrestre Habito: subarbustivo","CRI012604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:06-03","UNESC","CRI","13096","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Sobral, M","2010","08","15","Dreveck, S.","2081","2010","04","14","Brasil","Santa Catarina","Timbó","Santa Clara. Santa Clara.","-49.320833","-26.818611","49º19'15''W","26º49'7''S","192","192","Florística IFFSC 747 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: arbustiva; Fruto verde;","CRI011712","CRI011712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:26:02-03","UNESC","CRI","9632","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","M. Verdi","2010","06","08","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4890","2010","06","08","Brasil",NA,"Paulo","Espraiado/Parque Estadual da Serra do Tabuleiro.","-48.78","-27.99","48º46'48''W","27º59'24''S","329","329","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI009000","CRI009000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:34:06-03","UNESC","CRI","909","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Vanilde Citadini-Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; F. M. Basto, M. Sobral e L. R. N. Baptista","800","1987","12","21","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,NA,NA,"CRI009362","CRI009362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:34:06-03","UNESC","CRI","3964","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","M. Sobral",NA,NA,NA,"Paulo Neves",NA,"1989","12","19","Brasil","Rio Grande do Sul","Terra de Areia",NA,"-50.071111","-29.585833","50º4'16''W","29º35'9''S",NA,NA,NA,"CRI009371","CRI009371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:34:06-03","UNESC","CRI","4781","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Daniel B. Falkenberg",NA,NA,NA,"Vanilde Citadini-Zanette; Piero Delprete e Adão Zanette","2052","1996","04","30","Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S",NA,NA,NA,"CRI009364","CRI009364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:26:02-03","UNESC","CRI","13874","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Fabio Speck","2018","05","12","Alexandre Medeiros","917","2018","05","12","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro APA Costa Brava","-48.585","-27.023333","48º35'6''W","27º1'24''S",NA,NA,"Fruto amarelo Habitat: Terrestre Habito: Arbóreo","CRI012485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:26:02-03","UNESC","CRI","10197","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","M. G. Caxambu","2012","08","13","M. G. Caxambu; et al.","4212","2012","07","31","Brasil","Mato Grosso do Sul","Miranda","Base de Pesquisas/UFMS Passo do Lontra Pantanal.","-56.378611","-20.241111","56º22'43''W","20º14'28''S","104","104","Floresta Estacional Semidecidual Aluvial","CRI009368","CRI009368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:34:06-03","UNESC","CRI","4953","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Vanilde Citadini-Zanette",NA,NA,NA,"Vanilde Citadini-Zanette","2175","1996","05","08","Brasil","Santa Catarina","Imbituba",NA,"-48.670556","-28.240556","48º40'14''W","28º14'26''S",NA,NA,NA,"CRI009374","CRI009374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:34:06-03","UNESC","CRI","8609","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Vanilde C. Zanette","2001","04","20","Clair M. Martinello",NA,"2001","04","20","Brasil","Santa Catarina","Garopaba",NA,"-48.613611","-28.023889","48º36'49''W","28º1'26''S","10","10",NA,"CRI009365","CRI009365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:34:06-03","UNESC","CRI","4148","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","Daniel B. Falkenberg","1997","09","12","V. P. Boff",NA,"1995","11","28","Brasil","Santa Catarina","Araranguá","Cavinete.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Habito: arbustiva","CRI009359","CRI009359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:34:06-03","UNESC","CRI","10627","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.",NA,NA,NA,NA,NA,NA,"2001","08","14","Brasil","Santa Catarina","Praia Grande","Aparados da Serra - Trilha das Mulas.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI009357","CRI009357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
