"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","relatedCatalogItem","day","verbatimLongitude","verbatimLatitude","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","1795760","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","exserta","Petunia exserta","Stehmann","isotype","M. Sobral","4290[= herb. SP 269137]","1985","09","South America","Brazil","Rio Grande do Sul","Caçapava do Sul","-53.4914016723633","-30.5121994018555","50525","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2024096' target='other'> <mi>dwc_moreinfo</mi></a>","NY01795760","NY01795760_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:35:36-03","NBC","NL-BOTANY","L 0003612","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Petunia","exserta","Petunia exserta","Stehmann","type","Sobral M",NA,NA,NA,"Southern America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"Erva,habitando as reentrancias (''''cavernas'''') úmidas e sombreadas, nas torres de arenito,crescendo em grande densidade<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200003612 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0003612","NL-L0003612",NA,"Magnoliopsidae","Stehmann JR","1987","02","01","BrazilRio Grande do SulCaçapava do Sul","989133871",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:39:13-02","BGBM","B","B 10 0248776","S","Plantae",NA,NA,"Solanaceae","Petunia","exserta","Petunia exserta","Stehmann","holotype","M. Sobral","4290",NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"Herb. Depto. Bot. da U.F.R.G.S. - Porto Alegre; isotype? <a href=http://herbarium.bgbm.org/object/B100248776 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100248776","B100248776",NA,NA,NA,NA,NA,NA,"Rio Grande do Sul, Caçapava do Sul.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:41:34-03","UNICAMP","UEC","65880","S","Plantae","Magnoliopsida",NA,"Solanaceae","Petunia","exserta","Petunia exserta","Stehmann",NA,"Stehmann, JR; Dutilh, JHA; Sciamarelli, A","1227","1993","12",NA,"Brazil","Rio Grande do Sul","Caçapava do Sul","-53.4914016723633","-30.5121994018555","50525",NA,"Erva ereta, ca. 0,2m altura. População com diversos indivíduos jovens. Flor com corola vermelho-rosado (cárneo), estames exsertos, anteras amarelas.; Solo raso na reentrância das rochas no alto das torres.","UEC047798","UEC047798","auto",NA,"Stehmann, JR",NA,NA,NA,"Guaritas, estrada Caçapava -> Minas do Camaquã.",NA,"06",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:41:34-03","UNICAMP","UEC","73435","S","Plantae","Magnoliopsida",NA,"Solanaceae","Petunia","exserta","Petunia exserta","Stehmann",NA,"Stehmann, JR","1603","1995","05",NA,"Brazil","São Paulo","Mogi das Cruzes","-46.1883010864258","-23.5228004455566","28666",NA,"Erva, flores vermelhas. Material cultivado, procedente do RS, Caçapava do Sul.","UEC047799","UEC047799","auto",NA,"Stehmann, JR",NA,NA,NA,"Sítio do Sr. Hiroshi Ikuda",NA,"17",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-01-17 11:27:13-02","PUCRS","MPUC","15058","S","Plantae",NA,"Solanales","Solanaceae","Petunia","exserta","Petunia exserta","J.R. Stehm. in Napaea",NA,NA,NA,"1991","11","South America","Brasil","RS","Caçapava do Sul","-53.4913888889","-30.5125",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,"Minas de Camaquã, Guaritas",NA,"06","-53.4913888889","-30.5125000000","250","350","1",NA,NA,NA
"7","2019-01-17 11:27:13-02","PUCRS","MPUC","20960","S","Plantae",NA,"Solanales","Solanaceae","Petunia","exserta","Petunia exserta","J.R. Stehm. in Napaea",NA,"M. Sobral",NA,"1995","11","South America","Brasil","RS","Santana da Boa Vista","-53.1152992248535","-30.8719005584717","47489",NA,"Sob rochas (aglomerados) em encosta abrupta",NA,NA,"auto","Magnoliopsida","M. Sobral","1995","01","01","Serra do Apertado",NA,"02",NA,NA,NA,NA,"1","2818",NA,NA
"8","2020-12-11 11:41:53-03","UFMG","BHCB","140439","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Petunia","exserta","Petunia exserta","Stehmann",NA,"Segatto, ALA; Mäder, G","133","2009","11","Southern America","Brasil","Rio Grande do Sul","Caçapava do Sul","-53.503225","-30.832203",NA,NA,"pto59","BHCB055416",NA,NA,NA,NA,NA,NA,NA,"Guaritas",NA,"06","-53.503225","-30.832203",NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:41:53-03","UFMG","BHCB","140440","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Petunia","exserta","Petunia exserta","Stehmann",NA,"Segatto, ALA; Mäder, G","134","2009","11","Southern America","Brasil","Rio Grande do Sul","Caçapava do Sul","-53.500036","-30.838156",NA,NA,"pto61","BHCB055417",NA,NA,NA,NA,NA,NA,NA,"Guaritas",NA,"06","-53.500036","-30.838156",NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:41:53-03","UFMG","BHCB","140441","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Petunia","exserta","Petunia exserta","Stehmann",NA,"Segatto, ALA; Mäder, G","136","2009","11","Southern America","Brasil","Rio Grande do Sul","Caçapava do Sul","-53.521575","-30.838942",NA,NA,"pto68","BHCB055414",NA,NA,NA,NA,NA,NA,NA,"Guaritas",NA,"06","-53.521575","-30.838942",NA,NA,NA,NA,NA,NA
