"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","recordNumber","imagecode","class","order","continentOcean","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","preparationType"
"1","2021-04-05 14:25:49-03","UNESC","CRI","14091","PreservedSpecimen","Plantae","Poaceae","Avena","strigosa","Avena strigosa","Schreb.","Amanda Matiola, Caleb Borges & Júlia Guissone","2018","10","30","Valdemar Boff","1996","11","17","Brasil","Santa Catarina","Taquara Verde","Floresta Nacional de Caçador","Habitat: Terrestre Habito: Herbácea","CRI012741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:49-03","UNESC","CRI","14155","PreservedSpecimen","Plantae","Poaceae","Avena","strigosa","Avena strigosa","Schreb.","Amanda Matiola & Caleb Borges","2018","11","08","Valdemar Boff","1996","11","17","Brasil","Paraná","Bituruna","Repreza Foz de Areia","Habitat: Terrestre Habito: Herbácea","CRI012806","-51.5525016784668","-26.1613998413086","30743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-24 17:10:58-03","UTFPR","DVPR","2103","PreservedSpecimen","Plantae","Poaceae","Avena","strigosa","Avena strigosa","Schreb.",NA,"2014",NA,NA,"Bruneto, D","2014","08","09","Brasil","Paraná","Dois Vizinhos",NA,"Erva.","DVPR002103","-53.057201385498","-25.7336006164551","19637","auto","Magnoliophyta","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-24 17:10:58-03","UTFPR","DVPR","2046","PreservedSpecimen","Plantae","Poaceae","Avena","strigosa","Avena strigosa","Schreb.","Ciliprandi, AP","2014",NA,NA,"Ciliprandi, AP",NA,NA,NA,"Brasil","Paraná","Renascença",NA,"Erva.","DVPR002046","-52.9688987731934","-26.1581001281738","24200","auto","Magnoliophyta","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:18:35-03","ESALQ","ESA","19435","PreservedSpecimen","Plantae","Poaceae","Avena","strigosa","Avena strigosa","Schreb.","referido em Longhi-Wagner, H.M.",NA,NA,NA,"Barreto, K.D. et al.","1994","08","11","Brasil","São Paulo","Anhembi",NA,NA,"ESA019435","-48.1199989318848","-22.7800006866455","25656","auto","Magnoliophyta","2870.0","ESA019435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:18:35-03","ESALQ","ESA","7184","PreservedSpecimen","Plantae","Poaceae","Avena","strigosa","Avena strigosa","Schreb.","referido em Longhi-Wagner, H.M.",NA,NA,NA,"Rodrigues, P.O.","1991","01","01","Brasil","São Paulo","Capão Bonito",NA,NA,"ESA007184","-48.3400001525879","-24","39505","auto","Magnoliophyta",NA,"ESA007184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:18:35-03","ESALQ","ESA","1889","PreservedSpecimen","Plantae","Poaceae","Avena","strigosa","Avena strigosa","Schreb.","Longhi-Wagner, H.M.",NA,NA,NA,"Tomita, N.K.","1985","10","31","Brasil","São Paulo","Pilar do Sul",NA,NA,"ESA001889","-47.7099990844727","-23.8099994659424","21910","auto","Magnoliophyta",NA,"ESA001889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:18:35-03","ESALQ","ESA","8112","PreservedSpecimen","Plantae","Poaceae","Avena","strigosa","Avena strigosa","Schreb.","referido em Longhi-Wagner, H.M.",NA,NA,NA,"Lopes, R.C.","1992","09","22","Brasil","São Paulo","Piracicaba",NA,NA,"ESA008112","-47.6399993896484","-22.7199993133545","44778","auto","Magnoliophyta","8.0","ESA008112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:42:51-03","JBP","HPL","9024","S","Plantae","Poaceae","Avena","strigosa","Avena strigosa",NA,"E. R. Salviani","1999","12","01","E. R. Salviani","1999","12","01","Brasil","RS","Passo Fundo","Coletado e cultivado nas proximidades do município de Passo Fundo.",NA,NA,"-52.4067","-28.2628","25060","auto",NA,"717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:25:45-03","IAP","PACA-AGP","88233","PreservedSpecimen","Plantae","Gramineae","Avena","strigosa","Avena strigosa","Schreb.","I. Boldrini",NA,NA,NA,"Krauspenhas, P.M.","2004","07","28","Brasil","RS","Nova Petrópolis","Pinhal Alto","Sem n° de HASU Habitat: Terrestre","PACA088233","-51.1143989562988","-29.3763999938965","14669","auto","Magnoliophyta",NA,NA,"Liliatae","Cyperales",NA,NA,NA,NA,NA,NA,NA,NA
