"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","typeStatus","stateProvince","imagecode","decimalLongitude","decimalLatitude","locality","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:03-03","E","E","161983","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","Oliveira, R.S. & Proença, C.","131","1996","06","03","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170664","<a href=http://data.rbge.org.uk/herb/E00161983 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:03-03","E","E","46741","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","Pirani, J.R., Harley, R.M., Stannard, B.L., Furlan, A. & Kameyama, C.","1577","1987","02","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:54297","<a href=http://data.rbge.org.uk/herb/E00046741 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00046741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:03-03","E","E","146779","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","fruticosa","Declieuxia fruticosa","Pott, A.;","4185","1988","07","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171009","<a href=http://data.rbge.org.uk/herb/E00146779 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 17:14:00-02","NY","NYBG","131213","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","chiococcoides","Declieuxia chiococcoides opaca","G. Gardner","3231","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131213","Magnoliophyta","Gentianales","opaca","Müll.Arg.","isotype","Goiás","NY00131213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","131211","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","chiococcoides","Declieuxia chiococcoides guyanensis","R. Schomburgk","723",NA,NA,NA,"South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131211","Magnoliophyta","Gentianales","guyanensis","Müll.Arg.","isotype",NA,"NY00131211_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-21 17:14:00-02","NY","NYBG","131212","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","chiococcoides","Declieuxia chiococcoides opaca","G. Gardner","3231",NA,NA,NA,"South America","Brazil","sheet",NA,"Comm. am. Shuttleworth 1841. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131212","Magnoliophyta","Gentianales","opaca","Müll.Arg.","isotype","Goiás","NY00131212_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","131214","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","chiococcoides","Declieuxia chiococcoides puberula","J. S. Blanchet","3751",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131214","Magnoliophyta","Gentianales","puberula","Müll.Arg.","isotype","Bahia","NY00131214_01","-39.039072","-15.159747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","131211","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","chiococcoides","Declieuxia chiococcoides guyanensis","R. Schomburgk","723",NA,NA,NA,"South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131211","Magnoliophyta","Gentianales","guyanensis","Müll.Arg.","isotype",NA,"NY00131211_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-21 17:14:00-02","NY","NYBG","131213","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","chiococcoides","Declieuxia chiococcoides opaca","G. Gardner","3231","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131213","Magnoliophyta","Gentianales","opaca","Müll.Arg.","isotype","Goiás","NY00131213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-10-21 17:14:00-02","NY","NYBG","131212","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","chiococcoides","Declieuxia chiococcoides opaca","G. Gardner","3231",NA,NA,NA,"South America","Brazil","sheet",NA,"Comm. am. Shuttleworth 1841. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131212","Magnoliophyta","Gentianales","opaca","Müll.Arg.","isotype","Goiás","NY00131212_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","131214","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","chiococcoides","Declieuxia chiococcoides puberula","J. S. Blanchet","3751",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131214","Magnoliophyta","Gentianales","puberula","Müll.Arg.","isotype","Bahia","NY00131214_01","-39.039072","-15.159747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 13:32:00-03","NY","NYBG","131220","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","foliosa","Declieuxia foliosa","J. B. E. Pohl","1971(862d)",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131220","Magnoliophyta","Gentianales",NA,NA,"probable isotype",NA,"NY00131220_01",NA,NA,"Brasilia [locality illegible].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
