"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:41:17-03","E","E","134688","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","Dubs, Balthasar","1937","1995","11","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143088","<a href=http://data.rbge.org.uk/herb/E00134688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:17-03","E","E","46079","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","Harley, R.M. et al","27086","1988","12","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:53552","<a href=http://data.rbge.org.uk/herb/E00046079 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00046079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:17-03","E","E","387652","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","Sanaiotti, Tanya M.","421","1994","02","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:437226","<a href=http://data.rbge.org.uk/herb/E00387652 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00387652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00893313","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","B. Maguire","56896","1963","09","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893313","Magnoliophyta","Malpighiales","Kunth","W. R. Anderson","Mato Grosso","85 km from Cuiaba to Rondonopolis.","NY00893313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","686796","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","S. A. Mori","13555","1980","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=842929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686796","Magnoliophyta","Malpighiales","Kunth","W. R. Anderson","Bahia","A 10 km ao NW de Rio de Contas.","NY00686796_01","Rio de Contas","-41.877085","-13.5173376","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00893281","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","W. R. Anderson","36330","1972","02","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893281","Magnoliophyta","Malpighiales","Kunth","W. R. Anderson","Minas Gerais","Serra do Espinhaço, Serra do Cipó, limestone (marble) outcrop ca. 10 km S of Serra do Cipó, at Cardenal Mota. Marble being cut by a company called Marmores Brasil","NY00893281_01","Santana do Riacho","-43.6247","-19.3373","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1747546","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","E. L. Sette Silva","600","1986","08","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2001508' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747546","Magnoliophyta","Malpighiales","Kunth",NA,"Roraima","Margem da estrada para o Cantá","NY01747546_01","Bonfim","-60.583333","-2.833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02714718","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","A. M. V. de Carvalho","3706","1992","02","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426408' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714718","Magnoliophyta","Malpighiales","Kunth","M. C. H. Mamede","Bahia","Ca. 3 km WS Caetité, na estrada para Brejinho das Ametistas","NY02714718_01","Caetité","-42.47","-14.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00893290","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","E. P. Heringer","5639","1980","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893290","Magnoliophyta","Malpighiales","Kunth","T. de S. Filgueiras","Distrito Federal","Bacia do Rio São Bartolomeu.","NY00893290_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1747578","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","R. Spruce","s.n.","1849","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2006001' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747578","Magnoliophyta","Malpighiales","Kunth",NA,"Pará","In vicinibus Santarem.","NY01747578_01",NA,"-54.740486","-2.449614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
