"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","4062","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.","J. A. Jarenkow","J. A. Jarenkow","1552","1989","12","26","Brasil","Santa Catarina","Concórdia","Volta Grande, em frente a cidade de Marcelino Ramos.","-52.028056","-27.234722","52º1'41''W","27º14'5''S","579","579","Habitat: borda de mata Habito: arvoreta","CRI004909","CRI004909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","7642","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.","Vanilde Citadini- Zanette","Caroline de Faveri; Jean Gabriel Cemin",NA,"2008","02","28","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30",NA,"CRI004907","CRI004907","2008","06","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","5272","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.","Valdecir de Faveri","Valcedir de Faveri",NA,"1996","11","18","Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Habito: arbórea","CRI004754","CRI004754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","8485","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.","M. Sobral","Kleber Haileê Emerich",NA,"2008","01","01","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","Habitat: mata ciliar","CRI004908","CRI004908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:36-03","UNESC","CRI","12664","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.","Renato Colares & Aline V. Guislon","Alexandre Medeiros",NA,"2017","06","27","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Fruto verde. Coleta 568. Habito: Arbóreo","CRI010878",NA,"2017","09","18","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:36-03","UNESC","CRI","14157","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.","Amanda Matiola & Caleb Borges","Valdemar Boff",NA,"1998","02","26","Brasil","Santa Catarina","Laguna","Campos Verdes","-48.7807998657227","-28.4825000762939",NA,NA,NA,NA,"Habitat: Terrestre Habito: Arbóreo","CRI012808",NA,"2018","11","08","21199","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:40-03","E","E","135500","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria",NA,NA,"Ratter, J.A.; Da Fonsêca, S.G. & de Castro, R.A.",NA,"1972","08","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00135500 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00135500",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:143392",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:40-03","E","E","198798","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria",NA,NA,"Pennington, T.D.; Daza, A.; Lopez, E.","17421","2002","05","23","PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00198798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00198798",NA,NA,NA,NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:208414",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:40-03","E","E","50372","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria",NA,NA,"Dubs, B.","1869","1995","10","21","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00050372 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00050372",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:57347",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:40-03","E","E","85364","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria",NA,NA,"Bridgewater, S., Pennington, R.T. & Daza, A.",NA,"1998","03","13","PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00085364 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00085364",NA,NA,NA,NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:94731",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","573186","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria tinctoria","(L.) D.Don ex Steud.","C. C. Berg","C. A. Cid Ferreira","10580","1991","11","05","Brazil","Acre","Porto Walter","Rio Juruá, right margin of Igarapé Viseu, ca. 6 km from left bank of Rio Juruá","-72.73","-8.25",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500842' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573186","NY00573186_01",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales","tinctoria",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01092895","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria tinctoria","(L.) D.Don ex Steud.","C. C. Berg","R. Reitz","4071","1958","10","18","Brazil","Santa Catarina",NA,"Matador, Rio do Sul",NA,NA,NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1242954' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092895","NY01092895_01",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales","tinctoria",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","566116","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.","C. C. Berg","F. C. Hoehne","s.n.","1955","09","25","Brazil","São Paulo",NA,"Proximo a Limeira",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566116","NY00566116_01",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01092898","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.",NA,"W. Hoehne","s.n.","1944","10","17","Brazil","São Paulo",NA,"Parque do Estado de S.P.","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1242961' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092898","NY01092898_01",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2172807","PreservedSpecimen","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria tinctoria","(L.) D.Don ex Steud.",NA,"J. G. Jardim","1887",NA,NA,NA,"Brazil","Bahia","Jussari","Rod. Jussari/Palmira, entrada ca 7,5 km, Fazenda Teimoso, 1.5 km E da entrada, Reserva do Patrimônio Natural (RPPN), Serra do Teimoso.","-39.58","-15.17",NA,NA,"400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2329017' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172807","NY02172807_01",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales","tinctoria",NA,NA,NA,NA,NA,NA
