"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","identifiedBy","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","616918","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","edulis","Plinia edulis","(Vell.) Sobral","D. Martins","s.n.","1985","03","12","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, estrada Vista Chinesa, 741, entrada do Centro de Botânico","-43.273873","-22.971901","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616918","NY00616918_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1009434","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","edulis","Plinia edulis","(Vell.) Sobral","L. de S. Leoni","7056","2007","11","28","South America","Brazil","Minas Gerais","Faria Lemos","Fazenda Santa Rita. Borda da floresta.","-42.055635","-20.757709","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1747855' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009434","NY01009434_01","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616917","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","edulis","Plinia edulis","(Vell.) Sobral","L. R. Landrum","4117","1982","01","13","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, Floresta da Tijuca, near chapel","-43.278116","-22.956929","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616917","NY00616917_01",NA,"M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885363","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","edulis","Plinia edulis","(Vell.) Sobral","S. Tsugaru","B-2111","1987","11","17","South America","Brazil","São Paulo","São Paulo","Rua Fernando Pessoa, Jandira, São Paulo. Cultivated in the precint of Oomoto Hakkoen.","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885363","NY00885363_01","750","C. E. B. Proença","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:42-03","UFRJ","RFA","39515","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","edulis","Plinia edulis","(Vell.) Sobral","Finotti R.; Caruzo J.","43",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Interior de fragmento florestal de propriedade do Sr. Eli, Areal Santa Helena","-42.730278","-22.515",NA,"Arvoreta de 10 metros de altura e PAP de 36cm.","RFA24473",NA,"50","Marcelo Souza","50","42º43'49''W","22º30'54''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:21:41-03","UFBA","ALCB","131398","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Plinia","edulis","Plinia edulis","(Vell.) Sobral","Marquete, R","1554","1994","03","16","Southern America","Brasil","Rio de Janeiro","Horto Florestal","Subida acima do Centro de Triagem de animais silvetres, próximo ao Rio dos Macacos.",NA,NA,NA,"ca 20 m de latura, deiscente de sabos agradável.; Floresta Ombrófila densa degradada.","ALCB048159","ALCB048159",NA,"Souza, MC",NA,NA,NA,"2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:15:04-03","ESALQ","ESA","35052","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","edulis","Plinia edulis","(Vell.) Sobral","Leitão Filho, H.F. et al.","34750.0","1996","02","01",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,"ESA035052","ESA035052",NA,"Kuntz, J.",NA,NA,NA,"2011","34265","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:15:04-03","ESALQ","ESA","103788","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","edulis","Plinia edulis",NA,"Souza, M.C.","643.0","2007","11","30",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"ESA103788","ESA103788",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:15:04-03","ESALQ","ESA","24169","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","edulis","Plinia edulis","(Vell.) M.Sobral","Barreto, K.D. et al.","851.0","1993","07","07",NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,"ESA024169","ESA024169",NA,"Sobral, M.",NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:32:11-03","MN","R","142761","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","edulis","Plinia edulis","(Vell.) Sobral","Freire Allemão, F. 694; Cysneiros, M.",NA,NA,NA,NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,"M.N. Plantas da Comm. Scient. da Prov. do Ceará. Herb. J. de Saldanha 8066","R010052274","R010052274_001 R010052274_002",NA,"Sobral, M.",NA,NA,NA,"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-27 13:31:26-03","IAP","PACA-AGP","283","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","edulis","Marlierea edulis","Nied.","Rambo, B.",NA,"1932","05","06",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"cultivada. Habitat: in horto Fenofase: flor","PACA000283",NA,NA,"Emrich-Rambo",NA,NA,NA,NA,"29946","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:31:26-03","IAP","PACA-AGP","37437","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","edulis","Marlierea edulis","Nied.","Rambo, B.",NA,"1946","07","05",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"cultivada. Habitat: in horto Fenofase: flor","PACA037437",NA,NA,"Emrich-Rambo",NA,NA,NA,NA,"29946","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:31:26-03","IAP","PACA-AGP","41569","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","edulis","Marlierea edulis","Nied.","Rambo, B.",NA,"1949","05","14",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"cultivada. Fenofase: flor","PACA041569",NA,NA,"Emrich-Rambo",NA,NA,NA,NA,"29946","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:31:26-03","IAP","PACA-AGP","47059.1","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","edulis","Marlierea edulis","Nied.","Rambo, B.",NA,"1950","05","15",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"cultivada. Fenofase: flor novissimo","PACA047059-1",NA,NA,"Emrich-Rambo",NA,NA,NA,NA,"29946","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"15","2019-08-27 13:31:26-03","IAP","PACA-AGP","27367","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","edulis","Marlierea edulis","Nied.","Emrich, K.",NA,"1944",NA,NA,NA,"Brasil","RS","Porto Alegre",NA,"-51.2299995422363","-30.0331001281738",NA,"cultivada. Fenofase: flor","PACA027367",NA,NA,"Emrich-Rambo",NA,NA,NA,NA,"29946","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"16","2019-08-27 13:31:26-03","IAP","PACA-AGP","3289","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","edulis","Marlierea edulis","Nied.","Rambo, B.",NA,"1938","06",NA,NA,"Brasil","SC","Florianópolis",NA,"-48.5491981506348","-27.596700668335",NA,"Habitat: in horto Fenofase: flor","PACA003289",NA,NA,"Emrich-Rambo",NA,NA,NA,NA,"27000","auto","Magnoliatae",NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:31:37-03","IAP","PACA-AGP","102677","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","edulis","Plinia edulis","(Vell.) Sobral","L. Cappelatti","163","2007","05","05",NA,"Brasil","RS","São Francisco de Paula","Parque Municipal da Ronda.","-50.55","-29.433333",NA,"Habitat: mata","PACA102677",NA,NA,"L. Cappelatti",NA,"50°33'W","29°26'S","2007",NA,NA,"Magnoliatae","07","13",NA,NA,NA,NA
