"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01131931","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","alba","Pera alba","Leal","isotype","J. G. Kuhlmann","s.n.","1922","02","23","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Reserva florestal da Fábrica Aliança, Larangeiras.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131931","NY01131931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","870700","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","heteranthera","Pera heteranthera","(Schrank) I.M.Johnst.",NA,"G. G. Hatschbach","63768","1995","10","23","South America","Brazil","Mato Grosso","Barra do Bugres","Rod. MT-246, 12km de Barra de Bugres.","-57.1808","-15.0728","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870700","NY00870700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","528587","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","heteranthera","Pera heteranthera","(Schrank) I.M.Johnst.",NA,"S. A. Mori","13479","1980","03","20","South America","Brazil","Bahia","Caetité","BA 122, trecho Caetité/Paramirim, a 10 km ao N de Caetité","-42.47","-14.06","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=538164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528587","NY00528587_01","G. L. Webster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","528597","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","heteranthera","Pera heteranthera","(Schrank) I.M.Johnst.",NA,"R. M. Harley","21192","1980","04","10","South America","Brazil","Bahia","Caetité","Serra Geral de Caitité ca. 3 km from Caitité S. along the road to Brejinhos das Ametistas","-42.48","-14.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528597","NY00528597_01",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1063755","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","heteranthera","Pera heteranthera","(Schrank) I.M.Johnst.",NA,"Y. E. J. Mexia","4953","1930","08","15","South America","Brazil","Minas Gerais",NA,"Districto Ilheu. Fazenda da Tabunha",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193930' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063755","NY01063755_01",NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","528589","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","heteranthera","Pera heteranthera","(Schrank) I.M.Johnst.",NA,"W. Hoehne","6087","1965","08","26","South America","Brazil","Rio de Janeiro","Itaboraí","Marambaia, km. 22 da Rodovia Niterói - Friburgo","-42.8592","-22.7444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528589","NY00528589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","528593","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","heteranthera","Pera heteranthera","(Schrank) I.M.Johnst.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528593","NY00528593_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","528583","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","heteranthera","Pera heteranthera","(Schrank) I.M.Johnst.",NA,"A. M. Amorim","771","1992","09","22","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=538166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528583","NY00528583_01","G. L. Webster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","870699","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","heteranthera","Pera heteranthera","(Schrank) I.M.Johnst.",NA,"B. Dubs","2586","1998","11","21","South America","Brazil","Mato Grosso",NA,"between Porto dos Gauchos and Sinop, 3 km E of Porto dos Gauchos.","-57.38","-11.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870699","NY00870699_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","528590","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","heteranthera","Pera heteranthera","(Schrank) I.M.Johnst.",NA,"W. Hoehne","6087","1965","08","26","South America","Brazil","Rio de Janeiro","Itaboraí","Marambaia, km. 22 da Rodovia Niterói - Friburgo","-42.8592","-22.7444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528590","NY00528590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
