"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","390418","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","H. O. Sleumer","P. K. H. Dusén","15362","1914","08","12","South America","Brazil","Paraná","Jaguariaíva","Jacareí","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390418","NY00390418_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","777739","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","M. L. Kawasaki","L. Rossi","2124","2000","09","18","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha do Jequitibá","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777739","NY00777739_01","60","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","390417","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","H. O. Sleumer","P. K. H. Dusén","15322","1914","07","22","South America","Brazil","Paraná","Jaguariaíva","Serra da Prata","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390417","NY00390417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:25:17-03","PUCPR","HUCP","22963","S","Plantae","Eudicotiledonea",NA,"Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","Bonaldi, R","Bonaldi, R","576","2012","10","16",NA,"Brasil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,"HUCP00012267","HUCP00012267",NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-26 18:08:31-03","CPAN-UFMS","COR","8902","PreservedSpecimen","Plantae",NA,NA,"Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","G. Hatschbach","G. Hatschbach, J. M. & R. Goldenberg","73839","2002","09","25",NA,"Brasil","Paraná","Guaraqueçaba","Tagaçaba, arredores. Floresta encosta do morro; ;.","-48.3288993835449","-25.3066997528076",NA,"Com Flor: creme",NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-26 18:08:31-03","CPAN-UFMS","COR","10468","PreservedSpecimen","Plantae",NA,NA,"Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","G. Hatschbach","Hatschbach, G.; Silva, J.M.; Goldenberg, R.","73839","2002","09","25",NA,"Brasil","Paraná","Guaraqueçaba","Tagaça, arredores. Floresta da encosta do morro; ;.","-48.3288993835449","-25.3066997528076",NA,"Com Flor: creme",NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:17:47-03","UFBA","ALCB","031034","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","Marinho, L","Funch, L; Funch, R","678","1993","08","31","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Rio Lençóis","-41.411111","-12.556389",NA,"4,0 m. Casca rugosa. Folhas membranáceas, discolores, face ventral verde, face dorsal castanha. Flores inconspícuas. Ocasional nas matas da região.","ALCB044377","ALCB044377","650","650",NA,NA,"2014","07","-41.411111","-12.556389",NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:17:47-03","UFBA","ALCB","040313","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","Marinho, L","Guedes, ML; Funch, L; Santos, ES; Paraguassu, A; Silva, MP da; Argôlo, AS","PCD1510","1994","12","30","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Pai Inácio. Encosta do Morro de Pai Inácio","-41.471389","-12.454444",NA,"Folhas simples,coriáceas. Inflorescência em espiga,com flores em botões protegidos por brácteas. Ocasional.; Mata ciliar ao longo de um canal de drenagem pluvial. Arenito e colúvio pedregoso.","ALCB044378","ALCB044378","1040","1040",NA,NA,"2014","07","-41.471389","-12.454444",NA,NA,NA,NA,NA,NA
"9","2021-02-08 21:32:23-03","UFBA","ALCB","11287","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.",NA,"s.col.","PHs/n",NA,NA,NA,"Southern America","Brasil",NA,NA,"Do Rio, São Paulo, Paraná",NA,NA,NA,NA,"ALCB016037","ALCB016037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:17:47-03","UFBA","ALCB","040314","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","Marinho, L","Melo, E; França, F; Oliveira, S; Nunes, TS; Souza, E; Ganev, W","PCD1364","1994","11","24","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.416667","-12.45",NA,"3,00 m. Folhas simples,discolores,semi coriáceas. Inflorescência verde-amarelada. Raro.; Vegetação de campo rupestre. Afloramento rochoso.","ALCB044379","ALCB044379","750","750",NA,NA,NA,NA,"-41.416667","-12.45",NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:54:29-03","NBC","NL-BOTANY","L.1538900","PreservedSpecimen","Plantae",NA,"Malpighiales","Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","Sleumer HO","Burchell WJ",NA,NA,NA,NA,"Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1538900 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1538900","NL-L1538900",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0793872",NA,NA,NA,NA
"12","2020-02-08 09:54:29-03","NBC","NL-BOTANY","L.1538901","PreservedSpecimen","Plantae",NA,"Malpighiales","Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","Sleumer HO","Düsen P",NA,"1914","08","12","Southern America","Brazil","Tocantins",NA,NA,NA,NA,NA,"In sihula.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1538901 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1538901","NL-L1538901",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0793871",NA,NA,NA,NA
"13","2020-02-08 09:54:29-03","NBC","NL-BOTANY","L.1538902","PreservedSpecimen","Plantae",NA,"Malpighiales","Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","Sleumer HO","Düsen P",NA,"1914","07","22","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"In sihula.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1538902 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1538902","NL-L1538902",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0793870",NA,NA,NA,NA
"14","2020-11-04 11:11:31-03","ESALQ","ESA","22456","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lacistemataceae","Lacistema","lucidum","Lacistema lucidum","Schnizl.","Torres, R.B. & Ramos, E.","Miyagi, P.H. et al.","145.0","1994","09","07",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,"ESA022456",NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
