"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","class","order","barcode","imagecode","typeStatus","fieldNumber","preparationType","coordinatePrecision","geoFlag"
"1","2019-10-09 11:13:18-03","UFBA","ALCB","72799","PreservedSpecimen","Plantae","Dicotyledon","Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.","Santos, FDS","2018","10","31","Harley, RM; Giulietti, AM; Giulietti, AM; Miranda, AM; Passos Júnior, LA; Ros; li","54971","2004","02","26","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, 12,5 km da cidade, na estrada para Jussiape","-41.753333","-13.598611","-41.753333","-13.598611","707","707","ramificado próximo da base com ramos patentes, quase horizontais. Folhas complanadas (em duas filas horizontais). Flores com corola azul, branca na base.; beira da estrada, em solo arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:34:14-03","NBC","NL-BOTANY","U.1221703","PreservedSpecimen","Plantae",NA,"Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.",NA,NA,NA,NA,"Glaziou AFM",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brazilië.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1221703 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Solanales","NL-U1221703","NL-U1221703",NA,NA,NA,NA,NA
"3","2015-09-04 12:38:27-03","MNHN","RECOLNAT_MNHN_P","P04071251","PreservedSpecimen",NA,NA,"Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.","Simao-Bianchini",NA,NA,NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Minas",NA,NA,NA,NA,NA,NA,"Reçu le 16 juillet 1883 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04071251' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P04071251","P04071251_01 P04071251_02","isotype","14126","hb",NA,NA
"4","2015-09-04 12:38:27-03","MNHN","RECOLNAT_MNHN_P","P04071252","PreservedSpecimen",NA,NA,"Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.","Simao-Bianchini",NA,NA,NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Minas",NA,NA,NA,NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04071252' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P04071252","P04071252_01 P04071252_02","isotype","14126","hb",NA,NA
"5","2019-11-13 11:18:10-03","USP","SPF","69020","PreservedSpecimen","Plantae",NA,"Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.","Simão-Bianchini, R","2001","09",NA,"Ratter, JA","R6441","1989","11","19",NA,"Brasil","Minas Gerais",NA,NA,"-47","-16","-47","-16",NA,NA,NA,NA,NA,"SPF00069020","SPF00069020",NA,NA,NA,NA,NA
"6","2019-11-13 11:18:10-03","USP","SPF","111358","PreservedSpecimen","Plantae",NA,"Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.","Simão-Bianchini, R","2002","10",NA,"Pirani, JR","3751","1996","04","04",NA,"Brasil","Minas Gerais","Santo Hipólito",NA,"-44.183333","-18.283333","-44.183333","-18.283333","550","550",NA,NA,NA,"SPF00111358","SPF00111358",NA,NA,NA,NA,NA
"7","2019-11-13 11:18:10-03","USP","SPF","121094","PreservedSpecimen","Plantae",NA,"Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.","Simão-Bianchini, R","2002","10",NA,"Mello-Silva, R","1303","1997","03","24",NA,"Brasil","Minas Gerais","Santo Hipólito",NA,"-44.185","-18.288056","-44.185","-18.288056","500","500",NA,NA,NA,"SPF00121094","SPF00121094",NA,NA,NA,NA,NA
"8","2019-11-13 11:18:10-03","USP","SPF","115161","PreservedSpecimen","Plantae",NA,"Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.","Simão-Bianchini, R","2001","09",NA,"Bernacci, LC","1786","1995","05","17",NA,"Brasil","São Paulo","Magda",NA,"-50.2200012207031","-20.6399993896484",NA,NA,NA,NA,NA,NA,NA,"SPF00115161","SPF00115161",NA,NA,NA,"20042","auto"
"9","2019-10-07 09:17:41-03","UEFS","HUEFS","89418","PreservedSpecimen","Plantae","Angiospermae","Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.","F.D.Santos","2018","11",NA,"Harley, R.M.","54971","2004","02","26",NA,"Brasil","Bahia","Rio de Contas","12,5 km da cidade, na estrada para Jussiape. Beira da estrada em solo arenoso.","-41.753333","-13.598611","41W45'12''","13S35'55''","707","707","Caatinga.","Asteranae","Solanales","HUEFS0089418","HUEFS0089418 HUEFS0089418_e1",NA,NA,NA,NA,NA
"10","2019-10-07 09:17:41-03","UEFS","HUEFS","98735","PreservedSpecimen","Plantae","Angiospermae","Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.","F.D.Santos","2018","11",NA,"Castro, R.M.","1236","2005","07","28",NA,"Brasil","Bahia","Senhor do Bonfim","Serra da Maravilha.","-40.21","-10.404444","40W12'36''","10S24'16''","739","739","Floresta. Alto da serra.","Asteranae","Solanales","HUEFS0098735","HUEFS0098735 HUEFS0098735_e1",NA,NA,NA,NA,NA
"11","2019-09-04 18:38:48-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius",NA,NA,NA,NA,NA,"A. Glaziou","14126",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,"Isotype",NA,NA,NA,NA
"12","2019-01-23 11:05:40-02","F","FMNH-SEEDPLANTS","V0054816F","PreservedSpecimen","Plantae","Spermatophyta","Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius",NA,NA,NA,NA,NA,"A. Glaziou","14126",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"V0054816F","V0054816F_01","Isotype",NA,NA,NA,NA
"13","2020-12-10 11:27:09-03","IBt","SP","405694","S","Plantae",NA,"Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.",NA,NA,NA,NA,"Castro, RM","1236","2005","07","28",NA,"Brasil","Bahia","Senhor do Bonfim",NA,"-40.1893997192383","-10.4614000320435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27716","auto"
"14","2020-10-22 10:12:39-03","IBt","SP","344156","S","Plantae",NA,"Convolvulaceae","Evolvulus","stellariifolius","Evolvulus stellariifolius","Ooststr.",NA,NA,NA,NA,"Mello-Silva, R","1303","1997","03","24",NA,"Brasil","Minas Gerais","Santo Hipólito",NA,"-44.2230987548828","-18.2968997955322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32313","auto"
