"record_id","modified","institutionCode","collectionCode","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality"
"1","2017-09-11 17:11:59-03","UnB","HBVIRTFLBRAS","O","Plantae","Orchidaceae","Lycaste","wittigii","Lycaste wittigii","Rchb.f.","Incógnit","s.n.","Southern America","Brazil","Rio de Janeiro","Habitat in Brasilia verisimiliter in prov. Rio de Janeiro"
"2","2017-09-11 17:11:59-03","UnB","HBVIRTFLBRAS","O","Plantae","Orchidaceae","Lycaste","wittigii","Lycaste wittigii","Rchb.f.","Incógnit","s.n.","Southern America","Brazil","Rio de Janeiro","Habitat in Brasilia verisimiliter in prov. Rio de Janeiro"
