"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","geoFlag","identifiedBy","yearIdentified","fieldNumber","imagecode","minimumElevationInMeters","individualCount","maximumElevationInMeters","class","previousCatalogNumber","sex","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","63967","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Touroulia","amazonica","Touroulia amazonica","Pires & R.C.Foster","isotype","B. A. Krukoff","9012","1936","10","26","South America","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Solimoes, basin of creek Belém","-68.8724975585938","-3.37832999229431","362329","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00063967","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","63966","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Touroulia","amazonica","Touroulia amazonica","Pires & R.C.Foster","isotype","B. A. Krukoff","9012","1936","10","26","South America","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Solimoes, basin of creek Belém","-68.8724975585938","-3.37832999229431","362329","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00063966","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","63968","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Touroulia","amazonica","Touroulia amazonica","Pires & R.C.Foster","isotype","B. A. Krukoff","9012","1936","10","26","South America","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Solimoes, basin of creek Belém","-68.8724975585938","-3.37832999229431","362329","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00063968","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:47:24-03","EAO","IAN","74814","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Quiinaceae","Touroulia","amazonica","Touroulia amazonica","Pires & R.C.Foster",NA,"Fróes, RL","28010","1952","03","23","Southern America","Brasil","Amazonas","Içana","Rio Içana, Serra Santana, 300 m. altitude.",NA,NA,NA,NA,NA,"IAN074814",NA,"Zizka, G","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:47:24-03","EAO","IAN","78450","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Quiinaceae","Touroulia","amazonica","Touroulia amazonica","Pires & R.C.Foster",NA,"Fróes, RL","28865","1952","10","02","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Ladeira atrás da vila, Serra de São Gabriel.","-67.0892028808594","-0.130278006196022","377621",NA,NA,"IAN078450","auto","Zizka, G","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:47:24-03","EAO","IAN","85835","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Quiinaceae","Touroulia","amazonica","Touroulia amazonica","Pires & R.C.Foster","isotipo","Krukoff, BA","9012","1936","10","26","Southern America","Brasil","Amazonas","São Paulo de Olivença",NA,"-68.8724975585938","-3.37832999229431","362329",NA,NA,"IAN085835","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-11-30 11:58:04-02","MNHN","RECOLNAT_MNHN_P","P02441372","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Touroulia","amazonica","Touroulia amazonica","Pires & A.S.Foster",NA,"Krukoff, B.A.",NA,"1936","10","26",NA,"Brésil",NA,NA,"State of Amazonas : Municipality Sao Paulo de Olivença, basin of creek Belem",NA,NA,NA,"hb","Reçu le 6 décembre 1937 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441372' target='other'> <mi>dwc_moreinfo</mi></a>","P02441372",NA,"Schneider",NA,"9012","P02441372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-12-29 04:34:00-02","MO","MOBOT","199318","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Touroulia","amazonica","Touroulia amazonica","Pires & A.S. Foster",NA,"Agustin Rudas L.|Adriana Prieto|C. Rodríguez","Rudas Lleras 5943","1992","7","23","South America","Colombia","Amazonas","Tarapacá","Corregimiento de Tarapacá. Parque Nacional Natural Amaycayacu. Sector Lorena (R. Cotuhé) bosque de terra-firme. Parcela permanente #2. Transecto U3-U2.","-70","-3.0333333",NA,NA,NA,NA,NA,"! Zizka",NA,"254",NA,"100.00000000","4",NA,NA,NA,NA,NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","199321","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Touroulia","amazonica","Touroulia amazonica","Pires & A.S. Foster",NA,"Alwyn H. Gentry|Bruce A. Stein","Gentry 47138","1984","5","3","South America","Venezuela","Amazonas",NA,"Trail S from Cerro Neblina base camp on Río Mawarinuma from clear water stream to top of first small stream.","-66.18333","0.83333",NA,NA,NA,NA,NA,"Georg Zizka (FVG 2004)",NA,"84-114",NA,"150.00000000","3","350.00000000",NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","199522","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Touroulia","amazonica","Touroulia amazonica","Pires & A.S. Foster",NA,"Ronald L. Liesner","Liesner 16259","1984","2","26","South America","Venezuela","Amazonas",NA,"Río Negro. On trail south of airstrip. 0.5 km southeast of Cerro de La Neblina Base Camp which is on Río Mawarinuma.","-66.16666","0.83333",NA,NA,NA,NA,NA,"Georg Zizka (FVG 2004)",NA,"84-27",NA,"140.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA
