"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:41:33-03","E","E","134636","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","Dubs, Balthasar","2190","1996","10","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143048","<a href=http://data.rbge.org.uk/herb/E00134636 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","99996","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Dias, T.",NA,"1999","08","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109537","<a href=http://data.rbge.org.uk/herb/E00099996 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00099996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:33-03","E","E","83680","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","Simon, M.F., Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S.","12","1996","09","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92646","<a href=http://data.rbge.org.uk/herb/E00083680 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:33-03","E","E","104510","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.",NA,"1998","11","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113710","<a href=http://data.rbge.org.uk/herb/E00104510 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:33-03","E","E","83918","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","Munhoz, C., Alvarenga, D. & Silva, S.R.","296","1995","09","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92793","<a href=http://data.rbge.org.uk/herb/E00083918 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:33-03","E","E","104514","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","Ratter, J.A. & Filho, J. Fonsêca",NA,"1998","08","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113706","<a href=http://data.rbge.org.uk/herb/E00104514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3784787","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","W. Galiano Sánchez","6749","2004","07","20","South America","Peru","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4143423' target='other'> <mi>dwc_moreinfo</mi></a>","NY03784787","Magnoliophyta","Myrtales","DC.","F. A. Michelangeli","Cusco","La Convención","Dist. Santa Ana, Pavayoc, Wayanay, Cultivos.","-72.69611","-12.8475","950","950","NY03784787_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01098187","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","B. Maguire","40045",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273160' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098187","Magnoliophyta","Myrtales","DC.",NA,"Roraima",NA,NA,NA,NA,NA,NA,"NY01098187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1738520","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","E. P. Killip","15081","1926","12","11","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1951129' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738520","Magnoliophyta","Myrtales","DC.","J. Meirelles","Santander",NA,"Mesa de los Santos","-73.035785","6.942517","1500",NA,"NY01738520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","522296","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","M. H. Nee","39702","1990","11","01","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522296","Magnoliophyta","Myrtales","DC.","J. J. Wurdack","Santa Cruz","Ichilo","Along road to Caranda, 1 km SE of junction with Buena Vista - Portachuelo highway at La Arboleda","-63.6","-17.42","320","320","NY00522296_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","522303","PreservedSpecimen","Plantae","Melastomataceae","Miconia","stenostachya","Miconia stenostachya","A. F. M. Glaziou","12698",NA,NA,NA,"South America","Brazil","sheet",NA,"donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522303","Magnoliophyta","Myrtales","DC.",NA,NA,NA,"Brasilia",NA,NA,NA,NA,"NY00522303_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
