"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","typeStatus","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:41:33-03","E","E","202804","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pepericarpa","Miconia pepericarpa","Lima, J.C.M.; Simon, M.F.; Eiten, G.","100","1999","02","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217242","<a href=http://data.rbge.org.uk/herb/E00202804 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02064146","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pepericarpa","Miconia pepericarpa","M. K. Caddah","785","2010","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2419625' target='other'> <mi>dwc_moreinfo</mi></a>","NY02064146","Magnoliophyta","Myrtales","DC.","M. K. Caddah","São Paulo","Itirapina","Cerrado. Pedregulho","-47.8","-22.27","790","NY02064146_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01093088","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pepericarpa","Miconia pepericarpa","A. K. A. dos Santos","763","2006","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1247033' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093088","Magnoliophyta","Myrtales","DC.",NA,"Bahia","Abaíra","Catolés/Abaíra, trilha para o Guarda-Mor.","-41.8581","-13.3031","1245","NY01093088_01","1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00924958","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pepericarpa","Miconia pepericarpa","A. P. Duarte","580","1940","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924958","Magnoliophyta","Myrtales","DC.","A. C. Brade","Minas Gerais","Carandaí","Quilometro 416.","-43.8064","-20.9536",NA,"NY00924958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00924956","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pepericarpa","Miconia pepericarpa","L. O. Williams","6165","1945","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924956","Magnoliophyta","Myrtales","DC.",NA,"Minas Gerais",NA,"Bento Pires, near Belo Horizonte.",NA,NA,NA,"NY00924956_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00924973","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pepericarpa","Miconia pepericarpa","W. R. Anderson","10324","1973","05","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924973","Magnoliophyta","Myrtales","DC.","J. J. Wurdack","Goiás","Cocalzinho de Goiás","Serra dos Pirineus. Ca. 15 km N of Corumbá de Goiás; north slope of the ridge","-48.8086","-15.78805","1250","NY00924973_01","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3910038","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pepericarpa","Miconia pepericarpa","R. Romero","5598","1998","06","19","South America","Brazil","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451120' target='other'> <mi>dwc_moreinfo</mi></a>","NY03910038","Magnoliophyta","Myrtales","DC.",NA,"Goiás","Pirenopolis","Estrada para a Serra dos Pirineus.","-49.5","-15.83333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00924957","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pepericarpa","Miconia pepericarpa","L. O. Williams","6630","1945","04","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924957","Magnoliophyta","Myrtales","DC.",NA,"Minas Gerais","Nova Lima","Serra da Mutuca, beyond Barreiro.","-43.8467","-19.9858","1400","NY00924957_01","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00924966","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pepericarpa","Miconia pepericarpa","H. S. Irwin","30276","1971","01","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924966","Magnoliophyta","Myrtales","DC.","J. J. Wurdack","Minas Gerais",NA,"Serra do Espinhaço, base of Serra da Piedade, ca. 35 km E. of Belo Horizonte, road to Caeté","-43.676328","-19.820266","1600","NY00924966_01","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00924972","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pepericarpa","Miconia pepericarpa","P. Occhioni","s.n.","1940","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924972","Magnoliophyta","Myrtales","DC.","A. C. Brade","Minas Gerais",NA,"Local denominado Baleia prox. a B. Horizonte.",NA,NA,"900","NY00924972_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
