"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","579607","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","schlechtendaliana","schlechtendaliana","Campomanesia schlechtendaliana schlechtendaliana","(O.Berg) Nied.","L. R. Landrum","L. R. Landrum","3993","1981","12","09","South America","Brazil","Paraná","Antonina","Antonina, Morro do Bicho, patch of forest left on coffee farm on hillside.","-48.67","-25.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579607","NY00579607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","579614","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","schlechtendaliana","rugosa","Campomanesia schlechtendaliana rugosa","(O.Berg) Landrum","L. R. Landrum","J. G. Kuhlmann","6001","1940","05","24","South America","Brazil","Rio de Janeiro","Cabo Frio","Cabo Frio.","-42.032149","-22.874703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579614","NY00579614_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579613","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","schlechtendaliana","rugosa","Campomanesia schlechtendaliana rugosa","(O.Berg) Landrum","L. R. Landrum","J. G. Kuhlmann","s.n.","1947",NA,NA,"South America","Brazil",NA,NA,"Jardim Botânico",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579613","NY00579613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579612","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","schlechtendaliana","rugosa","Campomanesia schlechtendaliana rugosa","(O.Berg) Landrum","L. R. Landrum","B. D. Sucre","1287","1966","12","10","South America","Brazil","Rio de Janeiro","Cabo Frio","Estado de Guanabara. Restinga de Cabo Frio.","-42.0183","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579612","NY00579612_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579611","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","schlechtendaliana","rugosa","Campomanesia schlechtendaliana rugosa","(O.Berg) Landrum","L. R. Landrum","J. E. T. Mendes","2457","1938","10","16","South America","Brazil","Rio de Janeiro","Cabo Frio","Praia de Cabo Frio","-42.0183","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579611","NY00579611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","579616","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","schlechtendaliana","rugosa","Campomanesia schlechtendaliana rugosa","(O.Berg) Landrum","L. R. Landrum","L. R. Landrum","4196","1982","01","26","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, Jardim Botanico. Cultivated plants.","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579616","NY00579616_01","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","579615","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","schlechtendaliana","rugosa","Campomanesia schlechtendaliana rugosa","(O.Berg) Landrum","L. R. Landrum","L. R. Landrum","4195","1982","01","26","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, Jardim Botanico. Cultivated plants.","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579615","NY00579615_01","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579609","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","schlechtendaliana","schlechtendaliana","Campomanesia schlechtendaliana schlechtendaliana","(O.Berg) Nied.","L. R. Landrum","L. R. Landrum","4132","1982","01","14","South America","Brazil","Rio de Janeiro","Niterói","Niteroi, Itaipuacu, Falso Pao de Acucar.","-43.02","-22.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579609","NY00579609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579606","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","schlechtendaliana","schlechtendaliana","Campomanesia schlechtendaliana schlechtendaliana","(O.Berg) Nied.","L. R. Landrum","B. D. Sucre","10582","1974","01","06","South America","Brazil","Rio de Janeiro","Petrópolis","Araras, Vale das Videiras.","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579606","NY00579606_01",NA,NA,"950","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","885977","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","schlechtendaliana","schlechtendaliana","Campomanesia schlechtendaliana schlechtendaliana","(O.Berg) Nied.","C. M. de Souza","J. M. A. Braga","7367","2004","01","29","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Recreio dos Bandeirantes, Prainha, Área de Proteção Ambiental da Prainha, topo do morro da Boa Vista","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885977","NY00885977_01",NA,NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
