"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","month","stateProvince","county","day","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount","relatedCatalogItem","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","685957","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","M. W. Kimnach","J. N. Rose","19904","1915","South America","Brazil","Machado Portello","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685957","NY00685957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685988","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","M. W. Kimnach","G. S. Jenman","4404",NA,"South America","Guyana","Demarara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685988","NY00685988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:36:21-03","EAO","IAN","165573","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","Zappi, DC","Kahn, F; Moussa, F","2691","1990","Southern America","Peru","Route de Pedro Ruiz à Moyobamba, Km 9. (photo)",NA,"Liane sur arbuste. Tige à 5 côtes; fleur verte, nombreuses étaines, bougeon floral ouvert.","IAN165573",NA,"2017","08","23","10","Bongora","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:36:21-03","EAO","IAN","143972","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","Zappi, DC","Pires, JM; Cavalcante, PB","14338","1974","Southern America","Brasil","Campo.",NA,"Epífita; infflorescência verde com margens roxas.","IAN143972",NA,"2017","08","23","04","Roraima","Caracaraí","27","-61.128101348877","1.81611001491547","365858","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:24:59-03","PUCPR","HUCP","2518","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose.","Yorinori, NA","Yorinori, NA","044",NA,NA,"Brasil","Água Verde",NA,NA,NA,NA,"1988","11","27",NA,"Paraná","Rio Branco do Sul",NA,"-49.3142013549805","-25.1900005340576","37352","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-08 21:31:57-03","UFBA","ALCB","02915","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","Taylor, NP; Zappi, D","Pinto, GCP","s/n","1973","Southern America","Brasil","Av. do Contorno, na encosta da Montanha, logo após o túnel do Campo Grande.",NA,NA,NA,NA,"1992","04",NA,"03","Bahia",NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 21:31:57-03","UFBA","ALCB","046698","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","Ana, LYS","Oliveira, ALPC de","s/n","2000","Southern America","Brasil",NA,NA,"Trepadeira lenhosa: flores amarelas, estames amarelos.",NA,NA,"2006","03",NA,"03","Bahia",NA,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:12:21-03","UFBA","ALCB","106327","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","Guedes, ML","Guedes, ML; Alunos de Microbiologia Vegetal UFBA","20023","2012","Southern America","Brasil","Chapada Diamantina, Cultivada, murro de uma residência",NA,"suculenta, cladódios segmentados, costelados. Flores vistosas, alvas.",NA,NA,"2010","10",NA,"04","Bahia","Mucugê","29","-41.366667","-13",NA,NA,"-41.366667","-13",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:12:21-03","UFBA","ALCB","107630","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","Guedes, ML","Guedes, ML; Alunos de Microbiologia de Adriana","20336","2013","Southern America","Brasil","Chapada Diamantina, Cultivada",NA,"ascendente, de caule triangular, verde, ondulado e com espinhos curtos nos ângulos. Flores vistosas, solitárias, brancas, com numerosos estames.",NA,NA,"2013","09",NA,"01","Bahia","Mucugê","28","-42.516667","-14.533333",NA,NA,"-42.516667","-14.533333",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:04:12-03","ESALQ","ESA","83137","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(How.) Britton & Rose","Chaddad Jr., J.","Chaddad Jr., J.","183.0","2003",NA,"Brasil",NA,NA,NA,"ESA083137","ESA083137",NA,NA,NA,"01","São Paulo","Piracicaba","20","-47.6399993896484","-22.7199993133545","44778","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-01-14 15:26:43-03","MN","R","216341","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose",NA,"Goes, M.B.; Barros, E.M.","257","2010",NA,"Brasil",NA,NA,NA,"R010023375","R010023375",NA,NA,NA,"01","Espírito Santo","Sebastiao de Belem","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:26:43-03","MN","R","218931","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose",NA,"Almeida, M.C.","9","2013",NA,"Brasil","São Cristovão",NA,NA,"R010023378,R010023379","R010023378 R010023379",NA,NA,NA,"01","Rio de Janeiro","Rio de Janeiro","28","-43.224783","-22.908191",NA,NA,"-43.224783","-22.908191","16","16",NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:26:43-03","MN","R","91115","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","Taylor, N.P. & Zappi, D.C.","Sampaio, A.J.","8309","1939",NA,"Brasil",NA,NA,NA,"R010023376","R010023376","1992",NA,NA,"04","Rio de Janeiro","Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-07-02 14:01:18-03","JBP","HPL","13720","S","Plantae",NA,NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & J. N. Rose",NA,"N.P. Martinez","20","2014",NA,"Brasil","Jardim Botânico Plantarum - Coletado no jardim de de suculentas, cultivada, origem America Tropical.",NA,NA,NA,NA,NA,NA,NA,"09","SP","Nova Odessa","16","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-02-15 11:35:50-02","IPA","IPA","14208","S","Plantae","Plantae",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose",NA,"Giulietti, A.M.","20","1967","Southern America","Brasil","Parque do IPA",NA,"Cultivada. Flores alvas.","IPA0014208",NA,NA,NA,NA,"01","Pernambuco","Recife","18","-34.8810997009277","-8.05389022827148","18865","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-07-26 11:39:38-03","IPA","IPA","81618","S","Plantae","Plantae",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","Meiado, M.V.","Sales, R.","81618","2006","Southern America","Brasil","Morada dos Cabrais.",NA,"Cultivada, flores grandes, vistosas, amarelo-claro.","IPA0081618",NA,"2012","04","20","03","Pernambuco","Camocim de São Félix","12","-35.7619018554688","-8.35861015319824","7991","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-07-26 11:39:38-03","IPA","IPA","13793","S","Plantae","Plantae",NA,"Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Britton & Rose","Giulietti, A.M.","Mariz, G.","13793","1966","Southern America","Brasil","Morro da Conceição",NA,NA,"IPA0013793",NA,"1967","04","04","05","Pernambuco","Recife",NA,"-34.8810997009277","-8.05389022827148","18865","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:28:35-03","IAP","PACA-AGP","2704","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hylocereus","undatus","Hylocereus undatus","(Haw.) Br. & R.","N.P.Zaylor","Rambo, B.",NA,NA,NA,"Brasil",NA,NA,"Habitat: Culta Fenofase: flor","PACA002704",NA,"2010","08","20",NA,"RS","Porto Alegre",NA,"-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA
