"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","stateProvince","locality","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","typeStatus","fieldNumber"
"1","2021-04-05 14:24:48-03","UNESC","CRI","4514","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.","Elaine T. G. Carvalho","E. T. G. Carvalho","Brasil","Brasil","-54.240278","-27.773889","54º14'25''W","27º46'26''S","83","83","CRI000140","CRI000140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:13-03","UNESC","CRI","9562","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.","T. J. Cadorin","T.J. Cadorin; S.M. Clemes & C.P.L. Oliveira","Brasil","Blumenau","-49.139167","-27.096944","49º8'21''W","27º5'49''S","660","660","CRI000141","CRI000141","2009","11","23","739","2009","11","23","Santa Catarina","Área Virgem do Parque Nacional da Serra do Itajaí.","Floresta Ombrófila Densa Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:48-03","UNESC","CRI","14617","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.","Magagnin, J. F. & Rosa, M. Z.","Magagnin, J. F; Rosa, M. Z.","Brasil","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,NA,"CRI013924",NA,"1997","10","04",NA,"1997","10","04","Santa Catarina","Morro Chato","Flores brancas e lilás com floração no período da quaresma, caule esverdeado e lenhoso Habito: Arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:13-03","UNESC","CRI","15309","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.","João Paulo Gava Just","João Paulo Gava Just","Brasil","Nova Veneza","-49.497222","-28.641111","49º29'50''W","28º38'28''S",NA,NA,"CRI014726",NA,"2020","01","17",NA,"2020","01","17","Santa Catarina","Bairro Centro.","Fruto verde. (JGJ_022) Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:13-03","UNESC","CRI","8379","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.","Vanilde Citadini-Zanette","Aline Costa Brum Figueiró Leandro; Rosimar Tetuliano da Silva","Brasil","Criciúma","-49.373333","-28.6725","49º22'24''W","28º40'21''S","46","46","CRI010190",NA,"2007",NA,NA,NA,"2006",NA,NA,"Santa Catarina","Parque Ecológico Municipal José Milanese. Trabalho Realizado pelas Menstrandas Aline Costa Figueró e Rosimar Tertuliano da Silva - Mestrado em Ciências Ambientais (UNESC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1018797","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.",NA,"S. de V. A. Pessôa","Brazil","Casimiro de Abreu","-42.2042","-22.4808",NA,NA,NA,NA,"NY01018797","NY01018797_01",NA,NA,NA,"1169","2006","12","13","Rio de Janeiro","Fazenda Carioca. Área FC.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262443' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","378774","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.",NA,"H. C. de Lima","Brazil","Nova Friburgo","-42.05","-22",NA,NA,"1000","1000","NY00378774","NY00378774_01 NY00378774_02",NA,NA,NA,"4031","1990","11","03","Rio de Janeiro","Reserva Ecológica Municipal de Macaé de Cima, Estrada p/ Sitio Sophronites","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708997' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03687087","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.",NA,"L. Nusbaumer","Brazil","Quebrangulo","-36.430837","-9.258186",NA,NA,"630",NA,"NY03687087","NY03687087_01",NA,NA,NA,"4298","2014","11","06","Alagoas","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952298' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1145436","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.","R. de Mello-Silva","R. de Mello-Silva","Brazil","Santa Teresa","-40.6003","-19.9358",NA,NA,NA,NA,"NY01145436","NY01145436_01",NA,NA,NA,"1573","1999","02","13","Espírito Santo","Estrada para João Neiva, limite norte da Estação Biológica de Nova Lombardia. Sítio do Sr. Waldir.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317049' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","1198","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.","Dias, M.C.","Christianini, S.R.","Brasil","Agudos",NA,NA,"9999","9999",NA,NA,"BOTU001198","BOTU001198","1997","12",NA,"439","1996","11","09","São Paulo","Fazenda da Cia e Cervejaria Brahma.","Árvore, cerca de 12m de altura, caule cinza-escuro e muito esfoliativo, folhas cartáceas, botões florais e frutos verdes, flores crassas e avermelhadas externamente. <ll>dwc_commonname:</ll> araticum-cagão, cortição.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-08 11:07:02-03","UNESP-IBB","BOTU","23034","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.",NA,"Amaral Jr., A.","Brasil","Anaurilândia","-52.9575","-22.364722","52°57'27w","22°21'53s",NA,NA,"BOTU023034","BOTU023034",NA,NA,NA,"682","2000","10","29","Mato Grosso do Sul","Margem da represa da hidrelétrica de Porto Primavera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","1199","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.","Christianini, S.R.","Christianini, S.R.","Brasil","Agudos",NA,NA,"9999","9999",NA,NA,"BOTU001199","BOTU001199","1997","10",NA,"648","1997","10","19","São Paulo","Fazenda da Cia e Cervejaria Brahma.","Árvore, 1,20m de altura, caule descamante, folhas cartáceas, cotões florais cor de vinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","32452","PreservedSpecimen","Plantae","Annonaceae","Annona","cacans","Annona cacans","Warm.","Dalanhol, S.J.","Dalanhol, S.J.","Brasil",NA,NA,NA,"9999","9999",NA,NA,"BOTU032452","BOTU032452","2015","10","06","10","2015","10","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
