"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2020-09-23 10:42:02-03","E","E","205513","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","cuspidata","Ouratea cuspidata","Harley, R.M.; Hind, D.J.N.; Nic Lughadha, E.; Souza, V.C.; Sakuragui, C.M.; Ganev, W.","1992","12","26","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:218478","<a href=http://data.rbge.org.uk/herb/E00205513 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","642125","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","cuspidata","Ouratea cuspidata","H. E. Strang","1960","06","04","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642125","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","162","Restinga de Itapeba, loteamento do Recreio dos Bandeirantes","-43.39678","-23.000764","NY00642125_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1128051","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","cuspidata","Ouratea cuspidata","K. Lems","1964","03","05","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274906' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128051","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","s.n.","Guanabara - Recreio dos Bandeirantes, 30 km. W. of Rio de Janeiro.","-43.482796","-23.016442","NY01128051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1128118","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","cuspidata","Ouratea cuspidata","G. F. J. Pabst","1973","01","07","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275560' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128118","Magnoliophyta","Malpighiales","Engl.","E. Pereira","9457","Guanabara, Restinga de Sernambetiba","-43.475747","-23.031229","NY01128118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02695340","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","cuspidata","Ouratea cuspidata","F. O. Silva","2012","12","13","South America","Brazil","Paraíba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953404' target='other'> <mi>dwc_moreinfo</mi></a>","NY02695340","Magnoliophyta","Malpighiales","(A.St.-Hil.) Engl.","F. O. Silva","127","Reserva Biológica Guaribas. Área II. Coletada próxima a casa de apoio dos brigasdistas","-35.142056","-6.741861","NY02695340_01","Mamanguape","181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","642127","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","cuspidata","Ouratea cuspidata","R. M. Harley","1974","04","01","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642127","Magnoliophyta","Malpighiales","Engl.","C. H. L. Sastre","17593","65 km NE of Itabuna, at the mouth of the Rio de Contas on the N bank opposite Itacaré. Alt. Sea level","-39.02","-14.25","NY00642127_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","642126","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","cuspidata","Ouratea cuspidata","G. Martinelli","1979","03","23","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642126","Magnoliophyta","Malpighiales","Engl.","L. de F. de Carvalho; S. R. Profíce","5653","Casimiro de Abreu, restinga entre Barra de Sao Joao e Rio das Ostras",NA,NA,"NY00642126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","642132","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","cuspidata","Ouratea cuspidata","W. Ganev","1992","11","23","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642132","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","1529","Estrada Catolés- Barra. Samambaia","-41.87","-13.27","NY00642132_01","Abaíra","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","642134","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","cuspidata","Ouratea cuspidata","W. Ganev","1993","11","06","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642134","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","2404","Guarda-Mor, caminho Guarda-Mor-Serrinha-Catolés","-41.85","-13.32","NY00642134_01","Abaíra","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1738001","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","cuspidata","Ouratea cuspidata","L.A. Gomes","2011","03","03","South America","Brazil","Sergipe","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1951814' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738001","Magnoliophyta","Malpighiales","Engl.","L.A. Gomes","61","RPPN Mata do Crasto.","-37.4186","-11.3894","NY01738001_01","Santa Luzia do Itanhy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
