"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","class","typeStatus","individualCount","imagecode","yearIdentified","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","469076","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","matogrossensis","Nectandra matogrossensis","Coe-Teix.","B. Coe-Teixeira","R. P. Belém","2725","1966","10","08","South America","Brazil","Bahia","Guaratinga","Plantaçao de Cacau","-39.78","-16.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=539092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469076",NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","1199585","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","matogrossensis","Nectandra matogrossensis","Coe-Teix.",NA,"J. G. Kuhlmann","272","1914","12",NA,"South America - Neotropics","Brazil","Mato Grosso",NA,"Rio Arinos.",NA,NA,NA,NA,"US00048366","Dicotyledonae","Isotype","1","US00048366_01",NA,NA,NA
"3","2019-11-01 15:01:58-03","UnB","UB","150072","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lauraceae","Nectandra","matogrossensis","Nectandra matogrossensis","Coe-Teixeira","Moraes, PLR","Belém, RP","2725","1966","10","08","Southern America","Brasil","Bahia","Guaratinga","Plantação de cacau","-39.7827987670898","-16.5839004516602",NA,"PARÁTIPO; Árvore de 12 cm x 25 cm diâm., flores brancas e perfumada, estames verdeados.","UB0037157",NA,NA,NA,"UB0037157","2010","55290","auto"
