"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1309703","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","N. P. Taylor","W. W. Thomas","9321","1992","05","14","South America","Brazil","Bahia","Wenceslau Guimaraes","Ca. 3 km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimarães.","-39.7222222","-13.5972222","500","600","sheet","Site: WG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267492' target='other'> <mi>dwc_moreinfo</mi></a>","NY01309703","NY01309703_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645626","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"J. N. Rose","43198","1915",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Organ Mountains","-43.073169","-22.496706",NA,NA,"sheet","Cultivated from original collection Rose, 20818 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406930' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645626","NY00645626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645623","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"J. N. Rose","43197",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","Cultivated from original collection Rose 20708 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645623","NY00645623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645625","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"J. N. Rose","43197","1915",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","Cultivated from original collection Rose, 20708. Painted May 1922 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645625","NY00645625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645624","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"Collector unspecified","29926",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","Cultivated from original collection C. R. Berger, in 1908; Flowered and painted Dec 1911 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645624","NY00645624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645622","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"J. N. Rose","21159","1915",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Organ Mountains","-43.073169","-22.496706",NA,NA,"sheet","Cultivated from original collection Rose 21159. Line drawing, May 1921 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645622","NY00645622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:18-03","UFRJ","RFA","8334","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","rhombea","Rhipsalis rhombea","Pfeiff.","A. Castillanos","G.G. Hatschbach","9056","1962","02","18",NA,"Brasil","Paraná","Campina Grande do Sul","Rod. BR-2. Ribeirão do Cedro","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Epífita; flor alva","RFA27495",NA,"1964","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U.1180508","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Rhipsalis","rhombea","Rhipsalis rhombea","(Salm-Dyck) Pfeiff.",NA,"Maas PJM; Martinelli G",NA,"1977","10","21","Southern America","Brazil",NA,NA,"Edo. Rio de Janeiro, Mun. terezopolis, Parque nacional da Serra dos Orgaos, river margin near Subsede do Parque.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180508 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1180508","NL-U1180508",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 10:55:10-03","ESALQ","ESA","141080","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff","Zanini, A.M.","Silva, T.D.; Assis, L.S.; Gardon, F.R.; Lozano-Baez, S.E.; Mazzeo, R.R.; Zanini, A.N.; Souza, V.C.; Rodrigues, R.R.; Colletta, G. D.; Koch, I.","10.0","2017","04","18",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Ilha do Governador; Base de Fuzileiros Navais; Trilha da Base; Floresta Ombrófila Densa","-43.163297","-22.781485",NA,NA,NA,"Epifíta; flores amarelos claro com estames brancos","ESA141080",NA,"2017",NA,NA,NA,"06","02","-43.163297","-22.781485",NA,NA,NA
"10","2021-03-15 19:59:40-03","MN","R","240010","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Cardoso, W.C.","Cardoso, W.C.; Costa, F.G.C.M.; Assunção, T.S.","474","2019","08","16",NA,"Brasil","Rio de Janeiro","Casimiro de Abreu",NA,"-42.301944","-22.453056","77","77",NA,"cf.","R010072049","R010072049","2019",NA,NA,NA,"08","16","42°18'7''W","22°27'11''S",NA,NA,NA
"11","2021-01-14 15:26:43-03","MN","R","189444","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"Freitas, M.F.; Sarahyba, L.S.","225","1991","08","27",NA,"Brasil","Rio de Janeiro","Arraial do Cabo",NA,"-42.0278015136719","-22.966100692749",NA,NA,NA,NA,"R010028930,R010028931",NA,NA,"25964","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:26:43-03","MN","R","225100","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"Martins, V.L.C.; Oliveira, M.C.","1105","2007","08","16",NA,"Brasil","Rio de Janeiro","Arraial do Cabo",NA,"-42.0278015136719","-22.966100692749",NA,NA,NA,NA,"R010010543",NA,NA,"25964","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:33:03-03","UFJF","CESJ","71998","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","D.R. Gonzaga","D.E.F. Barbosa; G.A. Basílio","573","2018","10","21","América do Sul","Brasil","Minas Gerais","Itamarati de Minas","RPPN Usina Maurício, Floresta semidecidual","-42.832778","-21.470278","250","250",NA,"Epífita pendente a 3m. Flores com pétalas de base amarela e ápice laranja. Borda de floresta a margem de leito seco.","CESJ071998",NA,"2018",NA,NA,NA,"10","21","-42.832778","-21.470278",NA,NA,NA
"14","2019-11-21 14:33:03-03","UFJF","CESJ","60703","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","D. Zappi","D.E.F. Barbosa; F.R. Silva","58","2012","03","31","América do Sul","Brasil","Minas Gerais","Chácara","Fazenda Fortaleza de Santana, Interior de Floresta Estacional Semidecidual, próximo ao curso d'água.","-43.182222","-21.655833","750","800",NA,"Interior de floresta, próximo ao curso d'água. Epífita pendente, 6m de altura, fruto hialino, flor com pétalas de base amarela e ápice laranja, estames e estigma brancos.","CESJ060703",NA,"2016",NA,NA,NA,NA,NA,"-43.182222","-21.655833",NA,NA,NA
"15","2021-03-01 16:27:17-03","UNICAMP","UEC","131897","S","Plantae","Magnoliopsida",NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"Andrade, CT","37","2001","11","23",NA,"Brazil","Bahia","Santa Terezinha","Serra da Jibóia","-39.533333","-12.75",NA,NA,NA,"Terrestre. Cladódio verde-claro, prostado, atingindo ca. 40cm de altura. Estéril.","UEC090996","UEC090996",NA,NA,NA,NA,NA,NA,"-39.533333","-12.75",NA,NA,NA
"16","2019-08-20 10:08:43-03","UNICAMP","UEC","48225","S","Plantae","Magnoliopsida",NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Taylor, NP","Sucre, D","10957",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"UEC090894","UEC090894","1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2014-10-14 15:56:26-03","BS","M","M-0145865","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.",NA,"Blanchet, J.S.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,NA,"M0145865",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,"NOTATYPE",NA,NA
"18","2021-02-10 15:39:34-03","UFES","VIES","48695","S","Plantae",NA,NA,"Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","(Haw.) Pfeiff.","Cardoso, W.C.","Cardoso, W.C.; Costa, F.G.C.M.; Assunção, T.S.","474","2019","08","16",NA,"Brasil","Rio de Janeiro","Silva Jardim","Aldeia Velha.","-42.301944","-22.453056","77","77",NA,NA,"VIES048695","VIES048695","2019",NA,NA,NA,"08","16","42º18'7''W","22º27'11''S",NA,NA,NA
