"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","individualCount","barcode","imagecode","identifiedBy","yearIdentified","typeStatus","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","sex","preparationType"
"1","2020-09-12 05:00:02-03","US","US","3062719","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Mikania","bradei","Mikania bradei","B.L. Rob.","D. Sucre, P. Krieger & P. I. S. Braga","7223","1970","9","30","South America - Neotropics","Brazil","Minas Gerais","Brasil, Minas Gerais, Serra de Ibitipoca, netre [interpreted]","1550","1630","1","US01672995","US01672995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:00:58-03","IBt","SP","373248","S","Plantae",NA,NA,"Asteraceae","Mikania","bradei","Mikania bradei","B.L.Rob.","Hoehne, W","s.n.","1949","04","11",NA,"Brasil","São Paulo","Via Anhanguera, km 30.",NA,NA,NA,NA,NA,"Hoehne, W",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-25 09:37:53-03","IBt","SP","41281","S","Plantae",NA,NA,"Asteraceae","Mikania","bradei","Mikania bradei","B.L.Rob.","Hoehne, FC","s.n.",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 10:00:58-03","IBt","SP","6101","S","Plantae",NA,NA,"Asteraceae","Mikania","bradei","Mikania bradei","B.L.Rob.","Brade, AC","s.n.","1913","03","30",NA,"Brasil","São Paulo","Jaraguá",NA,NA,NA,"SP000524","SP000524","Robinson, BL","1934","Isotype","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA
"5","2010-08-16 16:37:38-03","GH","HU-HERB","GH 00010254","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","bradei","Mikania bradei","B. L. Robinson","A. C. Brade",NA,"1913","3","30","South America","Brazil","São Paulo","Jaragua",NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,"undetermined","Sheet"
