"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","continentOcean","preparationType","typeStatus","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:25:12-03","UNESC","CRI","13278","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2016","05","12","Schwirkowski, P.","1458","2016","01","01","Brasil","Santa Catarina","São Bento do Sul","Trilha do Parque 23 de Setembro. Trilha do Parque 23 de Setembro.","-49.383611","-26.275556","49º23'1''W","26º16'32''S","830","830","CRI011768","CRI011768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:12-03","UNESC","CRI","10936","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, AL de","2012","09","26","San Zatta Custódio",NA,"2011","08","12","Brasil","Santa Catarina","Grão Pará",NA,"-49.2146987915039","-28.1849994659424",NA,NA,NA,NA,"CRI010959",NA,"24844","Habitat: Terrícola Habito: Herbácea","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","678823","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","A. Salino",NA,NA,NA,"H. Luederwaldt","21855",NA,NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"NY00678823","NY00678823_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811649' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03230293","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","R. S. Viveros",NA,NA,NA,"H. Luederwaldt","21855",NA,NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"NY03230293","NY03230293_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3536814' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","719906","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.",NA,NA,NA,NA,"F. F. F. Mazziero","571","2011","09","21","Brazil","São Paulo",NA,"Iporanga/Apiai. Parque Estadual Turistico do Alto Ribeira (PETAR). Nucleo Santana.","-48.71","-24.5394",NA,NA,NA,NA,"NY00719906","NY00719906_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2524845' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 10:12:00-03","NY","NYBG","1801273","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii",NA,"F. B. Matos",NA,NA,NA,"F. B. Matos","2007","2012","01","08","Brazil","Santa Catarina","Sao Joaquim","Snow Valley Adevnture Park. Rodovia SC-438.","-49.8681","-28.2333",NA,NA,"1305",NA,"NY01801273","NY01801273_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017877' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 18:57:00-03","NY","NYBG","719908","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii",NA,NA,NA,NA,NA,"F. F. F. Mazziero","1025","2012","04","29","Brazil","São Paulo",NA,"Iporanga/Apiai. Parque Estadual Turistico do Alto Ribeora (PETAR). Nucleo Caboclos.","-48.6933","-24.5394",NA,NA,NA,NA,"NY00719908","NY00719908_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2524848' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","678822","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","A. Salino",NA,NA,NA,"J. A. Rohr","s.n.","1948","06","27","Brazil","Santa Catarina","Florianópolis","Sertão da Lagoa, Ilha de Santa Catarina.","-48.8156","-27.5969",NA,NA,NA,NA,"NY00678822","NY00678822_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811646' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","99430","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","anniesii","Dryopteris anniesii","Rosenst.",NA,NA,NA,NA,"C. Jürgens","158","1904","01",NA,"Brazil","Rio Grande do Sul",NA,"Venancio Ayres: Camp. do Seivas",NA,NA,NA,NA,NA,NA,"NY00099430",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273714' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta","Polypodiales","South America","sheet","isolectotype",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","99432","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","anniesii","Dryopteris anniesii","Rosenst.",NA,NA,NA,NA,"J. Annies","42b","1904","12",NA,"Brazil","Paraná",NA,"Villa Nova",NA,NA,NA,NA,NA,NA,"NY00099432",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273715' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta","Polypodiales","South America","sheet","isosyntype",NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:43:44-03","NBC","NL-BOTANY","L.3530646","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.",NA,NA,NA,NA,"Rohr JA",NA,"1948","06","27","Brazil",NA,NA,"Santa Catarina. Sertao da Lagao, Ilha de Santa Catarina, Florianopolis.",NA,NA,NA,NA,NA,NA,"NL-L3530646","NL-L3530646",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3530646 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Polypodiales","Southern America",NA,NA,"Pteropsida",NA,NA,NA,NA,NA
"12","2021-02-01 16:25:23-03","MN","R","232841","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","anniessii","Ctenitis anniessii","(Rosenst.) Copel.","Damasceno, E.R.","2014","10",NA,"Damasceno, E.R.; Wenderroschy, N.G. 703",NA,"2013","08","03","Brasil","Rio de Janeiro","Nova Friburgo","Teodoro de Oliveira","-42.560806","-22.367361","42º33'38,9W","22º22'02,5S","1381","1381","R010043337","R010043337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-19 08:15:17-03","FPS","FPS","1903","MachineObservation","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, A.L. de","2016","05","12","Schwirkowski, P.","1458","2016","01","09","Brasil","Santa Catarina","São Bento do Sul","Serra Alta, Vila Pilz, trilhos","-49.460739","-26.284111","-49.460739","-26.284111",NA,NA,"FPS01903,FURB49526,CRI011768","CRI011768 FPS01903_v01 FPS01903_v02 FPS01903_v03 FPS01903_v04 FPS01903_v05 FURB49526",NA,"<ll>dwc_commonname:</ll> Drióptero-de-Annies-e-Otto?",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 49526, CRI 13278",NA,NA,NA
"14","2019-12-19 08:15:17-03","FPS","FPS","1890","MachineObservation","Plantae","Dryopteridaceae","Ctenitis","anniesii","Ctenitis anniesii","(Rosenst.) Copel.","Gasper, A.L. de","2016","05","12","Schwirkowski, P.","1445","2016","01","09","Brasil","Santa Catarina","São Bento do Sul","Parque Vinte e Três de Setembro","-49.383622","-26.27563","-49.383622","-26.27563",NA,NA,"FPS01890,FURB49513,FLOR0064499","FLOR0064499 FPS01890_v01 FPS01890_v02 FPS01890_v03 FPS01890_v04 FPS01890_v05 FPS01890_v06 FURB49513",NA,"<ll>dwc_commonname:</ll> Drióptero-de-Annies-e-Otto?",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 49513, FLOR 64499",NA,NA,NA
"15","2019-08-27 13:35:13-03","IAP","PACA-AGP","78157","PreservedSpecimen","Plantae","Dryopteridaceae","Dryopteris","anniesii","Dryopteris anniesii","Rosenst.","A. Sehnem SJ","1973","04","10","Reitz, R.","14773","1963","04","13","Brasil","SC","Anita Garibaldi",NA,"-51.1300010681152","-27.6891994476318",NA,NA,"700","700","PACA078157",NA,"23768","Habitat: mata","auto","Pteridophyta","Polypodiales",NA,NA,NA,"Filicopsida",NA,NA,NA,NA,NA
