"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","imagecode","coordinatePrecision","geoFlag","dayIdentified","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","788691","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stifftia","chrysantha","oligantha","Stifftia chrysantha oligantha","Baker","A. Gehrt","A. Gehrt","s.n.","1938","05","14","South America","Brazil","São Paulo","Caraguatatuba","Ex. 1a Secçao Botânica e Agronomia do Instituto Biologico.","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788692","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stifftia","chrysantha","oligantha","Stifftia chrysantha oligantha","Baker","W. Hoehne","W. Hoehne","s.n.","1953","07","13","South America","Brazil","São Paulo","Caraguatatuba","Praia Negra.","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:28:54-03","UNESP-IBB","BOTU","20288","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stifftia","fruticosa",NA,"Stifftia fruticosa","(Velloso) D.J.N. Hind","Monge, M.","Martin, L.F.","1","2007","10","26",NA,"Brasil","São Paulo","Botucatu","Faculdade de Medicina, planta cultivada no herbário BOTU",NA,NA,NA,"Arbusto de aproximadamente 3,50 cm de altura,folhas cartáceas com inflorescência alaranjada, presença de papus vinhaceos e estames brancos <ll>dwc_commonname:</ll> rabo de cotia","BOTU020288","2011","10","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:11:18-03","UFBA","ALCB","59144","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stifftia","fruticosa",NA,"Stifftia fruticosa","(Vell.) D.J.N. Hind & Semir","Roque, N","Lombardi, JA","10041","2013","04","23","Southern America","Brasil","São Paulo","Ubatuba","Sertão da Praia Dura, estrada da Folha Seca. Margem de estrada de terra.","-28.2625","-23.490833",NA,"ca. 5 m, folhas cartáceas, brácteas verdes, pappus rosado.; Mata Atlântica.","ALCB032995","2016","07","-28.2625","-23.490833","ALCB032995",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-25 16:50:25-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stifftia","grazielae",NA,"Stifftia grazielae","H.F. Leitão-Filho",NA,"Martin, LF","01","2007","10","26","Southern America","Brasil","São Paulo","Botucatu","Centro-Oeste, Jardim do Herbário BOTU, Faculdade de Medicina","-48.439998626709","-22.8799991607666",NA,"de aproximadamente 3,50 m de altura. Folhas cartáceas, com inflorescência alaranjada, presença de papus vináceos e estames brancos. Conhecida como Rabo-de-cutia.",NA,NA,NA,NA,NA,NA,"40412","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:02:25-03","ESALQ","ESA","37018","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Stifftia","fruticosa",NA,"Stifftia fruticosa",NA,"Monge, M.","Hoehne, W.",NA,"1953","07","13",NA,"Brasil","São Paulo","Caraguatatuba",NA,"-45.4099998474121","-23.6200008392334",NA,NA,"ESA037018",NA,NA,NA,NA,"ESA037018","30093","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:02:25-03","ESALQ","ESA","122958","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Stifftia","grazielae",NA,"Stifftia grazielae",NA,"Zipparro, V.B.","Zipparro, V.B.","2357.0","2008","08","21",NA,"Brasil","São Paulo","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).","-45.0699996948242","-23.4300003051758",NA,NA,"ESA122958",NA,NA,NA,NA,"ESA122958","34265","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-08-12 14:34:33-03","UFPI","TEPB","1778","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stifftia","grazielae",NA,"Stifftia grazielae","Leitão Filho","Afrânio Fernandes","Gibbs, P.E",NA,"1977","08","12",NA,"Brasil","São Paulo","Ubatuba","15 km de Ubatuba","-45.0699996948242","-23.4300003051758",NA,"Arvoreta, flor rosada e avermelhada Ambiente: Mata Atlântica <ll>dwc_commonname:</ll> Cipó-de-cururu",NA,"1993","07",NA,NA,NA,"34265","auto","15",NA,NA,NA,NA,NA,NA
"9","2019-07-26 11:39:32-03","IPA","IPA","10572","S","Plantae","Plantae",NA,"Asteraceae","Stifftia","chrysantha","oligantha","Stifftia chrysantha oligantha","Baker",NA,"Magalhães, M.","10572","1938","07",NA,"Southern America","Brasil","São Paulo","Ubatuba","Horto Florestal","-45.0699996948242","-23.4300003051758",NA,NA,"IPA0010572",NA,NA,NA,NA,"IPA0010572","34265","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:34:33-02","IPA","IPA","88771","S","Plantae","Plantae",NA,"Asteraceae","Stifftia","grazielae",NA,"Stifftia grazielae","Leitão",NA,"Hernández, M.I.M.; et al.; et al.","30118","1993","11","15","Southern America","Brasil","Rio de Janeiro","Parati","Condomínio das Laranjeiras, e Praia do Sono.","-44.65","-23.316667",NA,"Árvore 7m, flores cor-de-rosa.","IPA0088771",NA,NA,"-44.65","-23.316667","IPA0088771",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:16:02-03","UFV","VIC","36029","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stifftia","fruticosa",NA,"Stifftia fruticosa","(Velloso) D.J.N. Hind & Semir","Monge, M.","Scavone, O.","s.n.","1955","07","29",NA,"Brasil","São Paulo","Caraguatatuba","Praia Brava","-45.4099998474121","-23.6200008392334",NA,NA,"VIC036029","2011","01",NA,NA,"VIC036029","30093","auto",NA,NA,NA,NA,NA,NA,NA
