"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","phylum","order","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber"
"1","2021-04-05 14:34:11-03","UNESC","CRI","6481","PreservedSpecimen","Plantae","Scrophulariaceae","Angelonia","integerrima","Angelonia integerrima","Spreng.","J. A. Jarenkow","J. A. Jarenkow","3314","1996","12","16","Brasil","Rio Grande do Sul","Sertão Santana","-51.611944","-30.460833","51º36'43''W","30º27'39''S","CRI009994","CRI009994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","4022","PreservedSpecimen","Plantae","Scrophulariaceae","Angelonia","integerrima","Angelonia integerrima","Spreng.","J. A. Jarenkow","J. A. Jarenkow","1423","1989","11","19","Brasil","Rio Grande do Sul","Piratini","-53.104444","-31.448611","53º6'16''W","31º26'55''S","CRI009993","CRI009993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:11-03","UNESC","CRI","2138","PreservedSpecimen","Plantae","Scrophulariaceae","Angelonia","integerrima","Angelonia integerrima","Spreng.","S. F. Smith","R. M. Klein","3950","1962","12","13","Brasil","Santa Catarina","Itaiópolis","-49.906667","-26.336944","49º54'24''W","26º20'13''S","CRI009992","CRI009992","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:11-03","UNESC","CRI","6872","PreservedSpecimen","Plantae","Scrophulariaceae","Angelonia","integerrima","Angelonia integerrima","Spreng.","S. F. Smith","R. Klein","3950","1962","12","13","Brasil","Santa Catarina","Itaiópolis","-49.906667","-26.336944","49º54'24''W","26º20'13''S","CRI009991","CRI009991","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:11-03","UNESC","CRI","6934","PreservedSpecimen","Plantae","Scrophulariaceae","Angelonia","integerrima","Angelonia integerrima","Spreng.","S. F. Smith","R. Klein","3950","1962","12","13","Brasil","Santa Catarina","Itaiópolis","-49.906111","-26.339444","49º54'22''W","26º20'22''S","CRI009996","CRI009996","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","499136","PreservedSpecimen","Plantae","Plantaginaceae","Angelonia","integerrima","Angelonia integerrima","Spreng.","K. A. Barringer","J. C. Lindeman","3654","1966","12","14","Brazil","Rio Grande do Sul","Ciríaco","-51.8764","-28.3436",NA,NA,"NY00499136","NY00499136_01",NA,"Magnoliophyta","Lamiales","South America","46 km W of Lagoa Vermelha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770044' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","499137","PreservedSpecimen","Plantae","Plantaginaceae","Angelonia","integerrima","Angelonia integerrima","Spreng.","G. G. Hatschbach","J. M. Silva","1216","1993","01","15","Brazil","Paraná","Palmeira","-50.0064","-25.4294",NA,NA,"NY00499137","NY00499137_01",NA,"Magnoliophyta","Lamiales","South America","Recanto dos Papagaios.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770039' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","499147","PreservedSpecimen","Plantae","Plantaginaceae","Angelonia","integerrima","Angelonia integerrima","Spreng.","K. A. Barringer","T. M. Pedersen","3045","1954","12","15","Argentina","Corrientes","Empedrado",NA,NA,NA,NA,"NY00499147",NA,NA,"Magnoliophyta","Lamiales","South America","Estancia Las Tres Marias.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770032' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","499133","PreservedSpecimen","Plantae","Plantaginaceae","Angelonia","integerrima","Angelonia integerrima","Spreng.","K. A. Barringer","L. B. Smith","14919","1965","01","21","Brazil","Paraná","Ponta Grossa","-50","-25.3",NA,NA,"NY00499133","NY00499133_01",NA,"Magnoliophyta","Lamiales","South America","High campo, above Rio Tibagi at Rodovia do Café.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770042' target='other'> <mi>dwc_moreinfo</mi></a>","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","639113","PreservedSpecimen","Plantae","Plantaginaceae","Angelonia","integerrima","Angelonia integerrima","Spreng.","S. F. Smith","A. Kegler","697","2000","02","19","Brazil","Rio Grande do Sul","Caxias do Sul","-51.0564","-29.0644",NA,NA,"NY00639113","NY00639113_01",NA,"Magnoliophyta","Lamiales","South America","Sao Gotardo-Vila Seca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770033' target='other'> <mi>dwc_moreinfo</mi></a>","780","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
