"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2020-09-23 10:40:18-03","E","E","109559","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","moschata","Cryptocarya moschata","Assumpçao, C.Torres de","7512","1979","02","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:117331","<a href=http://data.rbge.org.uk/herb/E00109559 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00109559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:18-03","E","E","196792","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","moschata","Cryptocarya moschata","Bohrer, C.",NA,NA,NA,NA,"E. Tropical South America","BR","fruit collection/cone collecti","BGBASE:228531","<a href=http://data.rbge.org.uk/herb/E00196792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:18-03","E","E","196788","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","moschata","Cryptocarya moschata","Bohrer, C.",NA,NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:228516","<a href=http://data.rbge.org.uk/herb/E00196788 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:18-03","E","E","109558","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","moschata","Cryptocarya moschata","Sellow, Friedrich",NA,NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:117332","<a href=http://data.rbge.org.uk/herb/E00109558 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00109558","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1144954","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","moschata","Cryptocarya moschata","P. L. Rodrigues de Moraes","2110","2000","02","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301691' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144954",NA,"Magnoliophyta","Laurales","Nees & Mart.","P. L. Rodrigues de Moraes","São Paulo","Anhembi","Fazenda Berreira Rico.","-48.1197","-22.7803","NY01144954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1144956","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","moschata","Cryptocarya moschata","P. L. Rodrigues de Moraes","2194","2000","08","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301694' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144956",NA,"Magnoliophyta","Laurales","Nees & Mart.","P. L. Rodrigues de Moraes",NA,NA,"Fazenda Palmital, Suelo Antonio de Posse,.","-46","-22","NY01144956_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1015959","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","moschata","Cryptocarya moschata","P. L. Rodrigues de Moraes","2263","2000","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115661' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015959",NA,"Magnoliophyta","Laurales","Nees & Mart.","P. L. Rodrigues de Moraes","São Paulo","Campinas","Bosque dos Jequitibás.","-47.0492","-22.9092","NY01015959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1015945","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","moschata","Cryptocarya moschata","P. L. Rodrigues de Moraes","2208","2000","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115565' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015945",NA,"Magnoliophyta","Laurales","Nees & Mart.","P. L. Rodrigues de Moraes","São Paulo","Anhembi","Fazenda Barreiro Rico.","-48.1469","-22.6647","NY01015945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1015940","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","moschata","Cryptocarya moschata","P. L. Rodrigues de Moraes","2192","2000","08","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115546' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015940",NA,"Magnoliophyta","Laurales","Nees & Mart.","P. L. Rodrigues de Moraes","São Paulo","Amparo","Trevo para Serra Negra","-46.79","-22.5861","NY01015940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1015946","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","moschata","Cryptocarya moschata","P. L. Rodrigues de Moraes","2237","2000","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015946",NA,"Magnoliophyta","Laurales","Nees & Mart.","P. L. Rodrigues de Moraes","São Paulo","Moji-Guaçu","Fazenda Campininha, Mata do Córrego do Bonato. Árvore 21.","-47.1878","-22.2575","NY01015946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
