"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","relatedCatalogItem","typeStatus","recordNumber","fieldNumber","preparationType","decimalLongitude","decimalLatitude","individualCount","county","minimumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","phylum"
"1","2020-02-08 10:19:16-03","NBC","NL-BOTANY","L.1300976","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Pedersen TM","1960","04","22","Southern America","Argentina","Estancia,,Tuyuti'. Dep. Itati. Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300976 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300976","NL-L1300976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:19:16-03","NBC","NL-BOTANY","U.1520891","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Pedersen TM","1983","12","27","Southern America","Argentina","Rincón de Vences. Dep. Gral. Paz. Prov. Corrientes.","By the roadside, low ground.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1520891 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1520891","NL-U1520891","Quarín CL","Corrientes","U 0258629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:38:16-02","BGBM","B","B 10 0294111","S","Plantae",NA,NA,"Gramineae","Paspalum","arundinellum","Paspalum arundinellum","Mez","E. H. G. Ule","1909","10",NA,"Middle and South America","Brazil","Rio Branco, Surumu: In einem Bache zwischen Serra do Mel und Serra do Banco.","<a href=http://herbarium.bgbm.org/object/B100294111 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100294111","B100294111 B100294111_1",NA,NA,NA,"syntype","8040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:40:44-03","MBM","MBM","344529","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Zuloaga, F.O.; et al.; et al.","2004","12","03","Southern America","Argentina",NA,NA,"MBM344529","MBM344529",NA,"Misiones",NA,NA,"8386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-10-04 04:35:35-03","MNHN","RECOLNAT_MNHN_P","P00729526","PreservedSpecimen",NA,NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Hassler, E.","1907","11","21",NA,"Paraguay",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00729526' target='other'> <mi>dwc_moreinfo</mi></a>","P00729526","P00729526_01","Morrone",NA,NA,NA,NA,"Hassler Expedition/22","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-10-04 10:35:04-03","MNHN","RECOLNAT_MNHN_P","P00729531","PreservedSpecimen",NA,NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Richard, L.C",NA,NA,NA,NA,"guyane",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00729531' target='other'> <mi>dwc_moreinfo</mi></a>","P00729531","P00729531_01 P00729531_02","Chase",NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","233695","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Elsa M. Zardini|M. Velázquez","1989","12","23","South America","Paraguay","Río Salado basin, 7 km NE of Emboscada. Inundated savanna on clay.",NA,NA,NA,"O. Morrone, 1999 (SI)","Cordillera",NA,NA,"Zardini 17476","240",NA,"-57.5","-25.11666","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009-02-26 09:56:00-03","MO","MOBOT","100171214","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Fernando O. Zuloaga|Manuel J. Belgrano","2004","12","3","South America","Argentina","Parque Provincial Teyucuaré, peñón del Teyucucaré.",NA,NA,NA,"F.O. Zuloaga","Misiones",NA,NA,"Zuloaga 8386",NA,NA,"-55.5958333","-27.2819445","1","San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-03-19 14:33:00-03","MO","MOBOT","100780977","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Teodoro Rojas","1945","5","3","South America","Paraguay","San Fernando.",NA,NA,NA,NA,"Ñeembucú",NA,NA,"Rojas 12606",NA,NA,"-58.1166667","-26.6","1",NA,"45.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","1233993","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","arundinellum","Paspalum arundinellum","Mez","Camilo L. Quarín","1994","3","16","South America","Argentina","76 km ESE de Corrientes. Cult. Facultad de Ciencias Agrarias, UNNE. 2n=5x=50.",NA,NA,NA,"F.O. Zuloaga, 1998 (SI)","Corrientes",NA,NA,"Quarín 4113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
