"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","county","locality","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","eventTime","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","779","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","angustifolia","Eschweilera angustifolia","Mart.","lectotype","C. F. P. von Martius","61","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000779","NY00000779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03097835","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"M. Ribeiro","1159","South America","Brazil","Espírito Santo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3343390' target='other'> <mi>dwc_moreinfo</mi></a>","NY03097835","NY03097835_01","2015","04","30","Guarapari","Nova Guarapari.","-40.5361111","-20.7266667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00682476","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"E. Pereira","619","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682476","NY00682476_01","1949","01","17",NA,"Matas perto da Vista Chinesa - Est. D. Castorina","-43.1936","-22.9033","S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00682475","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"E. Pereira","619","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682475","NY00682475_01","1949","01","17",NA,"Matas perto da Vista Chinesa - Est. D. Castorina","-43.1936","-22.9033","S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00390614","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"B. D. Sucre","4423","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390614","NY00390614_01","1969","01","18","Rio de Janeiro","Mata da Pedra do Marinheiro (Reserva Florestal do Jardim Botânico)","-43.2075","-22.9031","S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","390609","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"G. H. von Langsdorff",NA,"South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390609","NY00390609_01","1859",NA,NA,NA,NA,NA,NA,"S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00390613","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"B. D. Sucre","9158","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390613","NY00390613_01","1972","05","28",NA,NA,NA,NA,"S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","389838","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"E. Pereira","619","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389838","NY00389838_01","1949","01","17",NA,"Distrito Federal. Matas perto da Vista Chinesa - Est. D. Castorina","-43.1936","-22.9033","S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","390611","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"B. D. Sucre","9158","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390611","NY00390611_01","1972","05","28",NA,NA,NA,NA,"S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","390610","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"J. G. Kuhlmann","RB136148","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390610","NY00390610_01 NY00390610_02 NY00390610_03 NY00390610_04","1927","11","29","Rio de Janeiro","Laranjeiras. Matas da Fábrica Aliança","-43.1936","-22.9033","S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 11:31:04-03","UFRJ","RFA","12594","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"P. Occhioni","5204",NA,"Brasil","Rio de Janeiro",NA,"Arvoreta de 8 metros","RFA43403",NA,NA,NA,NA,"Rio de Janeiro","G. B. Parque da Cidade","-43.2075004577637","-22.9027996063232","M. Ribeiro","2016","07","14","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:31:04-03","UFRJ","RFA","20388","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"D. Sucre","9158",NA,"Brasil","Rio de Janeiro",NA,"Pequena árvore, semi ombrófila, com ca. 8 m de altura, frutos caídos comidos aparentemente por roedores","RFA43605",NA,"1972","05","28","Rio de Janeiro","Mata do Rumo","-43.2075004577637","-22.9027996063232","M. Ribeiro","2016","07","14","57442","auto","30","30",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:39:34-03","EAO","IAN","137535","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"Monnerat, C",NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,"IAN137535",NA,"1963","08","14","Guanabara","Sumare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-02-20 13:41:38-03","INPA","INPA-CARPOTECA","96186","Carpo","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"Ducke, A","JB16205",NA,"?",NA,NA,NA,"INPA0096186",NA,"1920","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-02-20 13:41:38-03","INPA","INPA-CARPOTECA","46170","Carpo","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Eschweilera","compressa","Eschweilera compressa","(Vell.) Miers",NA,"Sucre, D","9158","Southern America","Brasil","Rio de Janeiro",NA,NA,"INPA0046170","INPA0046170 INPA0046170_e INPA0046170_e1","1972","05","28",NA,"Guanabara, Matt do Rumo.",NA,NA,"Mori, SA","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:02:23-03","NBC","NL-BOTANY","L 0009999","PreservedSpecimen","Plantae",NA,"Ericales","Lecythidaceae","Eschweilera","angustifolia","Eschweilera angustifolia","Mart.","isotype","Martius CFP von",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200009999 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0009999","NL-L0009999","1837","11","02",NA,"Brasilia",NA,NA,"Prance GT","1978","11","01",NA,NA,NA,NA,"Magnoliopsidae","898206346",NA,NA,NA,NA,NA,NA
