"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","yearIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified","dayIdentified"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1405","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter","Nygel Taylor","Inês Ribeiro de Andrade; Marcia Bacelar, Fernando Fernandes","2004","03","16","Brasil","Minas Gerais","Itinga","Estrada de terra Itinga- Itaobim","-41.7653007507324","-16.6131000518799","41806","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645485","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","B. E. Leuenberger","R. M. Harley","1977","03","25","Brazil","Bahia",NA,"Serra do Rio de Contas. 13 km E of the town of Vila do Rio de Contas on the road to Marcolino Moura","-41.75","-13.58",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=722535' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19992","South America","700","700","sheet","NY00645485","NY00645485_01 NY00645485_02",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00996965","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","B. E. Leuenberger","B. E. Leuenberger","1983","04","08","Brazil","Minas Gerais",NA,"estr. Araçuai - Itaobim. Km 15 de Itinga para Araçuai. Taquaral, Lavra da Pinheira.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140604' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3054","South America","400","400","sheet","NY00996965","NY00996965_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645484","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter",NA,"N. P. Taylor","1990","12","14","Brazil","Minas Gerais","Itaobim","Na rod. BR 357. 21.5 km W da BR 116 para Itinga","-41.5031","-16.5619",NA,NA,"fr. alc.; foto <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=722536' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"767","South America","225","225","sheet","NY00645484","NY00645484_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:36:22-03","EAO","IAN","59356","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","Taylor, NP","Pinto, GCP","1950","10",NA,"Brasil","Bahia",NA,"Jequié-Poções. Caatinga.(Herbário Escola de Agronomia Cruz das Almas).",NA,NA,NA,NA,NA,NA,"628","Southern America",NA,NA,NA,"IAN059356",NA,"1995",NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U.1180598","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","Leuenberger BE","Harley RM; Mayo SJ; Storr RM; Santos TS dos; Pinheiro RS","1977","03","25","Brazil","Bahia",NA,"13 km E of the town of Vila do Rio de Contas on the road to Marcolino Moura.","-41.75","-13.583333",NA,NA,"Caatinga with riverine vegetation and associated cultivation on sandy soil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180598 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,NA,NA,"NL-U1180598","NL-U1180598",NA,"Magnoliopsidae","-41.75","-13.583333","U 0246338",NA,NA
"7","2019-02-15 11:35:50-02","IPA","IPA","21855","S","Plantae","Plantae",NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F. Ritter","Taylor, N.P.; Zappi, D.C.","Andrade-Lima","1970","10","16","Brasil","Bahia",NA,"bacio médio Rio de Contas km 11, estrada Saco da Onça - Urandi.",NA,NA,NA,NA,"Árvore 5-6m; flor amarelo vivo.; Caatinga úmida.",NA,"70-6067","Southern America",NA,NA,NA,"IPA0021855",NA,"1990",NA,NA,NA,NA,"02","21"
"8","2021-03-01 16:27:13-03","UNICAMP","UEC","1159","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","Leuenberger, B","Shepherd, GJ; Kinoshita, LS; Andrade, JB; Taroda, N","1977","03","09","Brazil","Minas Gerais",NA,"Entre Itaobim e Jequitinhonha, Km 4.",NA,NA,NA,NA,"Arbusto até 3 m, frutos púrpura.",NA,"4422",NA,NA,NA,NA,"UEC041099","UEC041099","1985",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:27:13-03","UNICAMP","UEC","152791","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","Moraes, MD","Moraes, MD","2005","03","03","Brazil","Minas Gerais",NA,"Ca. 4 km da intersecção Itaobim para Jequitinhonha. Fazenda Canaã, ca. 13 km da entrada. Mata transição para caatinga.",NA,NA,NA,NA,"Árvore com um ou multiplos caules, 3-4m, frutos maduros arroxeados.",NA,"703",NA,NA,NA,NA,"UEC041102","UEC041102",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:27:13-03","UNICAMP","UEC","39819","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","Leuenberger, B","Harley, RM; Mayo, SJ; Storr, RM; Santos, TS; Pinheiro, RS","1977","03","25","Brazil","Bahia",NA,"Serra do Rio de Contas 13 km E of the town of Vila do Rio de Contas on the road to Marcolino Moura. Caatinga with riverine vegetation and associated cultivation on sandy soil.","-41.75","-13.583333",NA,NA,"Tree to 4m. Leaves fleshy, paler below. Fruit orbicular, chocolate-purple.",NA,"19992",NA,"700","700",NA,"UEC041100","UEC041100","1979",NA,"-41.75","-13.583333",NA,NA,NA
"11","2020-12-11 11:34:16-03","UFMG","BHCB","59800","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter",NA,"Harley, RM; et al.",NA,NA,NA,"Brasil","Minas Gerais","Itaobim",NA,"-41.5032997131348","-16.5617008209229","19493",NA,NA,"auto","25525","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:34:16-03","UFMG","BHCB","21306","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter",NA,"Taylor, NP; Zappi, DC","1990","12","14","Brasil","Minas Gerais","Itaobim",NA,"-41.5032997131348","-16.5617008209229","19493",NA,NA,"auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:34:16-03","UFMG","BHCB","21306","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter",NA,"Taylor, NP; Zappi, DC","1990","12","14","Brasil","Minas Gerais","Itaobim",NA,"-41.5032997131348","-16.5617008209229","19493",NA,NA,"auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:34:16-03","UFMG","BHCB","21287","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter",NA,"Taylor, NP; Zappi, DC; Eggli, V","1991","01","28","Brasil","Minas Gerais","Monte Azul",NA,"-42.874698638916","-15.1549997329712","41110",NA,NA,"auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:34:16-03","UFMG","BHCB","21287","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter",NA,"Taylor, NP; Zappi, DC; Eggli, V","1991","01","28","Brasil","Minas Gerais","Monte Azul",NA,"-42.874698638916","-15.1549997329712","41110",NA,NA,"auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-01-24 14:17:00-02","MO","MOBOT","3163855","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F. Ritter","B. Leuenberger","B.E. Leuenberger|Gustavo Martinelli","1983",NA,NA,"Brazil","Minas Gerais",NA,"Estr. Aracuai-Itaobim. Km 15 de Itinga para Aracuai, Taquaral, Lavra da Pinheira.",NA,NA,NA,NA,NA,NA,"Leuenberger 3054","South America","400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2011-09-28 16:07:00-03","MO","MOBOT","3164051","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F. Ritter",NA,"B.E. Leuenberger","1983","4","8","Brazil","Minas Gerais",NA,"Estr. Aracuai-Itaobim. Km 15 de Itinga para Aracuai, Taquaral, Lavra da Pinheira.",NA,NA,NA,"1",NA,NA,"Leuenberger 3054","South America","400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-04 11:04:46-03","UFRB","HURB","10491","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","C.D.P.Vitório","Aona, L.Y.S.; Costa, G.; Marinho, L.","2015","02","06","Brasil","Bahia","Contendas do Sincorá","FLONA, 50m da sede, via Rio Combuca;","-41.118889","-13.921667",NA,NA,NA,NA,"3848",NA,"366","366",NA,"HURB000010491","HURB000010491","2018",NA,"41°07'08W","13°55'18S",NA,NA,NA
"19","2021-03-04 11:04:46-03","UFRB","HURB","13633","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter","C.D.P.Vitório","Mendes, D. B.; Machado, M.","2015","11","06","Brasil","Bahia","Urandi","de Urandi para Licinio de Almeida, ca. 6km ao longo da BA-026 sentido Licinio de Almeida, afloramento de granito ao lado da estrada","-42.611222","-14.748389",NA,NA,"No mesmo local também havia: Brasilicereus phaeacanthus, Coleocephalocereus goebelianus, Tacinga inamoena, Tacinga werneri, Tacinga inamoena x Tacinga werneri.",NA,"25",NA,"865","865",NA,"HURB000013633","HURB000013633",NA,NA,"42º36'40,4W","14º44'54,2S",NA,NA,NA
"20","2021-03-04 11:04:46-03","UFRB","HURB","24734","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter",NA,"Costa, G.; Aona, L.Y.S.; E.H. Souza; Vitório, C.D.P.; Fonseca, W.O.","2018","12","06","Brasil","Bahia","Ilhéus",NA,"-39.0494003295898","-14.7889003753662","61245",NA,"PM 30","auto","3672",NA,NA,NA,NA,"HURB000024734",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13480","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter",NA,"Taylor, N. P.","1990","12","14","Brasil","Minas Gerais","Itaobim",NA,"-41.5032997131348","-16.5617008209229","19493",NA,"Arbustiva até 5m alt. Frutos verdes","auto","767",NA,"225","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-06-15 15:29:44-03","UNESP-RC","HRCB","12057","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter",NA,"Zappi, D.C.","1989","07","25","Brasil","Bahia",NA,NA,NA,NA,NA,NA,"Arbusto 3m alt., estéril, com folhas e numerosos espinhos curtos no tronco, rams jovens acastanhados",NA,"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-06-15 15:29:44-03","UNESP-RC","HRCB","14024","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","Ritter",NA,"Taylor, N. P.","1991","01","28","Brasil","Minas Gerais","Monte Azul ( or Mpio Espinosa)",NA,NA,NA,NA,NA,"A single plant found only. Older stems with characteristic yellowish-grey bark; leaves quickly wilting after the stems are cut",NA,"1470",NA,"920","920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-06-10 10:10:28-03","FZB-BH","BHZB","4534","S","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora",NA,NA,"Fernandes, M.G.C.","2004","03","15","Brasil","MG","Itinga","Estrada de terra Itinga - Itaobim","-41.7653007507324","-16.6131000518799","41806",NA,"Escandente. Com duplicata.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","3267960","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pereskia","aureiflora","Pereskia aureiflora",NA,NA,"N. P. Taylor & D. C. Zappi","1990","12","14","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"1",NA,NA,"767","South America - Neotropics","225","225",NA,"US00413942","US00413942_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","3027114","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pereskia","aureiflora","Pereskia aureiflora",NA,NA,"R. M. Harley","1977","3","25","Brazil","Bahia",NA,NA,NA,NA,NA,"1",NA,NA,"19992","South America - Neotropics","700","700",NA,"US00182096","US00182096_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA
"27","2019-11-13 11:17:22-03","USP","SPF","188033","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","Zappi, DC","Lopes, JC","2008","10","29","Brasil","Minas Gerais","Jacinto",NA,"-40.380889","-16.120944",NA,NA,NA,NA,"30",NA,"128","128",NA,"SPF00188033",NA,"2009",NA,"-40.380889","-16.120944",NA,NA,NA
"28","2019-11-13 11:17:22-03","USP","SPF","38617","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","Leuenberger, BE","Harley, RM","1977","03","25","Brasil","Bahia","Rio de Contas",NA,"-41.75","-13.583333",NA,NA,NA,NA,"19992",NA,"700","700",NA,"SPF00038617",NA,"1979",NA,"-41.75","-13.583333",NA,NA,NA
"29","2019-11-13 11:17:22-03","USP","SPF","80918","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","Zappi, DC; Taylor, NP","Harley, RM","1988","11","18","Brasil","Minas Gerais","Itaobim",NA,"-41.5","-16.55",NA,NA,NA,NA,"25525",NA,"300","300",NA,"SPF00080918",NA,"1989",NA,"-41.5","-16.55",NA,NA,NA
"30","2019-11-13 11:17:22-03","USP","SPF","80956","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pereskia","aureiflora","Pereskia aureiflora","F.Ritter","Zappi, DC","Zappi, DC","1989","07","25","Brasil","Bahia",NA,"9.5 Km l de Guanambi na BR 30 em direção a Caitité.",NA,NA,NA,NA,NA,NA,"171",NA,NA,NA,NA,"SPF00080956",NA,NA,NA,NA,NA,NA,NA,NA
