"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","910442","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Pseudotrimezia","concava","Pseudotrimezia concava","Ravenna","N. S. Chukr","R. de Mello-Silva","CFCR10.807","1987","05","22","South America","Brazil","Minas Gerais","Grão-Mogol, Vale do Ribeirão dos Bois","960","960","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984575' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910442","NY00910442_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:19:54-03","UNICAMP","UEC","45982","S","Plantae","Liliopsida",NA,"Iridaceae","Pseudotrimezia","concava","Pseudotrimezia concava","Ravenna","Chukr, NS","Chukr, NS; Menezes, NL; Mello-Silva, R; Cavalcanti, TB; Semir, J","s.n.","1986","02","24",NA,"Brazil","Minas Gerais","Margens do córrego à saída da cidade na estrada para o rio Ventania.","900","1000",NA,"Flores se abrindo por volta do meio dia.","UEC056118","UEC056118","1995","03","31","Grão Mogol","-43.3","-16.6","-43.3","-16.6",NA,NA
"3","2020-12-11 11:44:12-03","UFMG","BHCB","59691","PreservedSpecimen","Plantae","Monocotyledon",NA,"Iridaceae","Pseudotrimezia","concava","Pseudotrimezia concava","Ravenna",NA,"Chukr, NS; et al.","s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,"67219","auto"
"4","2019-06-10 10:10:54-03","FZB-BH","BHZB","12518","S","Plantae",NA,NA,"Iridaceae","Pseudotrimezia","concava","Pseudotrimezia concava",NA,NA,"Ferreira Junior, C.A. et al.","1745","2019","02","20",NA,"Brasil","MG","Estrada para o Rio do Peixe, próximo a reserva da SAVE - Rolinha-do-planalto.","802","802",NA,"Com duplicata;, folhas cilindricas",NA,NA,NA,NA,NA,"Botumirim","-43.010799407959","-16.872200012207","42°59'31.0","16°53'48.2","39434","auto"
