"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:47-03","UNESC","CRI","13287","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","Verdi, M","2011","03","09","Verdi, M.; Dognini, J. & Rebelo, R.A.","5913","2011","02","26","Brasil","Santa Catarina","Nova Veneza","Fazenda Papagaios. Fazenda Papagaios.","-49.500833","-28.636944","49º30'3''W","28º38'13''S","122","122","Habitat: Floresta nebular e estepe ombrófila; Habito: arbusto; flor branca","CRI011761","CRI011761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:41-03","UNESC","CRI","13051","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","Sobral, M","2009","07","17","Verdi, M.; Gasper, A.L. de","2062","2009","04","27","Brasil","Santa Catarina","Urubici","Xaxim. Xaxim.","-49.591111","-28.0825","49º35'28''W","28º4'57''S","140","140","Florística IFFSC 165(Arbusto) Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração; entorno da mata Habito: arbustiva;","CRI011640","CRI011640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617069","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","gomesiana","Siphoneugena gomesiana","Mattos","O. Handro",NA,NA,NA,"O. Handro","1010","1962","03","08","Brazil","São Paulo",NA,"Campo Grande (via férrea Sao Paulo-Santos), Estaçao Biológica",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617069","NY00617069_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","405572","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand",NA,NA,NA,NA,"A. Gomes","s.n.","1964","02","24","Brazil","São Paulo",NA,"Santo André, Paranapiacaba, Estaçao Biologica","-46.3","-23.75",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405572","NY00405572_01","Magnoliophyta","Myrtales","South America","sheet","isotype",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617074","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","M. Sobral",NA,NA,NA,"M. Sobral","2680","1983","12",NA,"Brazil","Rio Grande do Sul","Cambará do Sul","Faxinal, Cambará do Sul","-50.143208","-29.047894",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617074","NY00617074_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","617081","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"A. Castellanos","24619","1964","02","27","Brazil","Santa Catarina","Faxinal dos Guedes","Fachinal dos Guedes","-52.2603","-26.8531",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617081","NY00617081_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617075","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","M. Sobral",NA,NA,NA,"G. G. Hatschbach","17331","1967","10","05","Brazil","Paraná","Campina Grande do Sul","Pico Caratuva","-48.829656","-25.241299",NA,NA,"1950","1950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617075","NY00617075_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","617070","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","G. G. Hatschbach",NA,NA,NA,"A. C. Cervi","2633","1989","03","08","Brazil","Paraná","Quatro Barras","Morro Sete","-49.0767","-25.3658",NA,NA,"1070","1070","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617070","NY00617070_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617082","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","18112","1968","05","05","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf, Blumenau","-49.132229","-27.025081",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617082","NY00617082_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","617072","PreservedSpecimen","Plantae","Myrtaceae","Siphoneugena","reitzii","Siphoneugena reitzii","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","6432","1958","02","05","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo ALegre","-49.2656","-26.1925",NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617072","NY00617072_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
