"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","locality","imagecode","decimalLongitude","decimalLatitude","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:39:19-03","E","E","104959","PreservedSpecimen","Plantae","Gentianaceae","Irlbachia","caerulescens","Irlbachia caerulescens","Gottsberger, G.","1967","02","03","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:114683","<a href=http://data.rbge.org.uk/herb/E00104959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2109366","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","H. P. Bautista","1974","08","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2289028' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109366","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","71","Pará","Estrada do Vigia, km 48, Campo do Palha","NY02109366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2109363","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","N. A. Rosa","1977","05","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2289025' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109363","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","1974","Mato Grosso","R. Juruena, Cachoeira Lavarinco; sobre pedras umidas.","NY02109363_01","-58.3804411","-11.0249185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2109353","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","J. M. Pires","1962","07","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2289015' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109353","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","52039","Amapá","Road to Amapa, Km 48.","NY02109353_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01393437","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","S. Halloy","1995","08","14","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3083877' target='other'> <mi>dwc_moreinfo</mi></a>","NY01393437","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","4426","Santa Cruz","Campo Grande Guarasur'we","NY01393437_01","-61.46383","-13.72992","L. Struwe","José Miguel de Velasco","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","970384","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","H. S. Irwin","1966","05","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970384","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","16284","Mato Grosso","Rio Turvo, ca. 210 km. N. of Xavantina. Serra do Roncador.","NY00970384_01","-51.83","-12.82","B. Maguire",NA,"500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","970402","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","J. H. Kirkbride Jr.","1983","04","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970402","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","5256","Distrito Federal","Campos de Murundus sobre os murundus.","NY00970402_01","-48.07","-15.62","L. Struwe","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","970379","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","H. S. Irwin","1966","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970379","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","12165","Distrito Federal","Chapada da Contagem, ca. 25 km N. E. of Brasília","NY00970379_01","-47.75172","-15.62355","B. Maguire","Brasília","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","970396","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","E. P. Heringer","1967","03","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970396","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","11353","Distrito Federal","Aeroporto de Brasília.","NY00970396_01","-47.9294","-15.7797","B. Maguire","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","970375","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","H. S. Irwin","1965","12","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970375","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","11377","Distrito Federal","Chapada da Contegem, ca. 10 km E. of Brasília","NY00970375_01","-47.82337","-15.7833","B. Maguire","Brasília","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2109360","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","J. M. Pires","1962","08","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2289022' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109360","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","52342","Amapá","Coastal Region. Vic. Igarape Ariramba.","NY02109360_01","-51.05","1.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","970378","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","H. S. Irwin","1966","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970378","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","12400","Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","NY00970378_01","-47.65562","-14.1167","L. Struwe","Alto Paraíso de Goiás","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2109362","PreservedSpecimen","Plantae","Gentianaceae","Tetrapollinia","caerulescens","Tetrapollinia caerulescens","M. J. P. Pires-O'Brien","1987","06","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2289024' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109362","Magnoliophyta","Gentianales","(Aubl.) Maguire & B.M.Boom","1665A","Pará","Mt. Dourado, Estaçao Ecológica do Jari - SEMA.","NY02109362_01","-52.85","-0.53",NA,"Almeirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
