"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:25:25-03","UNESC","CRI","9583","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez","A. Stival-Santos","2010","10","04","A. Stival-Santos; E. Legal & S. Silveira","3100","2010","06","23","Brasil","Santa Catarina","Águas Mornas","Rio Cubatão.","-48.960833","-27.809722","48º57'39''W","27º48'35''S","620","620","Floresta Ombrófila Densa Habitat: entorno do fragmento, beira de estrada Habito: arvoreta","CRI003768","CRI003768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:25-03","UNESC","CRI","9582","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez","A. Quinet","2010","09","15","A. Stival-Santos; E. Legal & S. Silveira","2634","2010","04","08","Brasil","Santa Catarina","Angelina","Rio Fortuna.","-49.05","-27.450556","49º3'0''W","27º27'2''S","841","841","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003770","CRI003770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:25-03","UNESC","CRI","9471","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez",NA,NA,NA,NA,"A. Korte; A. Kniess","3398","2010","05","21","Brasil","Santa Catarina","Indaial","Parque Nacional da Serra do Itajaí.","-49.230833","-27.09","49º13'51''W","27º5'24''S","601","601","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003767","CRI003767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:18-03","E","E","270696","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii",NA,NA,NA,NA,NA,"Hatschbach, Gert Gunther","61471","1994","12","08","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00270696 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00270696",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:282660",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1104830","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil",NA,NA,NA,NA,"Pessoal do Horto Florestal","RB94975","1928","02","02","Brazil","Rio de Janeiro",NA,"Rumo ao Horto Florestal.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1295140' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104830","NY01104830_01","South America","sheet",NA,"Magnoliophyta","Laurales","isotype",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","537963","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","H. H. van der Werff",NA,NA,NA,"G. G. Hatschbach","61471","1994","12","08","Brazil","Paraná","Cerro Azul","Mato Preto, estrada para Ribeirao do Rocha","-49.2608","-24.8236",NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537963","NY00537963_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","537966","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","B. Coe-Teixeira",NA,NA,NA,"O. Handro","s.n.",NA,NA,NA,"Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537966","NY00537966_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","537974","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","I. de Vattimo",NA,NA,NA,"R. M. Klein","1334","1955","04","22","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117562' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537974","NY00537974_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","537962","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","C. Grey-Wilson",NA,NA,NA,"R. M. Harley","15751",NA,NA,NA,"Brazil","Bahia",NA,"Serra do Sincorá",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537962","NY00537962_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","537968","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil",NA,NA,NA,NA,"O. Handro","s.n.",NA,NA,NA,"Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537968","NY00537968_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","537976","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","I. de Vattimo",NA,NA,NA,"R. Reitz","8307","1959","01","26","Brazil","Santa Catarina","Rio do Sul","Alto Matador, Rio do Sul","-49.563988","-27.247405",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537976","NY00537976_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","537969","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","B. Coe-Teixeira",NA,NA,NA,"A. Gomes","s/n¦","1959","09",NA,"Brazil","São Paulo","Sao Paulo","Paranapiacaba (linha Sao Paulo-Santos), Estaçao Biológica","-46.3","-23.75",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537969","NY00537969_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","537970","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","I. de Vattimo",NA,NA,NA,"R. Reitz","2620","1956","02","04","Brazil","Santa Catarina","Ibirama","Horto Florestal I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537970","NY00537970_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","537973","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","I. de Vattimo",NA,NA,NA,"R. Reitz","2620","1956","02","04","Brazil","Santa Catarina","Ibirama","Horto Florestal I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537973","NY00537973_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","537975","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","I. de Vattimo",NA,NA,NA,"R. Reitz","6146","1958","12","31","Brazil","Santa Catarina","Rio do Sul","Rio do Sul","-49.6431","-27.2144",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537975","NY00537975_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","537964","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","H. H. van der Werff",NA,NA,NA,"G. G. Hatschbach","58456","1992","12","16","Brazil","Paraná","Cerro Azul","Cabeceira do Ribeirao do Tigre","-49.2608","-24.8236",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537964","NY00537964_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","537965","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","R. Reitz",NA,NA,NA,"R. Reitz","5953","1957","12","30","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"750","750","Vouchers for wood samples deposited at Syracuse Universities <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117551' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537965","NY00537965_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","355617","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil",NA,NA,NA,NA,"Pessoal do Horto Florestal","1587","1928","02","02","Brazil","Rio de Janeiro",NA,"Estado da Guanabara. Gávea, perto do Horto Florestal.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355617","NY00355617_01","South America","sheet",NA,"Magnoliophyta","Laurales","isotype",NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","537972","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","I. de Vattimo",NA,NA,NA,"R. M. Klein","1158","1955","02","10","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081",NA,NA,"150","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537972","NY00537972_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","537977","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","I. de Vattimo",NA,NA,NA,"J. G. Kuhlmann","1587","1928","10","16","Brazil","Rio de Janeiro","Rio de Janeiro","Mata da Pedra do Cônego, (Tijuca)","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537977","NY00537977_01","South America","sheet",NA,"Magnoliophyta","Laurales","paratype",NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","537971","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","I. de Vattimo",NA,NA,NA,"R. M. Klein","8","1950","01","27","Brazil","Santa Catarina","Brusque","Mata do Hoffmann, Brusque","-48.9","-27.1",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537971","NY00537971_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","537978","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","J. B. Baitello",NA,NA,NA,"R. M. Klein","s.n.","1950","01","27","Brazil","Santa Catarina","Brusque","Mata do Hoffmann - Brusque","-48.9","-27.1",NA,NA,NA,NA,"Colec. Eq. Ecologia <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537978","NY00537978_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","537967","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil",NA,NA,NA,NA,"O. Handro","s.n.",NA,NA,NA,"Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=117565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537967","NY00537967_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1039671","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez","M. L. Brotto",NA,NA,NA,"M. L. Brotto","411","2010","01","19","Brazil","Paraná","Quatro Barras","Parque Estadual Serra da Baitaca.","-49.0103","-25.3889",NA,NA,"1105",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488752' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039671","NY01039671_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:31:02-03","UFRJ","RFA","6613","PreservedSpecimen","Plantae","Lauraceae","Ocotea","kuhlmannii","Ocotea kuhlmannii","Vattimo-Gil","I. de Vattimo","1957",NA,NA,"R. Klein","1334","1955","04","22","Brasil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6618995666504","-26.9078006744385",NA,NA,"200","200","Árvore 20 m de altura; flor amarelada","RFA43243",NA,NA,NA,NA,NA,NA,NA,"27253","auto",NA,NA,NA,NA
"26","2020-11-24 17:10:47-03","UTFPR","DVPR","3160","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez","Brotto, ML","2014","11","13","Brotto, ML; Prado, S","1818","2014","11","04","Brasil","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.4241","-24.5115","-48.4241","-24.5115","886","886","Árvore 23 m, frutos imaturos verdes.; Floresta Ombrófila Densa Montana","DVPR003160",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-01-20 14:40:31-03","UPM","MACK","411","PreservedSpecimen","Plantae","Lauraceae","Ocotea","nectandrifolia","Ocotea nectandrifolia","Mez",NA,NA,NA,NA,"Gui","339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
