"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","822490","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vedovello","A. L. V. Toscano de Brito","R. M. Harley","133","1992","04","13","South America","Brazil","Bahia","Abaíra","Distrito de Catolés: Estrada - Abaíra - Mucugê, encosta subida para campo rupestre, à 37 km de Abaíra.","-41.57","-13.1","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822490","NY00822490_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687057","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vedovello","A. L. V. Toscano de Brito","R. M. Harley","51934","1992","03","13","South America","Brazil","Bahia","Abaíra","Morro do Zabumba, Engenho de Baixo","-41.8","-13.3","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687057","NY00687057_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-07-05 11:14:16-03","FFCLRP","LBMBP","1022","S","Plantae",NA,NA,"Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vedov.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-07-05 11:14:16-03","FFCLRP","LBMBP","1041","S","Plantae",NA,NA,"Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vedov.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-07-05 11:14:16-03","FFCLRP","LBMBP","369","S","Plantae",NA,NA,"Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vedov.","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,NA,NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-15 09:04:37-03","UESC","UESC","10601","S","Plantae","Angiospermae","Florideophycidae","Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vendovello",NA,"João Eduardo dos Santos",NA,"2005","10","14",NA,"Brasil","Bahia","Itapebi",NA,"-39.5339012145996","-15.9507999420166",NA,NA,NA,NA,"UESC0010601",NA,"Monocotyledoneae","43726","auto",NA,NA,NA,NA,NA
"7","2019-10-07 09:19:53-03","UEFS","HUEFS","63117","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vedovello",NA,"Jurandir",NA,"2002","04","10",NA,"Brasil","Bahia","Palmeiras",NA,"-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,"HUEFS0063117","HUEFS0063117","Lilianae","20767","auto",NA,NA,NA,NA,NA
"8","2019-10-07 09:19:53-03","UEFS","HUEFS","69546","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vedovello",NA,"Brito, A.T.",NA,"2002","03",NA,NA,"Brasil","Bahia","Rio de Contas","Marion, mata ciliar seca.","-41.8114013671875","-13.5789003372192","800","800",NA,NA,"HUEFS0069546","HUEFS0069546","Lilianae","49773","auto",NA,NA,NA,NA,NA
"9","2019-10-07 09:19:53-03","UEFS","HUEFS","10576","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vedovello","A.T.de Brito","Ganev, W.","133","1992","04","13",NA,"Brasil","Bahia","Abaíra",NA,"-41.566667","-13.1","1100","1100",NA,NA,"HUEFS0010576","HUEFS0010576","Lilianae",NA,NA,"1996","03","41W34'","13S6'",NA
"10","2019-10-07 09:19:53-03","UEFS","HUEFS","133556","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vedovello",NA,"Bastos, C.A.","133","2007","03","05",NA,"Brasil","Bahia","Morro do Chapéu","Estrada de chão para o Buraco do Possidônio.","-41.225278","-11.613056","1002","1002",NA,"Mata.","HUEFS0133556",NA,"Lilianae",NA,NA,NA,NA,"41W13'31''","11S36'47''",NA
"11","2019-10-07 09:19:53-03","UEFS","HUEFS","92155","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & Vedovello",NA,"Harley, R.M.","55067","2004","03","08",NA,"Brasil","Bahia","Rio de Contas","ca. 6 Km de Rio de Contas na estrada para Jussiape e 1,3 Km ao longo do entroncamento na estrada para Marion. Área do projeto Petrobrás.","-41.764167","-13.621944","925","925",NA,"Mata seca densa, chamada carrasco.","HUEFS0092155","HUEFS0092155","Lilianae",NA,NA,NA,NA,"41W45'51''","13S37'19''",NA
"12","2019-11-21 10:12:59-03","IBt","SP","274802","S","Plantae",NA,NA,"Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & P.L.Vedovello","Campacci, MA","Martinho, A","s.n.","1982","03","06",NA,"Brasil","Pernambuco",NA,NA,NA,NA,NA,NA,NA,"Epífita, flores acastanhadas com labelo rosado estriado de p·rpura nos lobos laterais","SP000106","SP000106",NA,NA,NA,"1983",NA,NA,NA,"Holotype"
"13","2019-11-21 10:12:59-03","IBt","SP","334520","S","Plantae",NA,NA,"Orchidaceae","Cattleya","tenuis","Cattleya tenuis","Campacci & P.L.Vedovello","Campacci, MA; Vedovello, PL","Martinho, A","s.n.","1982","02",NA,NA,"Brasil","Bahia","Morro do Chapéu","Arredores do Morro do Chapéu","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,"SP003939","SP003939",NA,"98143","auto",NA,NA,NA,NA,"Holotype"
