"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032128","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Malaxis","cogniauxiana","Malaxis cogniauxiana","(Schltr.) Pabst","G. F. J. Pabst","G. G. Hatschbach","23396","1970","01","23","South America","Brazil","Paraná","Campina Grande do Sul","Serra Ibitiraquira","-49.0553","-25.3058","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190580' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032128","NY01032128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:31:48-03","UFRJ","RFA","19829","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","cogniauxiana","Malaxis cogniauxiana","(Schltr.) Pabst","G. Pabst e J. L. Moutinho","P. Occhioni","8710","1979","01","17",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Estrada para agulhas negras km 10 Campo sobre humus","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Terrestre, flor verde","RFA31720",NA,"1979","06","03","19648","auto",NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:46:26-03","NBC","NL-BOTANY","L.1518206","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Malaxis","cogniauxiana","Malaxis cogniauxiana","(Schltr.) Pabst",NA,"Hatschbach GG",NA,"1970","01","23","Southern America","Brazil",NA,NA,"Serra Ibitiraquire, Abrigo 1 (Campina Grande Sul) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1518206 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1518206","NL-L1518206",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"4","2020-12-21 16:38:35-03","MBM","MBM","14498","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","cogniauxiana","Malaxis cogniauxiana","(Schltr.) Pabst","Pabst, G.","Hatschbach, G.","23396","1970","01","23","Southern America","Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, Abrigo 1","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM014498","MBM014498",NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:44:45-03","UFMG","BHCB","180103","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Malaxis","cogniauxiana","Malaxis cogniauxiana","(Schltr.) Pabst",NA,"Batista, JAN; Vale, AA; Freitas, FS","3244","2013","03","04","Southern America","Brasil","Rio de Janeiro","Itatiaia","Subida para o Planalto","-44.728028","-22.361944","2376","2376",NA,"Coordenadas aproximadas inferidas a partir do Google Earth.; Erva terrestre.Pouco comum. Flor verde-castanha; base do labelo alaranjado.; Sob vegetação arbustiva a beira da estrada em área de floresta ombrófila.",NA,NA,"2013","03","04",NA,NA,NA,"-44.728028","-22.361944",NA,NA,NA
"6","2020-12-11 11:44:45-03","UFMG","BHCB","114247","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Malaxis","cogniauxiana","Malaxis cogniauxiana","(Schltr.) Pabst",NA,"Mota, NFO; Viana, PL; Andrade, LE","979","2007","11","07","Southern America","Brasil","Minas Gerais","Itamonte","Parque Estadual do Papagaio, bairro rural Colina, interior de mata nebular alterada, no alto da da Boa Vista","-44.761944","-22.291111","1869","1869",NA,"Epífita em tronco caído. Frutos dispersando.",NA,NA,NA,NA,NA,NA,NA,NA,"-44.761944","-22.291111",NA,NA,NA
"7","2020-12-11 11:44:45-03","UFMG","BHCB","92260","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Malaxis","cogniauxiana","Malaxis cogniauxiana","(Schltr.) Pabst",NA,"Mota, RC da","2381","2005","01","05","Southern America","Brasil","Minas Gerais","Catas Altas","Serra do Caraça","-43.4075012207031","-20.0746994018555",NA,NA,NA,"Terrestre; pétalas e sépalas vede-amareladas, labelo verde-amarelado com base alaranjada.; Mata nebular","BHCB001425","BHCB001425","2005","10","13","11966","auto",NA,NA,NA,NA,NA,NA
"8","2019-06-18 14:22:00-03","MO","MOBOT","101136793","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","cogniauxiana","Malaxis cogniauxiana","(Schltr.) Pabst","Isler F. Chinchilla (JBL USJ)","Gert G. Hatschbach","Hatschbach 23396","1970","1","23","South America","Brazil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Abrigo 1","-49.0553016662598","-25.3055992126465","1700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,"1",NA,NA
"9","2020-06-15 15:31:06-03","UNESP-RC","HRCB","65104","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","cogniauxiana","Malaxis cogniauxiana","(Schltr.) Pabst","M.C. Vergne","Grupo Azul",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Estrada para a parte Alta do PARNA do Itatiaia (1800-2200m)","-44.749205","-22.36884","1833","1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44°44'57.138W","22°22'7.8234S",NA,NA,NA
"10","2020-09-02 16:35:18-03","Cenargen","CEN","102942","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","cogniauxiana","Malaxis cogniauxiana","(Schltr.) Pabst","J. A. N. Batista","João Aguiar Nogueira Batista","3244","2013","03","04",NA,"Brasil","RJ","ITATIAIA","Subida para o Planalto.","-44.5633010864258","-22.4960994720459","2376","2376","Exsicatas","Sob vegetação arbustiva a beira da estrada em área de floresta ombrófila. Base do labelo alaranjado. Coordenadas aproximadas inferidas a partir do Google Earth. Doação do Herbário BHCB Nº 180103.","CEN00102942","CEN00102942","2013","03",NA,"19648","auto",NA,NA,NA,"1",NA,NA
