"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","individualCount","yearIdentified","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","676463","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","insignis","Coussarea insignis","Ducke","C. M. Taylor","D. C. Daly","10548","2000","12","09","South America","Brazil","Acre","Marechal Thaumaturgo","Basin of Rio Juruá, Rio Arara, left bank, inland from Pifaiao","-72.7528","-8.9736","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00676463","NY00676463_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","702874","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","insignis","Coussarea insignis","Ducke","C. M. Taylor","M. Silveira","1420","1996","11","15","South America","Brazil","Acre","Manoel Urbano","Rio Purus, colocaçao Lago Novo, próximo ao roçado.","-69.2594","-8.8392","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00702874","NY00702874_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","813313","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","insignis","Coussarea insignis","Ducke",NA,"P. G. Delprete","8229","2001","12","01","South America","Brazil","Acre","Senador Guiomard","Fazenda Experimental Catuaba, 27 km from Rio Branco on road BR-364 to Porto Velho","-67.57","-10.07","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00813313","NY00813313_01","250","250",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","802115","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","insignis","Coussarea insignis","Ducke",NA,"P. G. Delprete","8234","2001","12","01","South America","Brazil","Acre","Senador Guiomard","Fazenda Experimental Catuaba, 27 km from Rio Branco on road BR-364 to Porto Velho","-67.57","-10.07","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199736' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802115","NY00802115_01","250","250",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1061028","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coussarea","insignis","Coussarea insignis","Ducke","C. M. Taylor","W. C. Steward","P17679","1973","11",NA,"South America","Brazil","Amazonas",NA,"CEPLAC cocoa research station, Manaus-Itacoatiara road, Km 31. Forest on terra firme, being cleared for plantation.","-59.9158287","-2.7556471","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01061028","NY01061028_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:23:18-03","NBC","NL-BOTANY","U.1559715","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Coussarea","insignis","Coussarea insignis","Ducke","Delprete PG","Delprete PG; Oliveira M",NA,"2001","12","01","Southern America","Brazil","Acre",NA,NA,"-67.566667","-10.066667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1559715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1559715","NL-U1559715",NA,NA,"Magnoliopsidae","-67.566667","-10.066667","U 0107428",NA,NA,NA
"7","2019-02-21 19:38:01-03","UNEMAT","HERBAM","2330","S","Plantae",NA,NA,"Rubiaceae","Coussarea","insignis","Coussarea insignis","Ducke","Zappi, DC","Zappi, D.C.; Milliken, W.; Biggs, N.; Henicka, G.S.; Silveira, E.A.; Philippsen, M. & Piva, J","1199","2008","02","11",NA,"Brasil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino, Floresta ombrófila alta aberta, subosque.","-55.519167","-9.508333",NA,NA,"HERBAM002330",NA,"291","291",NA,"-55.519167","-9.508333",NA,NA,NA,NA
"8","2011-12-19 17:06:00-02","MO","MOBOT","100437007","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coussarea","insignis","Coussarea insignis","Ducke","C.M. Taylor","William C. Steward|José F. Ramos","Steward P17679","1973","11",NA,"South America","Brazil","Amazonas",NA,"CEPLAC, Cocoa reserach station, Manaus-Itacoatiara road, Km 31. Forest on terra firme, being cleared for plantation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"9","2018-04-16 16:00:00-03","MO","MOBOT","100953630","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coussarea","insignis","Coussarea insignis","Ducke","C.M. Taylor","Nigel Pitman|R. García-Villacorta|Hugo Mogollon|Percy Núñez V.","Pitman 7301","2002","11","25","South America","Peru","Loreto",NA,"0.5 km west of the Napo River, near the community of Vencedores del Río Napo.","-75.0213889","-1.1372222",NA,NA,NA,NA,"190.00000000","205.00000000",NA,NA,NA,NA,"1",NA,NA
"10","2015-12-12 19:48:00-02","MO","MOBOT","3102144","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coussarea","insignis","Coussarea insignis","Ducke","C. M. Taylor (MO)","M. Silveira|L.A. Lima|P.A. Ferraz|J. Ribamar do Nascimento de Lima|E. Consuelo O.","Silveira 1420","1996","11","15","South America","Brazil","Acre",NA,"Manoel Urbano; Rio Purus, colocacao; Lago Novo, proximo ao rocado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
