"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","occurrenceRemarks","basisOfRecord","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","continentOcean","sex","preparationType"
"1","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","43029","Plantae","Orchidaceae","Anathallis","gehrtii","Anathallis gehrtii","(Hoehne & Schltr.) F.Barros","G. Chiron","Chiron","11279","2011","08","23","Brasil","Espírito Santo","Alfredo Chaves","Córrego da Fortuna","-40.749698638916","-20.6350002288818","32447","1000","1000","MBML043029","MBML043029","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","47169","Plantae","Orchidaceae","Anathallis","gehrtii","Anathallis gehrtii","(Hoehne & Schltr.) F. Barros",NA,"Chiron","11279","2011","08","23","Brasil","Espírito Santo","Alfredo Chaves","Córrego da Fortuna","-40.749698638916","-20.6350002288818","32447",NA,NA,"MBML047169","MBML047169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","13059","Plantae","Orchidaceae","Anathallis","gehrtii","Anathallis gehrtii","(Hoehne & Schltr.) F.Barros","G.B. Bortolan/Jan.-2020","L. Kollmann","2996","2000","06","16","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"MBML013059","MBML013059",NA,"40W31'49","19S58'17","Mata de encosta. Epífita no galho caído. Frutos verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","15824","Plantae","Orchidaceae","Anathallis","gehrtii","Anathallis gehrtii","(Hoehne & Schltr.) F.Barros","H.L. Silva/16-01-2020","L. Kollmann; et al","5080","2001","11","28","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"MBML015824","MBML015824",NA,"40W33'11","19S54'27","Sépalas e pétalas amarelas. Labelo vináceo e amarelo.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","17647","Plantae","Orchidaceae","Anathallis","gehrtii","Anathallis gehrtii","(Hoehne & Schltr.) F.Barros","H.L. Silva/16-01-2020","R.R. Vervloet; et al","500","2002","07","17","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"MBML017647","MBML017647",NA,"40W33'11","19S54'27","Epífita em galho caído, fundo de vale, dossel aproximado 18m, pétalas e sépalas vinho com base esverdeada, coluna branca, labelo vinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","24392","Plantae","Orchidaceae","Anathallis","gehrtii","Anathallis gehrtii","(Hoehne & Schltr.) F.Barros","H.L. Silva/16-01-2020","A. P. Fontana; et al","1114","2005","02","11","Brasil","Espírito Santo","Santa Teresa","Lombardia","-40.553056","-19.820556",NA,NA,NA,"MBML024392","MBML024392",NA,"40W33'11","19S49'14","Epífita, flores com sépalas verdes amareladas, pétalas verdes com ápice avermelhado, labelo vermelho com centro amarelo. Pét. E sép e labelo piloso.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-25 13:53:02-03","UNIVILLE","JOI","15105","Plantae","Orchidaceae","Anathallis","gehrtii","Anathallis gehrtii","(Hoehne & Schltr.) F.Barros","Mancinelli, W. S.","Mancinelli, W.S.","1467","2014","08","10","Brasil","Santa Catarina","Joinville","Morro da Tromba.","-48.8456001281738","-26.3043994903564","37150","800","800","JOI015105",NA,"auto",NA,NA,"; HABITO: Epífita; TIPO VEGETACIONAL: Floresta montana","PreservedSpecimen","2014","08","14",NA,NA,NA,NA,NA
"8","2021-03-25 13:53:02-03","UNIVILLE","JOI","14869","Plantae","Orchidaceae","Anathallis","gehrtii","Anathallis gehrtii","(Hoehne & Schltr.) F.Barros","Mancinelli, W. S.","Mancinelli, W.S.","812","2007","12","10","Brasil","Santa Catarina","Joinville","Morro da Tromba.","-48.8456001281738","-26.3043994903564","37150","840","840","JOI014869",NA,"auto",NA,NA,"; HABITO: Epífita","PreservedSpecimen","2014","06","27",NA,NA,NA,NA,NA
"9","2021-03-25 13:53:02-03","UNIVILLE","JOI","15033","Plantae","Orchidaceae","Anathallis","gehrtii","Anathallis gehrtii","(Hoehne & Schltr.) F.Barros","Mancinelli, W. S.","Mancinelli, W.S.","1455","2013","09","13","Brasil","Santa Catarina","Joinville","Morro da Tromba.","-48.8456001281738","-26.3043994903564","37150","900","900","JOI015033",NA,"auto",NA,NA,"; HABITO: Epífita; TIPO VEGETACIONAL: Floresta Ombrófila Densa Montana","PreservedSpecimen","2013","09","13",NA,NA,NA,NA,NA
"10","2019-11-21 10:13:41-03","IBt","SP","359191","Plantae","Orchidaceae","Pleurothallis","gehrtii","Pleurothallis gehrtii","Hoehne & Schltr.","Barros, F","Silva, EF","s.n.","1980",NA,NA,"Brasil","Bahia",NA,"Sul do Estado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","1980",NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 10:13:41-03","IBt","SP","5539","Plantae","Orchidaceae","Pleurothallis","gehrtii","Pleurothallis gehrtii","Hoehne & Schltr.","Hoehne, FC","Gehrt, A","s.n.","1921","05","06","Brasil","São Paulo","Santo André","Alto da Serra, Estação Biológica","-46.5299987792969","-23.6599998474121","27258",NA,NA,"SP002340","SP002340","auto",NA,NA,"Planta entre musgos. Flor cor de vinho","S","1926",NA,NA,"Isotype",NA,NA,NA,NA
"12","2019-11-21 10:13:43-03","IBt","SP","42297","Plantae","Orchidaceae","Pleurothallis","illudens","Pleurothallis illudens","Spann.","Hoehne, FC","Spannagel, C","486","1938","06",NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","36524",NA,NA,"SP002349","SP002349","auto",NA,NA,NA,"S","1940",NA,NA,"Holotype",NA,NA,NA,NA
"13","2011-03-15 12:13:47-03","AMES","HU-HERB","AMES 00074287","Plantae","Orchidaceae","Pleurothallis","gehrtii","Pleurothallis gehrtii","Hoehne & Schlechter",NA,"A. Gehrt","5539","1921","5","6","Brazil","São Paulo",NA,"Alto da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Isotype","5539","South America","undetermined","Microscope slide,Sheet"
"14","2011-03-15 12:13:47-03","AMES","HU-HERB","AMES 00083338","Plantae","Orchidaceae","Pleurothallis","gehrtii","Pleurothallis gehrtii","Hoehne & Schlechter",NA,"A. Gehrt","5539","1921","5","6","Brazil","São Paulo",NA,"Alto da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Type material","5539","South America",NA,"Microscope slide,Sheet"
"15","2011-03-15 12:19:57-03","GH","HU-HERB","GH 00074288","Plantae","Orchidaceae","Pleurothallis","gehrtii","Pleurothallis gehrtii","Hoehne & Schlechter",NA,"A. Gehrt","5539","1921","5","6","Brazil","São Paulo",NA,"Alto da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Isotype","5539","South America","undetermined","Sheet"
