"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01405618","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","malacophylla","Passiflora malacophylla","Mast.","T. S. Nunes","E. P. Heringer","10205","1965","01","20","South America","Brazil","Margem da Rodovia Rio-Bahia; Divisa Bahia - M. Gerais.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989984' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405618","NY01405618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","483980","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","malacophylla","Passiflora malacophylla","Mast.","E. P. Killip","J. S. Blanchet","438",NA,NA,NA,"South America","Brazil","In Brasilia intratropica circa Bahia.","sheet","1837 [not sure if this is a collection date or an accession date] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483980","NY00483980_01","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:18:48-03","UFV","VIC","26323","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","malacophylla","Passiflora malacophylla","Mast.","Nunes, T.S.","Cervi, A.C.","18743","1990","03","25",NA,"Brasil",NA,NA,"Em restinga de flores brancas, fruto suborbicular.","VIC026323","VIC026323","Rio de Janeiro","2020","05","12","Rio das Ostras","-41.9449996948242","-22.5268993377686","17620","auto",NA,NA,NA,NA,NA,NA
"4","2020-07-02 18:55:48-03","UFJF","CESJ","18743","PreservedSpecimen","Plantae","Angiosperma",NA,"Passifloraceae","Passiflora","malacophylla","Passiflora malacophylla","Mast.","L.C.Bernacci","L. Krieger; L.T. Souza","CESJ18743","1981","10","10","América do Sul","Brasil","NULL",NA,"Na restinga, flores brancas, fruto sub-orbicular.","CESJ018743",NA,"Rio de Janeiro","2008","02","26","Rio das Ostras","-41.9449996948242","-22.5268993377686","17620","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:39:17-03","MBM","MBM","386321","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","malacophylla","Passiflora malacophylla","Mast.","Cervi, A.C.","Cervi, A.C.; Imig, D.; Pinheiro, F.C.; Imig, D.; Pinheiro, F.C.","9942","2011","12","14","Southern America","Brazil","EMBRAPA Cerrado",NA,"Cultivada para experimentos. Flores com sépalas verdes e pétalas alvas, corona alva. Ovário piloso.","MBM386321","MBM386321","Distrito Federal","2011","12","14","Planaltina","-47.712089","-15.604019",NA,NA,"-47.712089","-15.604019","1005","1005",NA,NA
"6","2020-12-21 16:39:17-03","MBM","MBM","386327","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","malacophylla","Passiflora malacophylla","Mast.","Cervi, A.C.","Cervi, A.C.; Imig, D.; Pinheiro, F.C.; Imig, D.; Pinheiro, F.C.","9944","2011","12","14","Southern America","Brazil","EMBRAPA Cerrado",NA,"Trepadeira. Flores com sépalas verdes e pétalas alvas. Corona totalmente alva. Ovário piloso.","MBM386327","MBM386327","Distrito Federal","2011","12","14","Planaltina","-47.712089","-15.604019",NA,NA,"-47.712089","-15.604019","1005","1005",NA,NA
"7","2015-09-05 07:13:32-03","MNHN","RECOLNAT_MNHN_P","P04881460","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","malacophylla","Passiflora malacophylla","Mast.",NA,"Salzmann",NA,NA,NA,NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04881460' target='other'> <mi>dwc_moreinfo</mi></a>","P04881460","P04881460_01","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-05 07:13:32-03","MNHN","RECOLNAT_MNHN_P","P04881461","PreservedSpecimen",NA,NA,NA,"Passifloraceae","Passiflora","malacophylla","Passiflora malacophylla","Mast.",NA,"Gaudichaud",NA,NA,NA,NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04881461' target='other'> <mi>dwc_moreinfo</mi></a>","P04881461","P04881461_01","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:39:59-03","UFMG","BHCB","78018","PreservedSpecimen","Plantae","Dicotyledon",NA,"Passifloraceae","Passiflora","malacophylla","Passiflora malacophylla","Mast.",NA,"Lombardi, JA; Salino, A; Mota, RC da; Carvalho, FA","5037","2003","02","19","Southern America","Brasil","Fazenda Santana",NA,"Liana, folhas papiráceas, frutos imaturos verde-amarelados.; Mata secundária e borda.","BHCB008634",NA,"Minas Gerais","2003","06","02","Salto da Divisa","-40.030572","-16.058078",NA,NA,"-40.030572","-16.058078","183","212",NA,NA
"10","2020-12-11 11:39:59-03","UFMG","BHCB","86393","PreservedSpecimen","Plantae","Dicotyledon",NA,"Passifloraceae","Passiflora","malacophylla","Passiflora malacophylla","Mast.",NA,"Lombardi, JA; Salino, A; Mota, RC da; Almeida, TE; Viana, PL","5669","2004","02","29","Southern America","Brasil","Fazenda Limoeiro",NA,"Liana, folhas cartáceas, sépalas externamente esverdeadas, flores brancas esceto base da corona lilás.; Alto de morro (área aberta), e encosta e fundo de vale (mata).","BHCB008395",NA,"Minas Gerais","2005","02","02","Almenara","-40.833056","-16.070006",NA,NA,"-40.833056","-16.070006","720","836",NA,NA
