"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00955417","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","H. S. Irwin","12623","1966","02","11","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955417","NY00955417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00955422","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","E. P. Heringer","3179","1980","01","23","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955422","NY00955422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00955403","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","H. S. Irwin","13561","1966","03","05","South America","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 10 km W. of Cristalina","-47.69379","-16.75","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955403","NY00955403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","617235","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","R. Reitz","9308","1959","10","31","South America","Brazil","Santa Catarina","Sombrio","Pirao Frio, Sombrio","-49.6167","-29.1142","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617235","NY00617235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617233","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","J. C. Lindeman","1318","1966","05","12","South America","Brazil","Paraná",NA,"Near Rio Tigre Preto, ca. 25 km S of Marmeleiro, border of Santa Catarina",NA,NA,"800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617233","NY00617233_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03227441","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi",NA,"H. M. Curran","702","1914","07","12","South America","Argentina","Misiones",NA,"Vicinity of Puerto Leon",NA,NA,"75","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3536480' target='other'> <mi>dwc_moreinfo</mi></a>","NY03227441","NY03227441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00955416","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","H. S. Irwin","12623","1966","02","11","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955416","NY00955416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1018728","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","P. Fiaschi","664","2001","03","07","South America","Brazil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas. Trilha para a Torre de transmissão, acesso para o lagedo das bromélias.","-40.5175","-20.2897","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262141' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018728","NY01018728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617236","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","R. Reitz","C1444","1946","02","09","South America","Brazil","Santa Catarina","Sombrio","Caixeta, Mandioqueiro","-49.6167","-29.1142","20","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617236","NY00617236_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00955291","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","P. Fiaschi","J. R. Pirani","11027","1988","01","11","South America","Brazil","Minas Gerais","Santana do Riacho","Rodovia Belo Horizonte-Conceição do Mato Dentro, entre Km 110 e 111. Próximo ao Córrego 2 Pontinhas.","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955291","NY00955291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
