"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount"
"1","2021-04-05 14:25:33-03","UNESC","CRI","10288","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","dubia","Tibouchina dubia","Cogn.","M. Sobral","2009","07","21","Robson dos Santos; Isabel Alves dos Santos, Alecssandro S. Klein","2009","07","21","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.214722","-28.185","49º12'53''W","28º11'6''S","860","860","CRI004472","CRI004472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:33-03","UNESC","CRI","13571","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","dubia","Tibouchina dubia","Cogn.","Renato Colares & Aline Votri Guislon","2018","08","03","Lucas Oliveira; Guilherme Elias, Peterson Padilha & Robson dos Santos","2016","12","15","Brasil","Santa Catarina","Treviso","Dois Dedos.","-49.525","-28.511111","49º31'30''W","28º30'40''S","743","743","CRI012178","CRI012178","Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:33-03","UNESC","CRI","6156","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","dubia","Tibouchina dubia","Cogn.","Daniel de Barcellos Falkenberg","1997","09","12","V. Citadini-Zanette","1996","11","30","Brasil","Santa Catarina","Lauro Muller","Serra do Rio do Rastro.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"CRI004474","CRI004474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:33-03","UNESC","CRI","9657","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","dubia","Tibouchina dubia","Cogn.","A. A. de Oliveira","2010","10","13","A. Korte; A. Kniess","2010","02","05","Brasil","Santa Catarina","Santa Terezinha","Nova esperança.","-49.950556","-26.730278","49º57'2''W","26º43'49''S","535","535","CRI004473","CRI004473","Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","1712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:33-03","UNESC","CRI","9104","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","dubia","Tibouchina dubia","Cogn.","J. R. Stehmamn","2011","03","20","A.L. de Gasper; M. L. Bueno, L. Kamino, B.S.S. Leal e V.L.Rezende","2011","03","20","Brasil","Minas Gerais","Delfim Moreira","Estrada entre a Fazenda Boa Esperança e a Fazenda da Onça.","-45.280278","-22.509722","45º16'49''W","22º30'35''S","1550","1550","CRI004475","CRI004475","Floresta Atlântica Habitat: beira da Estrada Habito: subarbustiva","2762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:33-03","E","E","83567","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","dubia","Tibouchina dubia",NA,NA,NA,NA,NA,"Poliquesi, C.B. & Cordeiro, J.","1994","11","09","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00083567",NA,"<a href=http://data.rbge.org.uk/herb/E00083567 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","225","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92494",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","778152","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","dubia","Tibouchina dubia","(Cham.) Cogn.","J. J. Wurdack",NA,NA,NA,"R. Reitz","1962","12","24","Brazil","Santa Catarina","Lajes","Morro do Caveira, Lajes","-50.3258","-27.8161",NA,NA,"900","900","NY00778152","NY00778152_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591123' target='other'> <mi>dwc_moreinfo</mi></a>","14554","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","778150","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","dubia","Tibouchina dubia","(Cham.) Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","1965","01","14","Brazil","Paraná","Campo Largo","Serra Sao Luis","-49.5281","-25.4586",NA,NA,"1150","1150","NY00778150","NY00778150_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591124' target='other'> <mi>dwc_moreinfo</mi></a>","12094","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","778149","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","dubia","Tibouchina dubia","(Cham.) Cogn.","J. J. Wurdack",NA,NA,NA,"L. B. Smith","1965","01","14","Brazil","Paraná","Balsa Nova","Serra de Sao Luiz by the Rodovia de Café","-49.67","-25.5",NA,NA,"1100","1100","NY00778149","NY00778149_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591128' target='other'> <mi>dwc_moreinfo</mi></a>","14411","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","778158","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","dubia","Tibouchina dubia","(Cham.) Cogn.","J. J. Wurdack",NA,NA,NA,"A. Lourteig","1967","12","14","Brazil","Santa Catarina","Sao Joaquim","Serra do Oratório","-49.9317","-28.2942",NA,NA,"1400","1400","NY00778158","NY00778158_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591126' target='other'> <mi>dwc_moreinfo</mi></a>","2158","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA
