"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","continentOcean","locality","occurrenceRemarks","imagecode"
"1","2021-03-31 13:40:48-03","MN","R","35780","PreservedSpecimen","Plantae","Orchidaceae","Chytroglossa","paulensis","Chytroglossa paulensis","Edwall","Pabst, G.F.J.","1958","12","06","Hans, D.","1939","09","Brasil","Rio de Janeiro","Queimados","-43.5553016662598","-22.716100692749","10683","auto",NA,NA,NA,NA,NA
"2","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Chytroglossa","paulensis","Chytroglossa paulensis","Edwall",NA,NA,NA,NA,"Edwall, G",NA,NA,"Brazil","São Paulo","Guaratinguetá ","-45.19","-22.81","27040","auto","s.n.","Southern America","Habitat in sylvis supra arbores ad Guaratinguetá prov. S. Paulo","Floret Septembri","P03P6N0093"
"3","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Chytroglossa","paulensis","Chytroglossa paulensis","Edwall",NA,NA,NA,NA,"Edwall, G",NA,NA,"Brazil","São Paulo","Guaratinguetá ","-45.19","-22.81","27040","auto","s.n.","Southern America","Habitat in sylvis supra arbores ad Guaratinguetá prov. S. Paulo","Floret Septembri","P03P6N0093"
