"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","infraspecificEpithet","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00943268","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","decipiens","Gaylussacia decipiens","Cham.","J. W. Floyd","M. M. N. Braga","s.n.","1988","10","26","South America","Brazil","Minas Gerais","Serra da Moeda. Morro da Piedade.","-43.675674","-19.822323","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1068737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943268","NY00943268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00943270","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","decipiens","Gaylussacia decipiens","Cham.","J. W. Floyd","I. Andrade","289","1988","04","29","South America","Brazil","Minas Gerais","Parque Natural do Caraça, Serra do Caraça. Próximo à Cascatinha (direção do Quiosque).",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1068748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943270","NY00943270_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00943265","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","decipiens","Gaylussacia decipiens","Cham.","A. S.","P. Clausen","50","1838",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1068724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943265","NY00943265_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00943269","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","decipiens","Gaylussacia decipiens","Cham.","J. W. Floyd","J. R. Stehmann","s.n.","1990","09","10","South America","Brazil","Minas Gerais","Serra do Caraça. Caminho para a Cascatinha.","-43.4153","-19.9594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1068740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943269","NY00943269_01","Santa Bárbara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","10053","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","decipiens","Gaylussacia decipiens","Cham.","H. O. Sleumer","F. Sellow","s.n.",NA,NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,"sheet","V. Meisner. 1841 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00010053","NY00010053_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00943263","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","decipiens","Gaylussacia decipiens","Cham.","A. S.","P. Clausen","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1068719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943263","NY00943263_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00943261","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","decipiens","Gaylussacia decipiens","Cham.",NA,"P. Clausen","50","1838",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1068714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943261","NY00943261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00943260","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","decipiens","Gaylussacia decipiens","Cham.","H. O. Sleumer","H. S. Irwin","29274","1971","01","27","South America","Brazil","Minas Gerais","Serra do Espinhaço, lower slopes of Serra da Caraça, ca. 12 km W. of Barão de Cocais","-43.4927778","-20.1263","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1068712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943260","NY00943260_01",NA,NA,"1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00943267","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","decipiens","Gaylussacia decipiens","Cham.","J. W. Floyd","M. M. N. Braga","274","1988","10","21","South America","Brazil",NA,"Serra de Ouro Branco. Região de campo rupestre próximo à antena.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1068731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943267","NY00943267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00943266","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","decipiens","Gaylussacia decipiens","Cham.","J. W. Floyd","T. Viana","54","1980","04","05","South America","Brazil",NA,"Caraça. Lago Gde. Bocaima.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1068728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943266","NY00943266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
