"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","relatedCatalogItem","typeStatus","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-04-05 14:33:22-03","UNESC","CRI","7822","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Tais B. Guimarães","2005","08","22","Daniel B. Falkenberg; Tais B. Guimarães","2004","08","22","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: restinga Habito: herbácea","CRI006395","CRI006395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:45-03","E","E","44146","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis,","Burmannia australis,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00044146 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00044146",NA,"2547","E. Tropical South America","herbarium specimen of unspecif","BGBASE:51591",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","393682","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","P. J. M. Maas",NA,NA,NA,"S. A. Mori","1979","07","27","Brazil","Bahia","Mucugê","10-15 km ao NW de Mucujê, na estrada para Andaraí","-41.33","-12.95",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393682","NY00393682_01","12676","South America","sheet",NA,"Magnoliophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","393681","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","J. van Benthem; P. J. M. Maas",NA,NA,NA,"J. S. Blanchet","1839",NA,NA,"Brazil","Bahia",NA,"Serra de Jacobina",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568434' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393681","NY00393681_01","2547","South America","sheet",NA,"Magnoliophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","504883","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","H. Maas-van de Kamer; P. J. M. Maas",NA,NA,NA,"S. Tsugaru","1987","12","12","Brazil","Rio Grande do Sul","Pinhal","Vicinity of Pinhal","-53.213092","-27.51028",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504883","NY00504883_01","B-2451","South America","sheet",NA,"Magnoliophyta","Dioscoreales",NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:29:02-03","UNESP-IBB","BOTU","28998","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Valduga, E.","2012","05",NA,"Gonzatti, F.","2011","12","27","Brasil","Rio Grande do Sul","Palmares do Sul","Lagoa do Cipó",NA,NA,"9999","9999",NA,NA,NA,"BOTU028998",NA,"281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:27:41-03","UFBA","ALCB","37721","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Miranda, EB","1997","03",NA,"Giulietti, AM; Stam, G; Bautista, HP; Guedes, ML","1994","09","28","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha, Serra do Brejão","-41.441389","-12.464444","-41.441389","-12.464444","640","640","delicada, vivendo juntamente com 'Syngonanthus gracilis' e 'Utricularia' sp. Folhas simples. Flores alvas com manchas de cor lilás. Raro.; Solo arenoso. Afloramento rochoso de arenito.","ALCB005969","ALCB005969","PCD902","Southern America",NA,NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U.1410798","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme",NA,NA,NA,NA,"Hatschbach GG; Kummrow R","1984","06","15","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1410798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1410798","NL-U1410798",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae","U 0034943",NA,NA,NA,NA,NA
"9","2020-02-08 08:59:53-03","NBC","NL-BOTANY","U 0000849","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Maas PJM; Benthem J van",NA,NA,NA,"Malme GOA","1892","12","05","Brazil",NA,NA,"Rio Grande",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000849 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000849","NL-U0000849",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae","39322 A","isotype",NA,NA,NA,NA
"10","2020-02-08 08:59:53-03","NBC","NL-BOTANY","L.3735870","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","australis","Burmannia australis","Malme","Maas-van de Kamer H",NA,NA,NA,"Campos CJ; Conceiçao AS","1999","11","28","Brazil","Bahia",NA,"Brazil, Balia, Abaira, Catolis.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3735870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3735870","NL-L3735870",NA,"Southern America",NA,NA,NA,"Dioscoreales","Magnoliopsidae",NA,NA,NA,NA,NA,NA
